Tarih,TP_BKEA_S046
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,-3.0
2006-01-01,2.7
2006-04-01,-51.8
2006-07-01,-36.1
2006-10-01,-20.8
2007-01-01,-25.7
2007-04-01,11.9
2007-07-01,-24.2
2007-10-01,-18.2
2008-01-01,-26.0
2008-04-01,-26.8
2008-07-01,-71.1
2008-10-01,-46.4
2009-01-01,-54.9
2009-04-01,-32.7
2009-07-01,-32.4
2009-10-01,-15.0
2010-01-01,-0.1
2010-04-01,13.7
2010-07-01,-8.8
2010-10-01,4.4
2011-01-01,4.6
2011-04-01,-17.5
2011-07-01,-24.4
2011-10-01,-10.2
2012-01-01,4.3
2012-04-01,-6.9
2012-07-01,4.3
2012-10-01,-12.8
2013-01-01,-16.3
2013-04-01,0.9
2013-07-01,-36.5
2013-10-01,-13.3
2014-01-01,-14.5
2014-04-01,13.2
2014-07-01,-2.2
2014-10-01,-23.3
2015-01-01,-8.8
2015-04-01,-19.7
2015-07-01,-53.1
2015-10-01,-67.0
2016-01-01,-31.9
2016-04-01,-15.7
2016-07-01,-36.3
2016-10-01,-38.8
2017-01-01,-13.8
2017-04-01,-15.0
2017-07-01,14.8
2017-10-01,0.0
2018-01-01,-2.6
2018-04-01,-47.8
2018-07-01,-37.7
2018-10-01,-44.2
2019-01-01,3.1
2019-04-01,-16.1
2019-07-01,22.3
2019-10-01,18.2
2020-01-01,15.1
2020-04-01,16.6
2020-07-01,-12.7
2020-10-01,-15.7
2021-01-01,23.8
2021-04-01,-17.2
2021-07-01,1.0
2021-10-01,-23.2
2022-01-01,-17.9
2022-04-01,-61.8
2022-07-01,-47.4
2022-10-01,-31.2
2023-01-01,-1.9
2023-04-01,-8.9
2023-07-01,-29.4
2023-10-01,9.9
2024-01-01,-38.0
2024-04-01,0.2
2024-07-01,-5.9
2024-10-01,1.0
2025-01-01,11.3
2025-04-01,7.9
2025-07-01,8.7
