Tarih,TP_MB_DVDY40
2017-12-01,42617137.0
2018-01-01,42168104.0
2018-02-01,42711758.0
2018-03-01,44253662.0
2018-04-01,43873052.0
2018-05-01,47610436.0
2018-06-01,47920432.0
2018-07-01,50719008.0
2018-08-01,66073027.0
2018-09-01,60610331.0
2018-10-01,55713919.0
2018-11-01,51427305.0
2018-12-01,54282507.0
2019-01-01,52777364.0
2019-02-01,56876997.0
2019-03-01,60752283.0
2019-04-01,63249933.0
2019-05-01,63372461.0
2019-06-01,60773863.0
2019-07-01,58783260.0
2019-08-01,60344347.0
2019-09-01,58302508.0
2019-10-01,57344530.0
2019-11-01,56005377.0
2019-12-01,58098239.0
2020-01-01,57128003.0
2020-02-01,58555617.0
2020-03-01,61672776.0
2020-04-01,64910929.0
2020-05-01,62271411.0
2020-06-01,61144183.0
2020-07-01,59918469.0
2020-08-01,62138255.0
2020-09-01,65688220.0
2020-10-01,70172863.0
2020-11-01,65046597.0
2020-12-01,61107820.0
2021-01-01,59609842.0
2021-02-01,63118814.0
2021-03-01,70042517.0
2021-04-01,67992155.0
2021-05-01,69187590.0
2021-06-01,69709677.0
2021-07-01,66651000.0
2021-08-01,64444328.0
2021-09-01,68032687.0
2021-10-01,71873439.0
2021-11-01,96250030.0
2021-12-01,104088422.0
2022-01-01,105474242.0
2022-02-01,107142151.0
2022-03-01,111989945.0
2022-04-01,113179541.0
2022-05-01,123586697.0
2022-06-01,124484882.0
2022-07-01,133646737.0
2022-08-01,137121974.0
2022-09-01,138244938.0
2022-10-01,127364258.0
2022-11-01,126050976.0
2022-12-01,127974801.0
2023-01-01,128764431.0
2023-02-01,127818678.0
2023-03-01,130741141.0
2023-04-01,132463319.0
2023-05-01,144619904.0
2023-06-01,179317198.0
2023-07-01,186192124.0
2023-08-01,180747277.0
2023-09-01,207236361.0
2023-10-01,223346712.0
2023-11-01,233638961.0
2023-12-01,244954361.0
2024-01-01,250379113.0
2024-02-01,256688867.0
2024-03-01,261343221.0
2024-04-01,255157425.0
2024-05-01,261298037.0
2024-06-01,265392253.0
2024-07-01,266899424.0
2024-08-01,270045237.0
2024-09-01,289055046.0
2024-10-01,291667896.0
2024-11-01,286648220.0
2024-12-01,289053725.0
2025-01-01,291105069.0
2025-02-01,297482753.0
2025-03-01,303195567.0
2025-04-01,309934396.0
2025-05-01,312197746.0
2025-06-01,335999697.0
2025-07-01,343301035.0
2025-08-01,345711403.0
