Tarih,TP_MB_DVDY05
2022-01-01,3970771.0
2022-02-01,5045801.0
2022-03-01,4932566.0
2022-04-01,5182162.0
2022-05-01,9618152.0
2022-06-01,5662116.0
2022-07-01,5866726.0
2022-08-01,6834345.0
2022-09-01,6200153.0
2022-10-01,8192764.0
2022-11-01,2767547.0
2022-12-01,842039.0
2023-01-01,667133.0
2023-02-01,875198.0
2023-03-01,425426.0
2023-04-01,1484040.0
2023-05-01,2191081.0
2023-06-01,2577521.0
2023-07-01,1352331.0
2023-08-01,3540072.0
2023-09-01,711763.0
2023-10-01,3532270.0
2023-11-01,1275941.0
2023-12-01,4292730.0
2024-01-01,663546.0
2024-02-01,1967447.0
2024-03-01,1506827.0
2024-04-01,2886751.0
2024-05-01,4613667.0
2024-06-01,853284.0
2024-07-01,1945673.0
2024-08-01,5342569.0
2024-09-01,1631287.0
2024-10-01,1332163.0
2024-11-01,6011417.0
2024-12-01,2489383.0
2025-01-01,1605959.0
2025-02-01,4435294.0
2025-03-01,4608542.0
2025-04-01,8042302.0
2025-05-01,901089.0
2025-06-01,2354322.0
2025-07-01,8820587.0
2025-08-01,2132616.0
