Tarih,TP_URISTSAYIL_ISPARTA
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,445.0
2000-05-01,0.0
2000-06-01,1.0
2000-07-01,83.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,1.0
2001-04-01,167.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,64.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,2.0
2002-09-01,2.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,2.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,4.0
2003-09-01,44.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,169.0
2004-05-01,91.0
2004-06-01,14.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,57.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,162.0
2006-07-01,2624.0
2006-08-01,6666.0
2006-09-01,4095.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,2031.0
2007-04-01,1.0
2007-05-01,0.0
2007-06-01,691.0
2007-07-01,3680.0
2007-08-01,7604.0
2007-09-01,3566.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,463.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,269.0
2008-07-01,1600.0
2008-08-01,1834.0
2008-09-01,1076.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,719.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,114.0
2009-07-01,1429.0
2009-08-01,2810.0
2009-09-01,1576.0
2009-10-01,76.0
2009-11-01,87.0
2009-12-01,84.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,765.0
2010-04-01,117.0
2010-05-01,295.0
2010-06-01,140.0
2010-07-01,1013.0
2010-08-01,1321.0
2010-09-01,1118.0
2010-10-01,107.0
2010-11-01,2.0
2010-12-01,0.0
2011-01-01,6.0
2011-02-01,7.0
2011-03-01,421.0
2011-04-01,6.0
2011-05-01,8.0
2011-06-01,5.0
2011-07-01,0.0
2011-08-01,4.0
2011-09-01,0.0
2011-10-01,7.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,11.0
2012-03-01,6153.0
2012-04-01,24.0
2012-05-01,406.0
2012-06-01,3137.0
2012-07-01,4011.0
2012-08-01,8502.0
2012-09-01,3304.0
2012-10-01,156.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,18912.0
2013-04-01,692.0
2013-05-01,3530.0
2013-06-01,5966.0
2013-07-01,8776.0
2013-08-01,15404.0
2013-09-01,9053.0
2013-10-01,738.0
2013-11-01,0.0
2013-12-01,184.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,18600.0
2014-04-01,993.0
2014-05-01,4239.0
2014-06-01,4060.0
2014-07-01,8566.0
2014-08-01,11702.0
2014-09-01,9157.0
2014-10-01,3824.0
2014-11-01,17.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,4.0
2015-03-01,24467.0
2015-04-01,1240.0
2015-05-01,3010.0
2015-06-01,5620.0
2015-07-01,15490.0
2015-08-01,15048.0
2015-09-01,14592.0
2015-10-01,2874.0
2015-11-01,233.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,3.0
2016-03-01,20407.0
2016-04-01,2638.0
2016-05-01,5896.0
2016-06-01,11302.0
2016-07-01,7993.0
2016-08-01,2140.0
2016-09-01,9714.0
2016-10-01,3564.0
2016-11-01,1.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,6.0
2017-03-01,4246.0
2017-04-01,2174.0
2017-05-01,4747.0
2017-06-01,9039.0
2017-07-01,7468.0
2017-08-01,10732.0
2017-09-01,9376.0
2017-10-01,3018.0
2017-11-01,878.0
2017-12-01,0.0
2018-01-01,4.0
2018-02-01,212.0
2018-03-01,10922.0
2018-04-01,3648.0
2018-05-01,4563.0
2018-06-01,5415.0
2018-07-01,5198.0
2018-08-01,4646.0
2018-09-01,2549.0
2018-10-01,986.0
2018-11-01,1842.0
2018-12-01,2086.0
2019-01-01,1826.0
