Tarih,TP_URISTSAYIL_MERSIN
2000-01-01,1323.0
2000-02-01,1460.0
2000-03-01,1747.0
2000-04-01,1825.0
2000-05-01,2054.0
2000-06-01,3246.0
2000-07-01,4527.0
2000-08-01,3986.0
2000-09-01,2706.0
2000-10-01,1430.0
2000-11-01,1871.0
2000-12-01,1170.0
2001-01-01,1194.0
2001-02-01,1195.0
2001-03-01,1417.0
2001-04-01,1487.0
2001-05-01,3253.0
2001-06-01,2850.0
2001-07-01,4302.0
2001-08-01,4474.0
2001-09-01,3118.0
2001-10-01,2005.0
2001-11-01,1441.0
2001-12-01,1034.0
2002-01-01,812.0
2002-02-01,1791.0
2002-03-01,1586.0
2002-04-01,1902.0
2002-05-01,2384.0
2002-06-01,3036.0
2002-07-01,6239.0
2002-08-01,5412.0
2002-09-01,3347.0
2002-10-01,1895.0
2002-11-01,1576.0
2002-12-01,1322.0
2003-01-01,1221.0
2003-02-01,1405.0
2003-03-01,1146.0
2003-04-01,1882.0
2003-05-01,2092.0
2003-06-01,3059.0
2003-07-01,5511.0
2003-08-01,4937.0
2003-09-01,2806.0
2003-10-01,1669.0
2003-11-01,1583.0
2003-12-01,996.0
2004-01-01,1142.0
2004-02-01,1093.0
2004-03-01,1263.0
2004-04-01,1547.0
2004-05-01,1846.0
2004-06-01,3051.0
2004-07-01,5280.0
2004-08-01,4962.0
2004-09-01,2864.0
2004-10-01,1766.0
2004-11-01,1243.0
2004-12-01,925.0
2005-01-01,1144.0
2005-02-01,826.0
2005-03-01,1164.0
2005-04-01,1388.0
2005-05-01,1598.0
2005-06-01,2688.0
2005-07-01,4190.0
2005-08-01,3927.0
2005-09-01,2377.0
2005-10-01,1405.0
2005-11-01,1039.0
2005-12-01,1039.0
2006-01-01,796.0
2006-02-01,740.0
2006-03-01,908.0
2006-04-01,1229.0
2006-05-01,1382.0
2006-06-01,2218.0
2006-07-01,13194.0
2006-08-01,3486.0
2006-09-01,1752.0
2006-10-01,1202.0
2006-11-01,779.0
2006-12-01,835.0
2007-01-01,690.0
2007-02-01,718.0
2007-03-01,1366.0
2007-04-01,1093.0
2007-05-01,1230.0
2007-06-01,1906.0
2007-07-01,3099.0
2007-08-01,3045.0
2007-09-01,1381.0
2007-10-01,1428.0
2007-11-01,820.0
2007-12-01,828.0
2008-01-01,636.0
2008-02-01,656.0
2008-03-01,715.0
2008-04-01,1760.0
2008-05-01,1206.0
2008-06-01,2150.0
2008-07-01,3391.0
2008-08-01,3684.0
2008-09-01,1437.0
2008-10-01,1139.0
2008-11-01,887.0
2008-12-01,888.0
2009-01-01,616.0
2009-02-01,693.0
2009-03-01,1347.0
2009-04-01,1157.0
2009-05-01,1136.0
2009-06-01,1945.0
2009-07-01,2898.0
2009-08-01,3002.0
2009-09-01,1261.0
2009-10-01,1122.0
2009-11-01,939.0
2009-12-01,734.0
2010-01-01,572.0
2010-02-01,556.0
2010-03-01,955.0
2010-04-01,1003.0
2010-05-01,1213.0
2010-06-01,1833.0
2010-07-01,4118.0
2010-08-01,3016.0
2010-09-01,1765.0
2010-10-01,1118.0
2010-11-01,1670.0
2010-12-01,976.0
2011-01-01,611.0
2011-02-01,640.0
2011-03-01,897.0
2011-04-01,1205.0
2011-05-01,1798.0
2011-06-01,2006.0
2011-07-01,4427.0
2011-08-01,3821.0
2011-09-01,2947.0
2011-10-01,1006.0
2011-11-01,1026.0
2011-12-01,618.0
2012-01-01,579.0
2012-02-01,533.0
2012-03-01,682.0
2012-04-01,790.0
2012-05-01,905.0
2012-06-01,2136.0
2012-07-01,3690.0
2012-08-01,5232.0
2012-09-01,2676.0
2012-10-01,2132.0
2012-11-01,1522.0
2012-12-01,1381.0
2013-01-01,1208.0
2013-02-01,1379.0
2013-03-01,1641.0
2013-04-01,1766.0
2013-05-01,2192.0
2013-06-01,3265.0
2013-07-01,3499.0
2013-08-01,6797.0
2013-09-01,4613.0
2013-10-01,3223.0
2013-11-01,2815.0
2013-12-01,1895.0
2014-01-01,1838.0
2014-02-01,2144.0
2014-03-01,2361.0
2014-04-01,3149.0
2014-05-01,3948.0
2014-06-01,4689.0
2014-07-01,5446.0
2014-08-01,11217.0
2014-09-01,9684.0
2014-10-01,9506.0
2014-11-01,9800.0
2014-12-01,3813.0
2015-01-01,1839.0
2015-02-01,1855.0
2015-03-01,2873.0
2015-04-01,4495.0
2015-05-01,7645.0
2015-06-01,10756.0
2015-07-01,14881.0
2015-08-01,30417.0
2015-09-01,25981.0
2015-10-01,13719.0
2015-11-01,6967.0
2015-12-01,5298.0
2016-01-01,4572.0
2016-02-01,978.0
2016-03-01,948.0
2016-04-01,971.0
2016-05-01,1239.0
2016-06-01,1773.0
2016-07-01,3288.0
2016-08-01,3031.0
2016-09-01,1814.0
2016-10-01,1126.0
2016-11-01,1081.0
2016-12-01,803.0
2017-01-01,757.0
2017-02-01,882.0
2017-03-01,1003.0
2017-04-01,1085.0
2017-05-01,1406.0
2017-06-01,2272.0
2017-07-01,4157.0
2017-08-01,4727.0
2017-09-01,1685.0
2017-10-01,1094.0
2017-11-01,1033.0
2017-12-01,942.0
2018-01-01,970.0
2018-02-01,873.0
2018-03-01,1013.0
2018-04-01,1083.0
2018-05-01,1404.0
2018-06-01,2988.0
2018-07-01,4130.0
2018-08-01,5999.0
2018-09-01,1702.0
2018-10-01,1247.0
2018-11-01,1023.0
2018-12-01,1701.0
2019-01-01,5359.0
2019-02-01,5054.0
2019-03-01,6210.0
2019-04-01,7157.0
2019-05-01,6635.0
2019-06-01,8029.0
2019-07-01,9251.0
2019-08-01,10066.0
2019-09-01,7504.0
2019-10-01,7663.0
2019-11-01,7176.0
2019-12-01,6807.0
2020-01-01,6804.0
2020-02-01,5398.0
2020-03-01,2156.0
2020-04-01,79.0
2020-05-01,176.0
2020-06-01,1197.0
2020-07-01,2264.0
2020-08-01,1605.0
2020-09-01,1102.0
2020-10-01,1163.0
2020-11-01,951.0
2020-12-01,827.0
2021-01-01,588.0
2021-02-01,692.0
2021-03-01,776.0
2021-04-01,836.0
2021-05-01,1044.0
2021-06-01,1830.0
2021-07-01,4052.0
2021-08-01,3815.0
2021-09-01,1718.0
2021-10-01,1445.0
2021-11-01,1153.0
2021-12-01,1060.0
2022-01-01,1083.0
2022-02-01,1573.0
2022-03-01,1412.0
2022-04-01,1906.0
2022-05-01,2771.0
2022-06-01,4460.0
2022-07-01,7700.0
2022-08-01,7606.0
2022-09-01,4032.0
2022-10-01,3185.0
2022-11-01,3792.0
2022-12-01,3376.0
2023-01-01,3601.0
2023-02-01,3080.0
2023-03-01,3360.0
2023-04-01,3829.0
2023-05-01,4131.0
2023-06-01,6782.0
2023-07-01,9290.0
2023-08-01,9517.0
2023-09-01,5057.0
2023-10-01,4024.0
2023-11-01,3798.0
2023-12-01,3332.0
2024-01-01,3328.0
2024-02-01,3447.0
2024-03-01,3363.0
2024-04-01,3930.0
2024-05-01,3796.0
2024-06-01,7588.0
2024-07-01,8147.0
2024-08-01,23721.0
2024-09-01,22431.0
2024-10-01,22041.0
2024-11-01,12826.0
2024-12-01,14185.0
2025-01-01,12041.0
2025-02-01,13261.0
2025-03-01,12672.0
2025-04-01,18252.0
2025-05-01,19335.0
2025-06-01,24754.0
2025-07-01,32138.0
2025-08-01,34671.0
