Tarih,TP_URISTSAYIL_ANKARA
2000-01-01,8739.0
2000-02-01,9619.0
2000-03-01,11313.0
2000-04-01,13532.0
2000-05-01,14565.0
2000-06-01,24451.0
2000-07-01,34047.0
2000-08-01,20987.0
2000-09-01,18037.0
2000-10-01,14696.0
2000-11-01,11491.0
2000-12-01,11599.0
2001-01-01,11432.0
2001-02-01,9376.0
2001-03-01,13642.0
2001-04-01,16130.0
2001-05-01,17902.0
2001-06-01,27503.0
2001-07-01,40405.0
2001-08-01,21052.0
2001-09-01,18325.0
2001-10-01,13177.0
2001-11-01,9127.0
2001-12-01,10702.0
2002-01-01,4568.0
2002-02-01,11693.0
2002-03-01,15838.0
2002-04-01,14345.0
2002-05-01,17622.0
2002-06-01,30124.0
2002-07-01,42935.0
2002-08-01,27169.0
2002-09-01,20434.0
2002-10-01,9604.0
2002-11-01,6686.0
2002-12-01,9416.0
2003-01-01,7400.0
2003-02-01,9521.0
2003-03-01,6926.0
2003-04-01,9336.0
2003-05-01,11123.0
2003-06-01,24142.0
2003-07-01,40333.0
2003-08-01,25738.0
2003-09-01,14462.0
2003-10-01,17938.0
2003-11-01,12655.0
2003-12-01,16985.0
2004-01-01,14313.0
2004-02-01,15311.0
2004-03-01,16853.0
2004-04-01,21381.0
2004-05-01,25010.0
2004-06-01,38162.0
2004-07-01,65405.0
2004-08-01,36645.0
2004-09-01,25332.0
2004-10-01,20747.0
2004-11-01,17601.0
2004-12-01,20475.0
2005-01-01,18698.0
2005-02-01,16960.0
2005-03-01,18370.0
2005-04-01,16269.0
2005-05-01,20342.0
2005-06-01,36493.0
2005-07-01,66500.0
2005-08-01,31851.0
2005-09-01,22149.0
2005-10-01,15712.0
2005-11-01,13345.0
2005-12-01,14751.0
2006-01-01,13159.0
2006-02-01,11245.0
2006-03-01,14695.0
2006-04-01,19540.0
2006-05-01,19731.0
2006-06-01,38989.0
2006-07-01,61801.0
2006-08-01,34923.0
2006-09-01,22972.0
2006-10-01,19750.0
2006-11-01,15475.0
2006-12-01,22713.0
2007-01-01,15773.0
2007-02-01,17658.0
2007-03-01,21674.0
2007-04-01,25897.0
2007-05-01,28880.0
2007-06-01,56065.0
2007-07-01,76554.0
2007-08-01,43860.0
2007-09-01,27983.0
2007-10-01,27425.0
2007-11-01,18437.0
2007-12-01,22868.0
2008-01-01,16920.0
2008-02-01,19524.0
2008-03-01,23033.0
2008-04-01,24198.0
2008-05-01,29714.0
2008-06-01,52811.0
2008-07-01,72653.0
2008-08-01,45238.0
2008-09-01,28133.0
2008-10-01,28135.0
2008-11-01,18229.0
2008-12-01,22344.0
2009-01-01,15204.0
2009-02-01,17309.0
2009-03-01,18126.0
2009-04-01,25572.0
2009-05-01,24786.0
2009-06-01,41346.0
2009-07-01,68607.0
2009-08-01,32411.0
2009-09-01,26699.0
2009-10-01,26068.0
2009-11-01,17953.0
2009-12-01,20731.0
2010-01-01,16383.0
2010-02-01,17593.0
2010-03-01,22824.0
2010-04-01,23197.0
2010-05-01,32772.0
2010-06-01,51333.0
2010-07-01,77127.0
2010-08-01,40716.0
2010-09-01,40221.0
2010-10-01,38586.0
2010-11-01,21578.0
2010-12-01,23876.0
2011-01-01,19590.0
2011-02-01,23255.0
2011-03-01,21281.0
2011-04-01,28779.0
2011-05-01,27625.0
2011-06-01,33144.0
2011-07-01,65061.0
2011-08-01,40523.0
2011-09-01,34806.0
2011-10-01,34483.0
2011-11-01,22082.0
2011-12-01,19263.0
2012-01-01,17195.0
2012-02-01,17588.0
2012-03-01,19629.0
