Tarih,TP_URISTSAYIL_MUGLA
2000-01-01,1125.0
2000-02-01,1297.0
2000-03-01,4494.0
2000-04-01,47726.0
2000-05-01,183805.0
2000-06-01,198801.0
2000-07-01,253008.0
2000-08-01,247728.0
2000-09-01,251229.0
2000-10-01,155251.0
2000-11-01,4358.0
2000-12-01,2908.0
2001-01-01,1208.0
2001-02-01,1391.0
2001-03-01,3235.0
2001-04-01,70866.0
2001-05-01,209062.0
2001-06-01,209986.0
2001-07-01,271547.0
2001-08-01,203147.0
2001-09-01,220408.0
2001-10-01,129755.0
2001-11-01,4656.0
2001-12-01,1872.0
2002-01-01,896.0
2002-02-01,1487.0
2002-03-01,12046.0
2002-04-01,58300.0
2002-05-01,243583.0
2002-06-01,286885.0
2002-07-01,367926.0
2002-08-01,382516.0
2002-09-01,376765.0
2002-10-01,203139.0
2002-11-01,3548.0
2002-12-01,1100.0
2003-01-01,918.0
2003-02-01,618.0
2003-03-01,1427.0
2003-04-01,44920.0
2003-05-01,203965.0
2003-06-01,276531.0
2003-07-01,399413.0
2003-08-01,438766.0
2003-09-01,385112.0
2003-10-01,233183.0
2003-11-01,8809.0
2003-12-01,4790.0
2004-01-01,4314.0
2004-02-01,5411.0
2004-03-01,9443.0
2004-04-01,72731.0
2004-05-01,328348.0
2004-06-01,371484.0
2004-07-01,496970.0
2004-08-01,526674.0
2004-09-01,436832.0
2004-10-01,284761.0
2004-11-01,6349.0
2004-12-01,9424.0
2005-01-01,10286.0
2005-02-01,10596.0
2005-03-01,16257.0
2005-04-01,70337.0
2005-05-01,382248.0
2005-06-01,425632.0
2005-07-01,549316.0
2005-08-01,547775.0
2005-09-01,474882.0
2005-10-01,328920.0
2005-11-01,14467.0
2005-12-01,5177.0
2006-01-01,4609.0
2006-02-01,3706.0
2006-03-01,6666.0
2006-04-01,68445.0
2006-05-01,291822.0
2006-06-01,366461.0
2006-07-01,487408.0
2006-08-01,490229.0
2006-09-01,381137.0
2006-10-01,224750.0
2006-11-01,15615.0
2006-12-01,4637.0
2007-01-01,3744.0
2007-02-01,3732.0
2007-03-01,10279.0
2007-04-01,74268.0
2007-05-01,297167.0
2007-06-01,401450.0
2007-07-01,525921.0
2007-08-01,535065.0
2007-09-01,447805.0
2007-10-01,245133.0
2007-11-01,17448.0
2007-12-01,9908.0
2008-01-01,9575.0
2008-02-01,7985.0
2008-03-01,20257.0
2008-04-01,77717.0
2008-05-01,340760.0
2008-06-01,460317.0
2008-07-01,577845.0
2008-08-01,594647.0
2008-09-01,492058.0
2008-10-01,272426.0
2008-11-01,13035.0
2008-12-01,9579.0
2009-01-01,9008.0
2009-02-01,3192.0
2009-03-01,11168.0
2009-04-01,87287.0
2009-05-01,329473.0
2009-06-01,452323.0
2009-07-01,558620.0
2009-08-01,594259.0
2009-09-01,485516.0
2009-10-01,266300.0
2009-11-01,12932.0
2009-12-01,10220.0
2010-01-01,3101.0
2010-02-01,3729.0
2010-03-01,14961.0
2010-04-01,72925.0
2010-05-01,410845.0
2010-06-01,501226.0
2010-07-01,587535.0
2010-08-01,591107.0
2010-09-01,484316.0
2010-10-01,280619.0
2010-11-01,17766.0
2010-12-01,5756.0
2011-01-01,8325.0
2011-02-01,5604.0
2011-03-01,10947.0
2011-04-01,128845.0
2011-05-01,397805.0
2011-06-01,499705.0
2011-07-01,619762.0
2011-08-01,599690.0
