Tarih,TP_URISTSAYIL_MALATYA
2019-07-01,551.0
2019-08-01,515.0
2019-09-01,411.0
2019-10-01,237.0
2019-11-01,0.0
2019-12-01,112.0
2020-01-01,1.0
2020-02-01,37.0
2020-03-01,0.0
2020-04-01,54.0
2020-05-01,3.0
2020-06-01,179.0
2020-07-01,401.0
2020-08-01,177.0
2020-09-01,44.0
2020-10-01,2.0
2020-11-01,4.0
2020-12-01,4.0
2021-01-01,1.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,165.0
2021-06-01,394.0
2021-07-01,1162.0
2021-08-01,864.0
2021-09-01,387.0
2021-10-01,993.0
2021-11-01,1.0
2021-12-01,0.0
2022-01-01,2.0
2022-02-01,36.0
2022-03-01,15.0
2022-04-01,2.0
2022-05-01,1.0
2022-06-01,738.0
2022-07-01,1082.0
2022-08-01,828.0
2022-09-01,474.0
2022-10-01,267.0
2022-11-01,0.0
2022-12-01,8.0
2023-01-01,1.0
2023-02-01,2.0
2023-03-01,33.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,2.0
2023-08-01,4.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,1.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,605.0
2024-07-01,1043.0
2024-08-01,806.0
2024-09-01,481.0
2024-10-01,274.0
2024-11-01,0.0
2024-12-01,1.0
2025-01-01,0.0
2025-02-01,7.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,12.0
2025-06-01,358.0
2025-07-01,616.0
2025-08-01,384.0
