Tarih,TP_URISTSAYIL_KONYA
2000-01-01,52.0
2000-02-01,112.0
2000-03-01,0.0
2000-04-01,50.0
2000-05-01,29.0
2000-06-01,17.0
2000-07-01,84.0
2000-08-01,84.0
2000-09-01,104.0
2000-10-01,80.0
2000-11-01,77.0
2000-12-01,26.0
2001-01-01,123.0
2001-02-01,101.0
2001-03-01,57.0
2001-04-01,52.0
2001-05-01,63.0
2001-06-01,710.0
2001-07-01,36.0
2001-08-01,70.0
2001-09-01,93.0
2001-10-01,104.0
2001-11-01,43.0
2001-12-01,150.0
2002-01-01,28.0
2002-02-01,137.0
2002-03-01,142.0
2002-04-01,193.0
2002-05-01,268.0
2002-06-01,637.0
2002-07-01,692.0
2002-08-01,288.0
2002-09-01,78.0
2002-10-01,203.0
2002-11-01,20.0
2002-12-01,21.0
2003-01-01,132.0
2003-02-01,99.0
2003-03-01,234.0
2003-04-01,168.0
2003-05-01,9.0
2003-06-01,603.0
2003-07-01,855.0
2003-08-01,78.0
2003-09-01,39.0
2003-10-01,460.0
2003-11-01,544.0
2003-12-01,360.0
2004-01-01,163.0
2004-02-01,193.0
2004-03-01,254.0
2004-04-01,331.0
2004-05-01,341.0
2004-06-01,3185.0
2004-07-01,1878.0
2004-08-01,803.0
2004-09-01,1609.0
2004-10-01,417.0
2004-11-01,265.0
2004-12-01,488.0
2005-01-01,389.0
2005-02-01,287.0
2005-03-01,225.0
2005-04-01,91.0
2005-05-01,262.0
2005-06-01,3573.0
2005-07-01,1673.0
2005-08-01,71.0
2005-09-01,293.0
2005-10-01,87.0
2005-11-01,602.0
2005-12-01,390.0
2006-01-01,37.0
2006-02-01,28.0
2006-03-01,258.0
2006-04-01,81.0
2006-05-01,334.0
2006-06-01,5783.0
2006-07-01,3304.0
2006-08-01,570.0
2006-09-01,214.0
2006-10-01,43.0
2006-11-01,119.0
2006-12-01,696.0
2007-01-01,48.0
2007-02-01,63.0
2007-03-01,54.0
2007-04-01,34.0
2007-05-01,166.0
2007-06-01,2304.0
2007-07-01,2563.0
2007-08-01,322.0
2007-09-01,39.0
2007-10-01,54.0
2007-11-01,129.0
2007-12-01,1243.0
2008-01-01,62.0
2008-02-01,51.0
2008-03-01,200.0
2008-04-01,8.0
2008-05-01,103.0
2008-06-01,2906.0
2008-07-01,2886.0
2008-08-01,414.0
2008-09-01,368.0
2008-10-01,221.0
2008-11-01,109.0
2008-12-01,707.0
2009-01-01,6.0
2009-02-01,24.0
2009-03-01,86.0
2009-04-01,84.0
2009-05-01,101.0
2009-06-01,2428.0
2009-07-01,2107.0
2009-08-01,89.0
2009-09-01,188.0
2009-10-01,166.0
2009-11-01,68.0
2009-12-01,1137.0
2010-01-01,70.0
2010-02-01,65.0
2010-03-01,75.0
2010-04-01,66.0
2010-05-01,373.0
2010-06-01,2524.0
2010-07-01,2570.0
2010-08-01,232.0
2010-09-01,343.0
2010-10-01,26.0
2010-11-01,68.0
2010-12-01,1256.0
2011-01-01,175.0
2011-02-01,234.0
2011-03-01,180.0
2011-04-01,200.0
2011-05-01,533.0
2011-06-01,4311.0
2011-07-01,3909.0
2011-08-01,834.0
2011-09-01,996.0
2011-10-01,310.0
2011-11-01,5.0
2011-12-01,726.0
2012-01-01,44.0
2012-02-01,140.0
2012-03-01,262.0
2012-04-01,15.0
2012-05-01,895.0
2012-06-01,5139.0
2012-07-01,4852.0
2012-08-01,2090.0
2012-09-01,504.0
2012-10-01,457.0
