Tarih,TP_URISTSAYIL_ANTALYA
2000-01-01,45027.0
2000-02-01,51848.0
2000-03-01,82410.0
2000-04-01,227581.0
2000-05-01,295271.0
2000-06-01,350890.0
2000-07-01,507906.0
2000-08-01,516065.0
2000-09-01,503617.0
2000-10-01,456764.0
2000-11-01,174131.0
2000-12-01,89428.0
2001-01-01,71040.0
2001-02-01,101711.0
2001-03-01,159621.0
2001-04-01,330690.0
2001-05-01,469856.0
2001-06-01,561742.0
2001-07-01,659770.0
2001-08-01,622351.0
2001-09-01,585899.0
2001-10-01,421178.0
2001-11-01,149399.0
2001-12-01,78644.0
2002-01-01,60123.0
2002-02-01,97518.0
2002-03-01,220193.0
2002-04-01,304126.0
2002-05-01,519212.0
2002-06-01,567934.0
2002-07-01,676394.0
2002-08-01,715490.0
2002-09-01,692344.0
2002-10-01,558066.0
2002-11-01,221236.0
2002-12-01,114945.0
2003-01-01,102950.0
2003-02-01,113935.0
2003-03-01,117444.0
2003-04-01,188110.0
2003-05-01,385819.0
2003-06-01,541828.0
2003-07-01,723384.0
2003-08-01,823129.0
2003-09-01,668858.0
2003-10-01,616966.0
2003-11-01,257214.0
2003-12-01,142533.0
2004-01-01,114112.0
2004-02-01,157040.0
2004-03-01,205563.0
2004-04-01,383943.0
2004-05-01,682120.0
2004-06-01,687982.0
2004-07-01,910502.0
2004-08-01,945746.0
2004-09-01,796520.0
2004-10-01,739571.0
2004-11-01,289638.0
2004-12-01,134560.0
2005-01-01,140464.0
2005-02-01,185510.0
2005-03-01,316767.0
2005-04-01,432116.0
2005-05-01,835073.0
2005-06-01,852378.0
2005-07-01,1105157.0
2005-08-01,1008488.0
2005-09-01,893191.0
2005-10-01,786434.0
2005-11-01,215499.0
2005-12-01,113559.0
2006-01-01,111475.0
2006-02-01,110601.0
2006-03-01,207248.0
2006-04-01,442700.0
2006-05-01,650287.0
2006-06-01,862050.0
2006-07-01,1030174.0
2006-08-01,1024706.0
2006-09-01,763347.0
2006-10-01,540353.0
2006-11-01,153441.0
2006-12-01,114801.0
2007-01-01,105584.0
2007-02-01,134207.0
2007-03-01,225402.0
2007-04-01,421626.0
2007-05-01,801861.0
2007-06-01,1043007.0
2007-07-01,1213745.0
2007-08-01,1228820.0
2007-09-01,1082107.0
2007-10-01,662198.0
