Tarih,TP_URISTSAYIL_AGRI
2000-01-01,6998.0
2000-02-01,5940.0
2000-03-01,6716.0
2000-04-01,9557.0
2000-05-01,12745.0
2000-06-01,14677.0
2000-07-01,15471.0
2000-08-01,17008.0
2000-09-01,12929.0
2000-10-01,11704.0
2000-11-01,8673.0
2000-12-01,6138.0
2001-01-01,7538.0
2001-02-01,7798.0
2001-03-01,8082.0
2001-04-01,5196.0
2001-05-01,5924.0
2001-06-01,6608.0
2001-07-01,6175.0
2001-08-01,9793.0
2001-09-01,9648.0
2001-10-01,6092.0
2001-11-01,4747.0
2001-12-01,5073.0
2002-01-01,2748.0
2002-02-01,3783.0
2002-03-01,7083.0
2002-04-01,4461.0
2002-05-01,6798.0
2002-06-01,6391.0
2002-07-01,7519.0
2002-08-01,9961.0
2002-09-01,8283.0
2002-10-01,8737.0
2002-11-01,6079.0
2002-12-01,7140.0
2003-01-01,7189.0
2003-02-01,6394.0
2003-03-01,13651.0
2003-04-01,11281.0
2003-05-01,11820.0
2003-06-01,16027.0
2003-07-01,19364.0
2003-08-01,27415.0
2003-09-01,24047.0
2003-10-01,20558.0
2003-11-01,8511.0
2003-12-01,11287.0
2004-01-01,14696.0
2004-02-01,9330.0
2004-03-01,17859.0
2004-04-01,10758.0
2004-05-01,15492.0
2004-06-01,20652.0
2004-07-01,26065.0
2004-08-01,31216.0
2004-09-01,30142.0
2004-10-01,21118.0
2004-11-01,22158.0
2004-12-01,22884.0
2005-01-01,23397.0
2005-02-01,13066.0
2005-03-01,31082.0
2005-04-01,22268.0
2005-05-01,27442.0
2005-06-01,33034.0
2005-07-01,37747.0
2005-08-01,43960.0
2005-09-01,43717.0
2005-10-01,15350.0
2005-11-01,37320.0
2005-12-01,34076.0
2006-01-01,15523.0
2006-02-01,14486.0
2006-03-01,33573.0
2006-04-01,27418.0
2006-05-01,35539.0
2006-06-01,38073.0
2006-07-01,36962.0
2006-08-01,37482.0
2006-09-01,30400.0
2006-10-01,19368.0
2006-11-01,36293.0
2006-12-01,29778.0
2007-01-01,10653.0
2007-02-01,17207.0
2007-03-01,39155.0
2007-04-01,25518.0
2007-05-01,32143.0
2007-06-01,39608.0
2007-07-01,42864.0
2007-08-01,48041.0
2007-09-01,26183.0
2007-10-01,36029.0
2007-11-01,33924.0
2007-12-01,34749.0
2008-01-01,9642.0
2008-02-01,14390.0
2008-03-01,46563.0
2008-04-01,34457.0
2008-05-01,47046.0
2008-06-01,56354.0
2008-07-01,57551.0
2008-08-01,52620.0
2008-09-01,18541.0
2008-10-01,61061.0
2008-11-01,55097.0
2008-12-01,24786.0
2009-01-01,379.0
2009-02-01,0.0
2009-03-01,64201.0
2009-04-01,35055.0
2009-05-01,43455.0
2009-06-01,62055.0
2009-07-01,77854.0
2009-08-01,48362.0
2009-09-01,39282.0
2009-10-01,78218.0
2009-11-01,78641.0
2009-12-01,39682.0
2010-01-01,49041.0
2010-02-01,60562.0
2010-03-01,97229.0
2010-04-01,67449.0
2010-05-01,73759.0
2010-06-01,87072.0
2010-07-01,83686.0
2010-08-01,40618.0
2010-09-01,85487.0
2010-10-01,86251.0
2010-11-01,74514.0
2010-12-01,48402.0
2011-01-01,55469.0
2011-02-01,62607.0
2011-03-01,114738.0
2011-04-01,61973.0
2011-05-01,67836.0
2011-06-01,70908.0
2011-07-01,68796.0
2011-08-01,46299.0
2011-09-01,102921.0
2011-10-01,79624.0
2011-11-01,65975.0
2011-12-01,50050.0
2012-01-01,36887.0
2012-02-01,24006.0
2012-03-01,42018.0
2012-04-01,22742.0
2012-05-01,29341.0
2012-06-01,33702.0
2012-07-01,36878.0
2012-08-01,43638.0
2012-09-01,38730.0
2012-10-01,29003.0
2012-11-01,26362.0
2012-12-01,27041.0
2013-01-01,24391.0
2013-02-01,32307.0
2013-03-01,39863.0
2013-04-01,25955.0
2013-05-01,36733.0
2013-06-01,29854.0
2013-07-01,31270.0
2013-08-01,40855.0
2013-09-01,42559.0
2013-10-01,41071.0
2013-11-01,33985.0
2013-12-01,30168.0
2014-01-01,29710.0
2014-02-01,53383.0
2014-03-01,62051.0
2014-04-01,27346.0
2014-05-01,36903.0
2014-06-01,36541.0
2014-07-01,37444.0
2014-08-01,38376.0
2014-09-01,43332.0
2014-10-01,23157.0
2014-11-01,18350.0
2014-12-01,18849.0
2015-01-01,19587.0
2015-02-01,27149.0
2015-03-01,56303.0
2015-04-01,24211.0
2015-05-01,28977.0
2015-06-01,31602.0
2015-07-01,37291.0
2015-08-01,28443.0
2015-09-01,31217.0
2015-10-01,28006.0
2015-11-01,25869.0
2015-12-01,24009.0
2016-01-01,20052.0
2016-02-01,30502.0
2016-03-01,55656.0
2016-04-01,27445.0
2016-05-01,37246.0
2016-06-01,37926.0
2016-07-01,31782.0
2016-08-01,34015.0
2016-09-01,37457.0
2016-10-01,30427.0
2016-11-01,33061.0
2016-12-01,30802.0
