Tarih,TP_URISTSAYIL_ARTVIN
2000-01-01,11743.0
2000-02-01,12615.0
2000-03-01,14000.0
2000-04-01,14384.0
2000-05-01,18086.0
2000-06-01,14223.0
2000-07-01,16107.0
2000-08-01,16616.0
2000-09-01,15952.0
2000-10-01,15848.0
2000-11-01,13412.0
2000-12-01,12216.0
2001-01-01,12002.0
2001-02-01,10678.0
2001-03-01,11589.0
2001-04-01,11728.0
2001-05-01,12762.0
2001-06-01,11541.0
2001-07-01,12876.0
2001-08-01,13559.0
2001-09-01,11978.0
2001-10-01,12885.0
2001-11-01,11626.0
2001-12-01,10715.0
2002-01-01,8406.0
2002-02-01,9011.0
2002-03-01,10400.0
2002-04-01,10846.0
2002-05-01,11879.0
2002-06-01,12050.0
2002-07-01,13192.0
2002-08-01,16136.0
2002-09-01,13529.0
2002-10-01,11809.0
2002-11-01,11977.0
2002-12-01,11144.0
2003-01-01,9445.0
2003-02-01,8832.0
2003-03-01,9809.0
2003-04-01,11247.0
2003-05-01,13362.0
2003-06-01,13706.0
2003-07-01,14235.0
2003-08-01,17230.0
2003-09-01,15020.0
2003-10-01,13137.0
2003-11-01,10800.0
2003-12-01,11291.0
2004-01-01,9613.0
2004-02-01,9444.0
2004-03-01,10156.0
2004-04-01,13398.0
2004-05-01,12466.0
2004-06-01,16215.0
2004-07-01,20037.0
2004-08-01,22148.0
2004-09-01,24069.0
2004-10-01,22048.0
2004-11-01,20610.0
2004-12-01,20608.0
2005-01-01,19707.0
2005-02-01,18471.0
2005-03-01,20857.0
2005-04-01,26659.0
2005-05-01,30990.0
2005-06-01,30925.0
2005-07-01,37819.0
2005-08-01,36945.0
2005-09-01,36321.0
2005-10-01,29703.0
2005-11-01,28275.0
2005-12-01,27615.0
2006-01-01,22031.0
2006-02-01,27889.0
2006-03-01,33761.0
2006-04-01,37879.0
2006-05-01,49163.0
2006-06-01,42181.0
2006-07-01,52864.0
2006-08-01,58488.0
2006-09-01,53101.0
2006-10-01,47579.0
2006-11-01,48546.0
2006-12-01,46414.0
2007-01-01,32567.0
2007-02-01,37636.0
2007-03-01,43097.0
2007-04-01,49577.0
2007-05-01,65157.0
2007-06-01,48536.0
2007-07-01,60130.0
2007-08-01,68727.0
2007-09-01,57415.0
2007-10-01,51300.0
2007-11-01,46988.0
2007-12-01,45896.0
2008-01-01,43235.0
2008-02-01,42846.0
2008-03-01,50674.0
2008-04-01,57445.0
2008-05-01,69285.0
2008-06-01,67264.0
2008-07-01,78646.0
2008-08-01,81456.0
2008-09-01,71995.0
2008-10-01,82845.0
2008-11-01,84079.0
2008-12-01,82679.0
2009-01-01,69618.0
2009-02-01,84669.0
2009-03-01,81799.0
2009-04-01,86778.0
2009-05-01,126530.0
2009-06-01,102142.0
2009-07-01,85285.0
2009-08-01,95350.0
2009-09-01,78493.0
2009-10-01,65476.0
2009-11-01,61007.0
2009-12-01,59958.0
2010-01-01,55960.0
2010-02-01,57173.0
2010-03-01,75061.0
2010-04-01,81529.0
2010-05-01,100279.0
2010-06-01,89196.0
2010-07-01,127651.0
2010-08-01,130480.0
2010-09-01,118264.0
2010-10-01,112096.0
2010-11-01,101039.0
2010-12-01,99597.0
2011-01-01,89394.0
2011-02-01,54686.0
2011-03-01,69056.0
2011-04-01,79532.0
2011-05-01,104433.0
2011-06-01,102277.0
2011-07-01,135416.0
2011-08-01,137890.0
2011-09-01,147066.0
2011-10-01,107497.0
2011-11-01,97514.0
2011-12-01,98068.0
2012-01-01,98937.0
2012-02-01,66156.0
2012-03-01,86308.0
2012-04-01,113296.0
2012-05-01,133155.0
2012-06-01,121614.0
2012-07-01,158873.0
2012-08-01,190207.0
2012-09-01,175359.0
2012-10-01,118148.0
2012-11-01,129272.0
2012-12-01,124701.0
2013-01-01,103687.0
2013-02-01,112337.0
2013-03-01,128336.0
2013-04-01,137865.0
2013-05-01,178405.0
2013-06-01,176071.0
2013-07-01,203291.0
2013-08-01,239758.0
2013-09-01,196766.0
2013-10-01,148440.0
2013-11-01,136612.0
2013-12-01,119886.0
2014-01-01,103918.0
2014-02-01,102423.0
2014-03-01,127546.0
2014-04-01,140601.0
2014-05-01,184055.0
2014-06-01,171925.0
2014-07-01,197353.0
2014-08-01,244395.0
2014-09-01,177025.0
2014-10-01,156360.0
2014-11-01,134880.0
2014-12-01,132598.0
2015-01-01,108753.0
2015-02-01,108651.0
2015-03-01,126282.0
2015-04-01,138706.0
2015-05-01,197821.0
2015-06-01,166389.0
2015-07-01,223941.0
2015-08-01,236842.0
2015-09-01,223939.0
2015-10-01,171969.0
2015-11-01,160992.0
2015-12-01,153776.0
2016-01-01,114756.0
2016-02-01,156869.0
2016-03-01,176881.0
2016-04-01,187386.0
2016-05-01,236021.0
2016-06-01,201377.0
2016-07-01,236336.0
2016-08-01,254101.0
2016-09-01,249725.0
2016-10-01,190942.0
2016-11-01,180564.0
2016-12-01,168514.0
2017-01-01,145046.0
2017-02-01,146337.0
2017-03-01,194102.0
2017-04-01,189302.0
2017-05-01,244958.0
2017-06-01,217797.0
2017-07-01,308327.0
2017-08-01,312492.0
2017-09-01,301286.0
2017-10-01,225584.0
2017-11-01,186792.0
2017-12-01,194023.0
2018-01-01,158684.0
2018-02-01,165077.0
2018-03-01,189075.0
2018-04-01,191227.0
2018-05-01,218554.0
2018-06-01,221013.0
2018-07-01,240651.0
2018-08-01,274804.0
2018-09-01,236321.0
2018-10-01,169997.0
2018-11-01,148096.0
2018-12-01,146871.0
2019-01-01,118912.0
2019-02-01,126827.0
2019-03-01,153034.0
2019-04-01,153283.0
2019-05-01,197597.0
2019-06-01,190859.0
2019-07-01,268955.0
2019-08-01,287776.0
2019-09-01,262098.0
2019-10-01,184059.0
2019-11-01,173937.0
2019-12-01,175075.0
2020-01-01,143679.0
2020-02-01,140764.0
2020-03-01,65119.0
2020-04-01,3093.0
2020-05-01,4157.0
2020-06-01,6123.0
2020-07-01,8386.0
2020-08-01,11734.0
2020-09-01,13242.0
2020-10-01,10329.0
2020-11-01,9390.0
2020-12-01,9006.0
2021-01-01,8779.0
2021-02-01,9526.0
2021-03-01,11627.0
2021-04-01,13030.0
2021-05-01,16220.0
2021-06-01,20149.0
2021-07-01,32448.0
2021-08-01,28129.0
2021-09-01,29936.0
2021-10-01,25336.0
2021-11-01,27361.0
2021-12-01,48396.0
2022-01-01,38224.0
2022-02-01,48018.0
2022-03-01,77306.0
2022-04-01,109116.0
2022-05-01,141028.0
2022-06-01,162228.0
2022-07-01,205340.0
2022-08-01,222762.0
2022-09-01,221254.0
2022-10-01,179835.0
2022-11-01,162840.0
2022-12-01,153509.0
2023-01-01,129939.0
2023-02-01,110647.0
2023-03-01,141039.0
2023-04-01,133378.0
2023-05-01,159780.0
2023-06-01,156004.0
2023-07-01,195566.0
2023-08-01,207291.0
2023-09-01,188958.0
2023-10-01,144837.0
2023-11-01,129757.0
2023-12-01,133099.0
2024-01-01,103972.0
2024-02-01,112804.0
2024-03-01,128850.0
2024-04-01,125548.0
2024-05-01,146321.0
2024-06-01,139533.0
2024-07-01,172066.0
2024-08-01,179939.0
2024-09-01,152209.0
2024-10-01,122746.0
2024-11-01,114903.0
2024-12-01,111370.0
2025-01-01,99509.0
2025-02-01,75665.0
2025-03-01,104094.0
2025-04-01,111329.0
2025-05-01,134575.0
2025-06-01,130035.0
2025-07-01,156946.0
2025-08-01,169376.0
