Tarih,TP_URISTSAYIL_TOPLAM
2000-01-01,333915.0
2000-02-01,354486.0
2000-03-01,435158.0
2000-04-01,721128.0
2000-05-01,986376.0
2000-06-01,1079139.0
2000-07-01,1525742.0
2000-08-01,1419294.0
2000-09-01,1368420.0
2000-10-01,1178221.0
2000-11-01,602395.0
2000-12-01,423879.0
2001-01-01,359320.0
2001-02-01,404653.0
2001-03-01,547346.0
2001-04-01,884804.0
2001-05-01,1231484.0
2001-06-01,1388054.0
2001-07-01,1777846.0
2001-08-01,1601331.0
2001-09-01,1440365.0
2001-10-01,1065793.0
2001-11-01,520962.0
2001-12-01,397951.0
2002-01-01,306602.0
2002-02-01,426408.0
2002-03-01,675494.0
2002-04-01,846416.0
2002-05-01,1327302.0
2002-06-01,1457616.0
2002-07-01,1897062.0
2002-08-01,1900111.0
2002-09-01,1770499.0
2002-10-01,1420406.0
2002-11-01,662984.0
2002-12-01,557276.0
2003-01-01,362349.0
2003-02-01,478117.0
2003-03-01,495175.0
2003-04-01,665167.0
2003-05-01,1141558.0
2003-06-01,1506956.0
2003-07-01,2123678.0
2003-08-01,2263597.0
2003-09-01,1865650.0
2003-10-01,1648459.0
2003-11-01,769119.0
2003-12-01,636580.0
2004-01-01,533818.0
2004-02-01,607855.0
2004-03-01,783761.0
2004-04-01,1098401.0
2004-05-01,1801118.0
2004-06-01,1901716.0
2004-07-01,2597432.0
2004-08-01,2525917.0
2004-09-01,2127172.0
2004-10-01,1843417.0
2004-11-01,938440.0
2004-12-01,789337.0
2005-01-01,700469.0
2005-02-01,696643.0
2005-03-01,1107348.0
2005-04-01,1348264.0
2005-05-01,2302389.0
2005-06-01,2402912.0
2005-07-01,3180802.0
2005-08-01,2861141.0
2005-09-01,2502123.0
2005-10-01,2108398.0
2005-11-01,1052561.0
2005-12-01,861836.0
2006-01-01,667337.0
2006-02-01,626565.0
2006-03-01,921892.0
2006-04-01,1372922.0
2006-05-01,1918809.0
2006-06-01,2368628.0
2006-07-01,3109727.0
2006-08-01,2905817.0
2006-09-01,2267146.0
2006-10-01,1713916.0
2006-11-01,1020106.0
2006-12-01,926968.0
2007-01-01,714425.0
2007-02-01,787048.0
2007-03-01,1099960.0
2007-04-01,1520954.0
2007-05-01,2287645.0
2007-06-01,2774076.0
2007-07-01,3624156.0
2007-08-01,3384065.0
2007-09-01,2799276.0
2007-10-01,2152908.0
2007-11-01,1177475.0
2007-12-01,1018923.0
2008-01-01,782786.0
2008-02-01,896482.0
2008-03-01,1305297.0
2008-04-01,1647903.0
2008-05-01,2748564.0
2008-06-01,3305832.0
2008-07-01,4084764.0
2008-08-01,3762136.0
2008-09-01,2981044.0
2008-10-01,2462497.0
2008-11-01,1267996.0
2008-12-01,1091376.0
2009-01-01,751817.0
2009-02-01,898927.0
2009-03-01,1207729.0
2009-04-01,1750281.0
2009-05-01,2718788.0
2009-06-01,3263089.0
2009-07-01,4343025.0
2009-08-01,3760372.0
2009-09-01,3136010.0
2009-10-01,2617193.0
2009-11-01,1403740.0
2009-12-01,1226143.0
2010-01-01,809974.0
2010-02-01,953848.0
2010-03-01,1414616.0
2010-04-01,1744628.0
2010-05-01,3148337.0
2010-06-01,3500024.0
2010-07-01,4358275.0
2010-08-01,3719180.0
2010-09-01,3486319.0
2010-10-01,2840095.0
2010-11-01,1491005.0
2010-12-01,1165903.0
2011-01-01,975723.0
2011-02-01,1079505.0
2011-03-01,1617782.0
2011-04-01,2290722.0
2011-05-01,3283125.0
2011-06-01,3780637.0
2011-07-01,4597475.0
2011-08-01,4076783.0
2011-09-01,3923546.0
2011-10-01,3039754.0
2011-11-01,1596295.0
2011-12-01,1194729.0
2012-01-01,981611.0
2012-02-01,997571.0
2012-03-01,1460563.0
2012-04-01,2168715.0
2012-05-01,3232926.0
2012-06-01,3882592.0
2012-07-01,4571389.0
2012-08-01,4470202.0
2012-09-01,3991415.0
2012-10-01,3050981.0
2012-11-01,1631647.0
2012-12-01,1343220.0
2013-01-01,1104754.0
2013-02-01,1268440.0
2013-03-01,1841154.0
2013-04-01,2451031.0
2013-05-01,3810236.0
2013-06-01,4073906.0
2013-07-01,4593511.0
2013-08-01,4945999.0
2013-09-01,4266133.0
2013-10-01,3402460.0
2013-11-01,1709479.0
2013-12-01,1442995.0
2014-01-01,1146815.0
2014-02-01,1352184.0
2014-03-01,1851980.0
2014-04-01,2652071.0
2014-05-01,3900096.0
2014-06-01,4335075.0
2014-07-01,5214519.0
2014-08-01,5283333.0
2014-09-01,4352429.0
2014-10-01,3439554.0
2014-11-01,1729803.0
2014-12-01,1580041.0
2015-01-01,1250941.0
2015-02-01,1383343.0
2015-03-01,1895940.0
2015-04-01,2437263.0
2015-05-01,3804158.0
2015-06-01,4123109.0
2015-07-01,5480502.0
2015-08-01,5130967.0
2015-09-01,4251870.0
2015-10-01,3301194.0
2015-11-01,1720554.0
2015-12-01,1464791.0
2016-01-01,1170333.0
2016-02-01,1240633.0
2016-03-01,1652511.0
2016-04-01,1753045.0
2016-05-01,2485411.0
2016-06-01,2438293.0
2016-07-01,3468202.0
2016-08-01,3183003.0
2016-09-01,2855397.0
2016-10-01,2449948.0
2016-11-01,1353280.0
2016-12-01,1302157.0
2017-01-01,1055474.0
2017-02-01,1159833.0
2017-03-01,1587007.0
2017-04-01,2070322.0
2017-05-01,2889873.0
2017-06-01,3486940.0
2017-07-01,5075961.0
2017-08-01,4658463.0
2017-09-01,4076630.0
2017-10-01,2992947.0
2017-11-01,1652795.0
2017-12-01,1703789.0
2018-01-01,1461570.0
2018-02-01,1527070.0
2018-03-01,2139766.0
2018-04-01,2655561.0
2018-05-01,3678440.0
2018-06-01,4505594.0
2018-07-01,5671801.0
2018-08-01,5383332.0
2018-09-01,4792818.0
2018-10-01,3755467.0
2018-11-01,1966277.0
2018-12-01,1950705.0
2019-01-01,1539496.0
2019-02-01,1670238.0
2019-03-01,2232358.0
2019-04-01,3293176.0
2019-05-01,4022254.0
2019-06-01,5318984.0
2019-07-01,6617380.0
2019-08-01,6307508.0
2019-09-01,5426818.0
2019-10-01,4291574.0
2019-11-01,2190622.0
2019-12-01,2147878.0
2020-01-01,1787435.0
2020-02-01,1733112.0
2020-03-01,718097.0
2020-04-01,24238.0
2020-05-01,29829.0
2020-06-01,214768.0
2020-07-01,932927.0
2020-08-01,1814701.0
2020-09-01,2203482.0
2020-10-01,1742303.0
2020-11-01,833991.0
2020-12-01,699330.0
2021-01-01,509787.0
2021-02-01,537976.0
2021-03-01,905323.0
2021-04-01,790687.0
2021-05-01,936282.0
2021-06-01,2047596.0
2021-07-01,4360952.0
2021-08-01,3982168.0
2021-09-01,3513453.0
2021-10-01,3471540.0
2021-11-01,1763982.0
2021-12-01,1892520.0
2022-01-01,1281666.0
2022-02-01,1541393.0
2022-03-01,2079565.0
2022-04-01,2574423.0
2022-05-01,3873212.0
2022-06-01,5014821.0
2022-07-01,6665129.0
2022-08-01,6304443.0
2022-09-01,5475453.0
2022-10-01,4803198.0
2022-11-01,2551483.0
2022-12-01,2399441.0
2023-01-01,2005967.0
2023-02-01,1870414.0
2023-03-01,2335728.0
2023-04-01,3321824.0
2023-05-01,4500242.0
2023-06-01,5584021.0
2023-07-01,7148044.0
2023-08-01,6660700.0
2023-09-01,5786027.0
2023-10-01,4987112.0
2023-11-01,2525345.0
2023-12-01,2483756.0
2024-01-01,2047027.0
2024-02-01,2294579.0
2024-03-01,2701244.0
2024-04-01,3611244.0
2024-05-01,5130119.0
2024-06-01,5860446.0
2024-07-01,7333812.0
2024-08-01,6825403.0
2024-09-01,6054431.0
2024-10-01,5448459.0
2024-11-01,2733663.0
2024-12-01,2588856.0
2025-01-01,2171118.0
2025-02-01,2171942.0
2025-03-01,2346403.0
2025-04-01,3900546.0
2025-05-01,5037447.0
2025-06-01,5772328.0
2025-07-01,6969546.0
2025-08-01,6965343.0
