Tarih,TP_URISTSAYIL_VAN
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,2444.0
2003-10-01,2110.0
2003-11-01,1226.0
2003-12-01,1593.0
2004-01-01,1691.0
2004-02-01,1679.0
2004-03-01,3074.0
2004-04-01,1640.0
2004-05-01,1392.0
2004-06-01,3836.0
2004-07-01,2333.0
2004-08-01,2610.0
2004-09-01,2272.0
2004-10-01,1565.0
2004-11-01,1326.0
2004-12-01,1648.0
2005-01-01,1125.0
2005-02-01,1211.0
2005-03-01,2618.0
2005-04-01,1239.0
2005-05-01,1370.0
2005-06-01,1779.0
2005-07-01,1847.0
2005-08-01,1760.0
2005-09-01,2213.0
2005-10-01,1305.0
2005-11-01,1370.0
2005-12-01,1566.0
2006-01-01,999.0
2006-02-01,1199.0
2006-03-01,2480.0
2006-04-01,1277.0
2006-05-01,1608.0
2006-06-01,2048.0
2006-07-01,2205.0
2006-08-01,2884.0
2006-09-01,2363.0
2006-10-01,1206.0
2006-11-01,1523.0
2006-12-01,1243.0
2007-01-01,856.0
2007-02-01,1087.0
2007-03-01,2520.0
2007-04-01,1038.0
2007-05-01,1488.0
2007-06-01,1532.0
2007-07-01,1794.0
2007-08-01,2270.0
2007-09-01,1552.0
2007-10-01,1411.0
2007-11-01,1743.0
2007-12-01,1262.0
2008-01-01,818.0
2008-02-01,1235.0
2008-03-01,2270.0
2008-04-01,1472.0
2008-05-01,1740.0
2008-06-01,2222.0
2008-07-01,3078.0
2008-08-01,2971.0
2008-09-01,2014.0
2008-10-01,1937.0
2008-11-01,1485.0
2008-12-01,1258.0
2009-01-01,1375.0
2009-02-01,1449.0
2009-03-01,2965.0
2009-04-01,1890.0
2009-05-01,2080.0
2009-06-01,2729.0
2009-07-01,3354.0
2009-08-01,2359.0
2009-09-01,2482.0
2009-10-01,2436.0
2009-11-01,1967.0
2009-12-01,1980.0
2010-01-01,1452.0
2010-02-01,1831.0
2010-03-01,2595.0
2010-04-01,1688.0
2010-05-01,1693.0
2010-06-01,2870.0
2010-07-01,3312.0
2010-08-01,2512.0
2010-09-01,2853.0
2010-10-01,2818.0
2010-11-01,2444.0
2010-12-01,2081.0
2011-01-01,2065.0
2011-02-01,2017.0
2011-03-01,3048.0
2011-04-01,2125.0
2011-05-01,2369.0
2011-06-01,5936.0
2011-07-01,6841.0
2011-08-01,6028.0
2011-09-01,10037.0
2011-10-01,4660.0
2011-11-01,2814.0
2011-12-01,3084.0
2012-01-01,3015.0
2012-02-01,2062.0
2012-03-01,5556.0
2012-04-01,2659.0
2012-05-01,3991.0
2012-06-01,4090.0
2012-07-01,4600.0
2012-08-01,5965.0
2012-09-01,4872.0
2012-10-01,4483.0
2012-11-01,4289.0
2012-12-01,3997.0
2013-01-01,4469.0
2013-02-01,4992.0
2013-03-01,7211.0
2013-04-01,5601.0
2013-05-01,8709.0
2013-06-01,8142.0
2013-07-01,6617.0
2013-08-01,8504.0
2013-09-01,9528.0
2013-10-01,8306.0
2013-11-01,7267.0
2013-12-01,5734.0
2014-01-01,6220.0
2014-02-01,10926.0
2014-03-01,21002.0
2014-04-01,7420.0
2014-05-01,9565.0
2014-06-01,12516.0
2014-07-01,13205.0
2014-08-01,16203.0
2014-09-01,23238.0
2014-10-01,13700.0
2014-11-01,10350.0
2014-12-01,9829.0
2015-01-01,8069.0
2015-02-01,18021.0
2015-03-01,30752.0
2015-04-01,9699.0
2015-05-01,14525.0
2015-06-01,17416.0
2015-07-01,24407.0
2015-08-01,9305.0
2015-09-01,0.0
2015-10-01,2421.0
2015-11-01,9509.0
2015-12-01,10445.0
2016-01-01,7451.0
2016-02-01,19412.0
2016-03-01,33320.0
2016-04-01,12717.0
2016-05-01,16811.0
2016-06-01,17746.0
2016-07-01,19697.0
2016-08-01,20200.0
2016-09-01,24059.0
2016-10-01,21070.0
2016-11-01,17687.0
2016-12-01,11521.0
2017-01-01,12796.0
2017-02-01,30103.0
2017-03-01,51355.0
2017-04-01,18392.0
2017-05-01,23477.0
2017-06-01,34920.0
2017-07-01,37992.0
2017-08-01,48679.0
2017-09-01,65907.0
2017-10-01,39327.0
2017-11-01,32448.0
2017-12-01,26581.0
2018-01-01,22403.0
2018-02-01,41463.0
2018-03-01,58864.0
2018-04-01,9832.0
