Tarih,TP_URISTSAYIL_KILIS
2000-01-01,4060.0
2000-02-01,8338.0
2000-03-01,20180.0
2000-04-01,10407.0
2000-05-01,26106.0
2000-06-01,17594.0
2000-07-01,23078.0
2000-08-01,16398.0
2000-09-01,25887.0
2000-10-01,14784.0
2000-11-01,19751.0
2000-12-01,4183.0
2001-01-01,6107.0
2001-02-01,5541.0
2001-03-01,15788.0
2001-04-01,9697.0
2001-05-01,30844.0
2001-06-01,13751.0
2001-07-01,18439.0
2001-08-01,15381.0
2001-09-01,20022.0
2001-10-01,16045.0
2001-11-01,11539.0
2001-12-01,2478.0
2002-01-01,4471.0
2002-02-01,4945.0
2002-03-01,17163.0
2002-04-01,15304.0
2002-05-01,18348.0
2002-06-01,20293.0
2002-07-01,19473.0
2002-08-01,15986.0
2002-09-01,23805.0
2002-10-01,21754.0
2002-11-01,10901.0
2002-12-01,10038.0
2003-01-01,8299.0
2003-02-01,6512.0
2003-03-01,13538.0
2003-04-01,9192.0
2003-05-01,10139.0
2003-06-01,14023.0
2003-07-01,21988.0
2003-08-01,26557.0
2003-09-01,33980.0
2003-10-01,27122.0
2003-11-01,4547.0
2003-12-01,8257.0
2004-01-01,5538.0
2004-02-01,4997.0
2004-03-01,13895.0
2004-04-01,8612.0
2004-05-01,14173.0
2004-06-01,19925.0
2004-07-01,23274.0
2004-08-01,24166.0
2004-09-01,29537.0
2004-10-01,24677.0
2004-11-01,12339.0
2004-12-01,30033.0
2005-01-01,10336.0
2005-02-01,10009.0
2005-03-01,32179.0
2005-04-01,26464.0
2005-05-01,33630.0
2005-06-01,28267.0
2005-07-01,42204.0
2005-08-01,36354.0
2005-09-01,48881.0
2005-10-01,20291.0
2005-11-01,35172.0
2005-12-01,32496.0
2006-01-01,12169.0
2006-02-01,9817.0
2006-03-01,26464.0
2006-04-01,23969.0
2006-05-01,34933.0
2006-06-01,30449.0
2006-07-01,38324.0
2006-08-01,31117.0
2006-09-01,36192.0
2006-10-01,6581.0
2006-11-01,46450.0
2006-12-01,21725.0
2007-01-01,24707.0
2007-02-01,12008.0
2007-03-01,30732.0
2007-04-01,23170.0
2007-05-01,39591.0
2007-06-01,37921.0
2007-07-01,45205.0
2007-08-01,45520.0
2007-09-01,32540.0
2007-10-01,27609.0
2007-11-01,53228.0
2007-12-01,29002.0
2008-01-01,18005.0
2008-02-01,13546.0
2008-03-01,35232.0
2008-04-01,28396.0
2008-05-01,44467.0
2008-06-01,44525.0
2008-07-01,52602.0
2008-08-01,45867.0
2008-09-01,13806.0
2008-10-01,42843.0
2008-11-01,40175.0
2008-12-01,26610.0
2009-01-01,12583.0
2009-02-01,15723.0
2009-03-01,38118.0
2009-04-01,26607.0
2009-05-01,40661.0
2009-06-01,46084.0
2009-07-01,60326.0
2009-08-01,43872.0
2009-09-01,17342.0
2009-10-01,70023.0
2009-11-01,57906.0
2009-12-01,34532.0
2010-01-01,29122.0
2010-02-01,29807.0
2010-03-01,65485.0
2010-04-01,50990.0
2010-05-01,57834.0
2010-06-01,60207.0
2010-07-01,71769.0
2010-08-01,35554.0
2010-09-01,53323.0
2010-10-01,58007.0
2010-11-01,50637.0
2010-12-01,34340.0
2011-01-01,31495.0
2011-02-01,24867.0
2011-03-01,56995.0
2011-04-01,37681.0
2011-05-01,34805.0
2011-06-01,33130.0
2011-07-01,42147.0
2011-08-01,23072.0
2011-09-01,43003.0
2011-10-01,34319.0
2011-11-01,26822.0
2011-12-01,19369.0
2012-01-01,20654.0
2012-02-01,8457.0
2012-03-01,8435.0
2012-04-01,7124.0
2012-05-01,12069.0
2012-06-01,5768.0
2012-07-01,586.0
2012-08-01,12250.0
2012-09-01,20652.0
2012-10-01,23797.0
2012-11-01,22313.0
2012-12-01,28252.0
2013-01-01,30303.0
2013-02-01,29624.0
2013-03-01,33976.0
2013-04-01,43438.0
2013-05-01,46830.0
2013-06-01,44451.0
2013-07-01,46945.0
2013-08-01,49556.0
2013-09-01,24063.0
2013-10-01,7365.0
2013-11-01,27870.0
2013-12-01,33886.0
2014-01-01,28315.0
2014-02-01,31653.0
2014-03-01,38129.0
2014-04-01,43912.0
2014-05-01,43514.0
2014-06-01,36146.0
2014-07-01,34353.0
2014-08-01,44118.0
2014-09-01,41970.0
2014-10-01,43029.0
2014-11-01,36738.0
2014-12-01,37880.0
2015-01-01,33499.0
2015-02-01,34211.0
2015-03-01,9357.0
2015-04-01,529.0
2015-05-01,823.0
2015-06-01,1220.0
2015-07-01,4375.0
2015-08-01,1035.0
2015-09-01,4126.0
2015-10-01,5358.0
2015-11-01,2011.0
2015-12-01,2286.0
2016-01-01,2458.0
2016-02-01,3293.0
2016-03-01,4202.0
2016-04-01,4437.0
2016-05-01,4925.0
2016-06-01,5280.0
2016-07-01,4563.0
2016-08-01,5227.0
2016-09-01,4682.0
2016-10-01,5625.0
2016-11-01,5276.0
2016-12-01,5524.0
2017-01-01,5344.0
2017-02-01,5048.0
2017-03-01,5448.0
2017-04-01,5137.0
2017-05-01,5602.0
2017-06-01,10058.0
2017-07-01,44501.0
2017-08-01,6012.0
2017-09-01,44965.0
2017-10-01,14237.0
2017-11-01,5886.0
2017-12-01,5699.0
2018-01-01,4153.0
2018-02-01,2954.0
2018-03-01,3962.0
2018-04-01,3857.0
2018-05-01,4394.0
2018-06-01,13251.0
2018-07-01,40440.0
2018-08-01,5493.0
2018-09-01,30068.0
2018-10-01,11040.0
2018-11-01,7740.0
2018-12-01,9286.0
2019-01-01,8434.0
2019-02-01,6010.0
2019-03-01,6628.0
2019-04-01,6735.0
2019-05-01,6263.0
2019-06-01,15954.0
2019-07-01,12805.0
2019-08-01,18045.0
2019-09-01,26571.0
2019-10-01,13908.0
2019-11-01,8602.0
2019-12-01,8032.0
2020-01-01,8428.0
2020-02-01,8858.0
2020-03-01,7447.0
2020-04-01,2297.0
2020-05-01,2258.0
2020-06-01,3207.0
2020-07-01,5416.0
2020-08-01,4433.0
2020-09-01,4067.0
2020-10-01,4400.0
2020-11-01,4547.0
2020-12-01,4681.0
2021-01-01,4128.0
2021-02-01,4555.0
2021-03-01,5698.0
2021-04-01,5206.0
2021-05-01,4595.0
2021-06-01,6018.0
2021-07-01,8643.0
2021-08-01,18014.0
2021-09-01,9184.0
2021-10-01,7820.0
2021-11-01,7400.0
2021-12-01,8152.0
2022-01-01,4864.0
2022-02-01,5061.0
2022-03-01,5497.0
2022-04-01,3932.0
2022-05-01,6710.0
2022-06-01,7265.0
2022-07-01,5357.0
2022-08-01,5654.0
2022-09-01,5118.0
2022-10-01,5069.0
2022-11-01,4839.0
2022-12-01,5359.0
2023-01-01,4886.0
2023-02-01,3169.0
2023-03-01,5613.0
2023-04-01,10194.0
2023-05-01,10308.0
2023-06-01,8756.0
2023-07-01,6107.0
2023-08-01,6516.0
2023-09-01,5687.0
2023-10-01,6095.0
2023-11-01,6226.0
2023-12-01,6215.0
2024-01-01,6131.0
2024-02-01,5919.0
2024-03-01,5483.0
2024-04-01,4589.0
2024-05-01,4698.0
2024-06-01,4610.0
2024-07-01,2305.0
2024-08-01,2956.0
2024-09-01,2950.0
2024-10-01,2424.0
2024-11-01,1690.0
2024-12-01,1170.0
2025-01-01,2610.0
2025-02-01,4555.0
2025-03-01,2326.0
2025-04-01,3687.0
2025-05-01,4581.0
2025-06-01,9584.0
2025-07-01,1303.0
2025-08-01,1562.0
