Tarih,TP_URISTSAYIL_HATAY
2000-01-01,6975.0
2000-02-01,9249.0
2000-03-01,10374.0
2000-04-01,7454.0
2000-05-01,7931.0
2000-06-01,9965.0
2000-07-01,14495.0
2000-08-01,14424.0
2000-09-01,11156.0
2000-10-01,9142.0
2000-11-01,8434.0
2000-12-01,6968.0
2001-01-01,5683.0
2001-02-01,5356.0
2001-03-01,7196.0
2001-04-01,7912.0
2001-05-01,7769.0
2001-06-01,9830.0
2001-07-01,16991.0
2001-08-01,19772.0
2001-09-01,12622.0
2001-10-01,9922.0
2001-11-01,8730.0
2001-12-01,7226.0
2002-01-01,6850.0
2002-02-01,7942.0
2002-03-01,8856.0
2002-04-01,8243.0
2002-05-01,9434.0
2002-06-01,11543.0
2002-07-01,21885.0
2002-08-01,21096.0
2002-09-01,12560.0
2002-10-01,10938.0
2002-11-01,9025.0
2002-12-01,7763.0
2003-01-01,7095.0
2003-02-01,10723.0
2003-03-01,7203.0
2003-04-01,7506.0
2003-05-01,8426.0
2003-06-01,11585.0
2003-07-01,18839.0
2003-08-01,27171.0
2003-09-01,17236.0
2003-10-01,11850.0
2003-11-01,8747.0
2003-12-01,9232.0
2004-01-01,7711.0
2004-02-01,11655.0
2004-03-01,10810.0
2004-04-01,11546.0
2004-05-01,11116.0
2004-06-01,12848.0
2004-07-01,19532.0
2004-08-01,24110.0
2004-09-01,8956.0
2004-10-01,12993.0
2004-11-01,12139.0
2004-12-01,12222.0
2005-01-01,11813.0
2005-02-01,11848.0
2005-03-01,14632.0
2005-04-01,14847.0
2005-05-01,15651.0
2005-06-01,18517.0
2005-07-01,31193.0
2005-08-01,40208.0
2005-09-01,26864.0
2005-10-01,16538.0
2005-11-01,18528.0
2005-12-01,18574.0
2006-01-01,19007.0
2006-02-01,14694.0
2006-03-01,15833.0
2006-04-01,15736.0
2006-05-01,17560.0
2006-06-01,20225.0
2006-07-01,34226.0
2006-08-01,31818.0
2006-09-01,20784.0
2006-10-01,14959.0
2006-11-01,15134.0
2006-12-01,13534.0
2007-01-01,12636.0
2007-02-01,11900.0
2007-03-01,10086.0
2007-04-01,14453.0
2007-05-01,17073.0
2007-06-01,20220.0
2007-07-01,33746.0
2007-08-01,41161.0
2007-09-01,21090.0
2007-10-01,27142.0
2007-11-01,17874.0
2007-12-01,25561.0
2008-01-01,19645.0
2008-02-01,16191.0
2008-03-01,18173.0
2008-04-01,18440.0
2008-05-01,19980.0
2008-06-01,23281.0
2008-07-01,41999.0
2008-08-01,59291.0
2008-09-01,21600.0
2008-10-01,25696.0
2008-11-01,18819.0
