Tarih,TP_URISTSAYIL_ELAZIG
2019-05-01,328.0
2019-06-01,1289.0
2019-07-01,3113.0
2019-08-01,1905.0
2019-09-01,1280.0
2019-10-01,904.0
2019-11-01,198.0
2019-12-01,431.0
2020-01-01,158.0
2020-02-01,2.0
2020-03-01,1.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,664.0
2020-07-01,2947.0
2020-08-01,1496.0
2020-09-01,427.0
2020-10-01,178.0
2020-11-01,0.0
2020-12-01,1.0
2021-01-01,11.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,466.0
2021-06-01,1932.0
2021-07-01,6738.0
2021-08-01,3536.0
2021-09-01,1154.0
2021-10-01,1.0
2021-11-01,0.0
2021-12-01,385.0
2022-01-01,87.0
2022-02-01,6.0
2022-03-01,51.0
2022-04-01,743.0
2022-05-01,2203.0
2022-06-01,2868.0
2022-07-01,5683.0
2022-08-01,4062.0
2022-09-01,1584.0
2022-10-01,995.0
2022-11-01,243.0
2022-12-01,508.0
2023-01-01,343.0
2023-02-01,283.0
2023-03-01,255.0
2023-04-01,814.0
2023-05-01,1373.0
2023-06-01,2397.0
2023-07-01,4091.0
2023-08-01,3440.0
2023-09-01,1673.0
2023-10-01,1430.0
2023-11-01,309.0
2023-12-01,999.0
2024-01-01,512.0
2024-02-01,439.0
2024-03-01,505.0
2024-04-01,1088.0
2024-05-01,1661.0
2024-06-01,2349.0
2024-07-01,4059.0
2024-08-01,2950.0
2024-09-01,2006.0
2024-10-01,1532.0
2024-11-01,490.0
2024-12-01,1117.0
2025-01-01,364.0
2025-02-01,303.0
2025-03-01,395.0
2025-04-01,1628.0
2025-05-01,1892.0
2025-06-01,2605.0
2025-07-01,3872.0
2025-08-01,2987.0
