Tarih,TP_URISTSAYIL_KOCAELI
2000-01-01,84.0
2000-02-01,81.0
2000-03-01,147.0
2000-04-01,102.0
2000-05-01,96.0
2000-06-01,102.0
2000-07-01,122.0
2000-08-01,75.0
2000-09-01,109.0
2000-10-01,110.0
2000-11-01,78.0
2000-12-01,81.0
2001-01-01,76.0
2001-02-01,52.0
2001-03-01,92.0
2001-04-01,93.0
2001-05-01,100.0
2001-06-01,116.0
2001-07-01,105.0
2001-08-01,93.0
2001-09-01,85.0
2001-10-01,122.0
2001-11-01,120.0
2001-12-01,108.0
2002-01-01,102.0
2002-02-01,114.0
2002-03-01,102.0
2002-04-01,132.0
2002-05-01,117.0
2002-06-01,117.0
2002-07-01,188.0
2002-08-01,97.0
2002-09-01,101.0
2002-10-01,84.0
2002-11-01,90.0
2002-12-01,157.0
2003-01-01,103.0
2003-02-01,116.0
2003-03-01,160.0
2003-04-01,164.0
2003-05-01,162.0
2003-06-01,195.0
2003-07-01,172.0
2003-08-01,221.0
2003-09-01,179.0
2003-10-01,217.0
2003-11-01,176.0
2003-12-01,301.0
2004-01-01,217.0
2004-02-01,178.0
2004-03-01,188.0
2004-04-01,130.0
2004-05-01,220.0
2004-06-01,203.0
2004-07-01,229.0
2004-08-01,156.0
2004-09-01,205.0
2004-10-01,224.0
2004-11-01,135.0
2004-12-01,183.0
2005-01-01,136.0
2005-02-01,91.0
2005-03-01,146.0
2005-04-01,206.0
2005-05-01,154.0
2005-06-01,191.0
2005-07-01,178.0
2005-08-01,157.0
2005-09-01,191.0
2005-10-01,104.0
2005-11-01,200.0
2005-12-01,209.0
2006-01-01,104.0
2006-02-01,164.0
2006-03-01,202.0
2006-04-01,243.0
2006-05-01,258.0
2006-06-01,213.0
2006-07-01,193.0
2006-08-01,179.0
2006-09-01,221.0
2006-10-01,173.0
2006-11-01,248.0
2006-12-01,242.0
2007-01-01,220.0
2007-02-01,208.0
2007-03-01,217.0
2007-04-01,243.0
2007-05-01,249.0
2007-06-01,189.0
2007-07-01,233.0
2007-08-01,181.0
2007-09-01,209.0
2007-10-01,356.0
2007-11-01,244.0
2007-12-01,352.0
2008-01-01,294.0
2008-02-01,240.0
2008-03-01,398.0
2008-04-01,291.0
2008-05-01,354.0
2008-06-01,374.0
2008-07-01,420.0
2008-08-01,316.0
2008-09-01,301.0
2008-10-01,303.0
2008-11-01,224.0
2008-12-01,328.0
2009-01-01,240.0
2009-02-01,261.0
2009-03-01,291.0
2009-04-01,333.0
2009-05-01,365.0
2009-06-01,335.0
2009-07-01,428.0
2009-08-01,372.0
2009-09-01,357.0
2009-10-01,371.0
2009-11-01,410.0
2009-12-01,351.0
2010-01-01,353.0
2010-02-01,354.0
2010-03-01,310.0
2010-04-01,275.0
2010-05-01,425.0
2010-06-01,357.0
2010-07-01,365.0
2010-08-01,443.0
2010-09-01,335.0
2010-10-01,400.0
2010-11-01,347.0
2010-12-01,549.0
2011-01-01,373.0
2011-02-01,320.0
2011-03-01,421.0
2011-04-01,401.0
2011-05-01,347.0
2011-06-01,412.0
2011-07-01,394.0
2011-08-01,339.0
2011-09-01,328.0
2011-10-01,416.0
2011-11-01,334.0
2011-12-01,425.0
2012-01-01,380.0
2012-02-01,350.0
2012-03-01,440.0
2012-04-01,455.0
2012-05-01,449.0
2012-06-01,498.0
2012-07-01,433.0
2012-08-01,444.0
2012-09-01,448.0
2012-10-01,557.0
2012-11-01,426.0
2012-12-01,508.0
2013-01-01,428.0
2013-02-01,484.0
2013-03-01,513.0
2013-04-01,468.0
2013-05-01,493.0
2013-06-01,411.0
2013-07-01,442.0
2013-08-01,454.0
2013-09-01,550.0
2013-10-01,495.0
2013-11-01,555.0
2013-12-01,501.0
2014-01-01,404.0
2014-02-01,451.0
2014-03-01,576.0
2014-04-01,514.0
2014-05-01,548.0
2014-06-01,613.0
2014-07-01,574.0
2014-08-01,660.0
2014-09-01,860.0
2014-10-01,1132.0
2014-11-01,883.0
2014-12-01,1001.0
2015-01-01,906.0
2015-02-01,912.0
2015-03-01,1031.0
2015-04-01,975.0
2015-05-01,1023.0
2015-06-01,957.0
2015-07-01,956.0
2015-08-01,1145.0
2015-09-01,918.0
2015-10-01,951.0
2015-11-01,898.0
2015-12-01,1090.0
2016-01-01,623.0
2016-02-01,713.0
2016-03-01,700.0
2016-04-01,740.0
2016-05-01,721.0
2016-06-01,616.0
2016-07-01,482.0
2016-08-01,624.0
2016-09-01,572.0
2016-10-01,584.0
2016-11-01,451.0
2016-12-01,631.0
2017-01-01,534.0
2017-02-01,515.0
2017-03-01,695.0
2017-04-01,503.0
2017-05-01,618.0
2017-06-01,665.0
2017-07-01,565.0
2017-08-01,684.0
2017-09-01,606.0
2017-10-01,761.0
2017-11-01,583.0
2017-12-01,3158.0
2018-01-01,3462.0
2018-02-01,3343.0
2018-03-01,3385.0
2018-04-01,3775.0
2018-05-01,3699.0
2018-06-01,3652.0
2018-07-01,3424.0
2018-08-01,3354.0
2018-09-01,3302.0
2018-10-01,3454.0
2018-11-01,2871.0
2018-12-01,2879.0
2019-01-01,3198.0
2019-02-01,3123.0
2019-03-01,3991.0
2019-04-01,7400.0
2019-05-01,7304.0
2019-06-01,5880.0
2019-07-01,7249.0
2019-08-01,3441.0
2019-09-01,7706.0
2019-10-01,7676.0
2019-11-01,7020.0
2019-12-01,4245.0
2020-01-01,7922.0
2020-02-01,3512.0
2020-03-01,121.0
2020-04-01,4.0
2020-05-01,11.0
2020-06-01,178.0
2020-07-01,583.0
2020-08-01,420.0
2020-09-01,575.0
2020-10-01,718.0
2020-11-01,524.0
2020-12-01,396.0
2021-01-01,559.0
2021-02-01,591.0
2021-03-01,508.0
2021-04-01,623.0
2021-05-01,1164.0
2021-06-01,611.0
2021-07-01,517.0
2021-08-01,820.0
2021-09-01,548.0
2021-10-01,503.0
2021-11-01,580.0
2021-12-01,632.0
2022-01-01,514.0
2022-02-01,708.0
2022-03-01,569.0
2022-04-01,938.0
2022-05-01,1376.0
2022-06-01,1703.0
2022-07-01,1645.0
2022-08-01,1344.0
2022-09-01,1569.0
2022-10-01,1691.0
2022-11-01,1821.0
2022-12-01,2052.0
2023-01-01,1710.0
2023-02-01,1619.0
2023-03-01,2469.0
2023-04-01,2337.0
2023-05-01,2419.0
