Tarih,TP_URISTSAYIL_SIRNAK
2000-01-01,4240.0
2000-02-01,1287.0
2000-03-01,1390.0
2000-04-01,2086.0
2000-05-01,2240.0
2000-06-01,1955.0
2000-07-01,2904.0
2000-08-01,3949.0
2000-09-01,2498.0
2000-10-01,2099.0
2000-11-01,2068.0
2000-12-01,972.0
2001-01-01,1046.0
2001-02-01,1191.0
2001-03-01,1599.0
2001-04-01,2554.0
2001-05-01,2219.0
2001-06-01,1908.0
2001-07-01,2456.0
2001-08-01,7342.0
2001-09-01,1663.0
2001-10-01,1035.0
2001-11-01,681.0
2001-12-01,690.0
2002-01-01,819.0
2002-02-01,638.0
2002-03-01,878.0
2002-04-01,1070.0
2002-05-01,1185.0
2002-06-01,1047.0
2002-07-01,1791.0
2002-08-01,2480.0
2002-09-01,1132.0
2002-10-01,974.0
2002-11-01,560.0
2002-12-01,759.0
2003-01-01,820.0
2003-02-01,512.0
2003-03-01,427.0
2003-04-01,314.0
2003-05-01,1019.0
2003-06-01,1827.0
2003-07-01,4157.0
2003-08-01,4268.0
2003-09-01,4935.0
2003-10-01,4514.0
2003-11-01,3885.0
2003-12-01,5474.0
2004-01-01,6990.0
2004-02-01,6801.0
2004-03-01,9962.0
2004-04-01,10772.0
2004-05-01,12042.0
2004-06-01,12413.0
2004-07-01,14363.0
2004-08-01,20825.0
2004-09-01,15537.0
2004-10-01,12932.0
2004-11-01,10660.0
2004-12-01,10131.0
2005-01-01,7461.0
2005-02-01,6834.0
2005-03-01,9040.0
2005-04-01,10409.0
2005-05-01,11167.0
2005-06-01,11392.0
2005-07-01,15973.0
2005-08-01,20743.0
2005-09-01,13548.0
2005-10-01,8094.0
2005-11-01,7638.0
2005-12-01,5022.0
2006-01-01,5508.0
2006-02-01,5527.0
2006-03-01,7530.0
2006-04-01,7623.0
2006-05-01,6016.0
2006-06-01,8659.0
2006-07-01,11435.0
2006-08-01,15399.0
2006-09-01,9491.0
2006-10-01,5917.0
2006-11-01,7146.0
2006-12-01,4493.0
2007-01-01,5131.0
2007-02-01,5103.0
2007-03-01,5769.0
2007-04-01,8003.0
2007-05-01,8756.0
2007-06-01,7119.0
2007-07-01,10609.0
2007-08-01,14947.0
2007-09-01,12110.0
2007-10-01,9644.0
2007-11-01,8948.0
2007-12-01,7493.0
2008-01-01,6896.0
2008-02-01,8242.0
2008-03-01,10787.0
2008-04-01,11411.0
2008-05-01,11977.0
2008-06-01,14150.0
2008-07-01,22649.0
2008-08-01,28399.0
2008-09-01,14461.0
2008-10-01,18330.0
2008-11-01,14855.0
2008-12-01,13680.0
2009-01-01,10065.0
2009-02-01,10055.0
2009-03-01,12652.0
2009-04-01,15150.0
2009-05-01,16433.0
2009-06-01,17733.0
2009-07-01,26102.0
2009-08-01,31733.0
2009-09-01,16674.0
2009-10-01,18528.0
2009-11-01,14763.0
2009-12-01,15069.0
2010-01-01,6554.0
2010-02-01,13508.0
2010-03-01,9292.0
2010-04-01,11244.0
2010-05-01,10872.0
2010-06-01,15391.0
2010-07-01,30159.0
2010-08-01,23717.0
2010-09-01,19284.0
2010-10-01,23842.0
2010-11-01,20553.0
2010-12-01,24205.0
2011-01-01,18158.0
2011-02-01,14177.0
2011-03-01,13351.0
2011-04-01,15207.0
2011-05-01,16609.0
2011-06-01,20907.0
2011-07-01,38828.0
2011-08-01,24470.0
2011-09-01,29723.0
2011-10-01,20545.0
2011-11-01,18914.0
2011-12-01,17890.0
2012-01-01,13239.0
2012-02-01,12943.0
2012-03-01,15908.0
2012-04-01,19446.0
2012-05-01,19906.0
2012-06-01,33849.0
2012-07-01,41849.0
2012-08-01,45794.0
2012-09-01,40131.0
2012-10-01,34812.0
2012-11-01,31966.0
2012-12-01,26735.0
2013-01-01,19751.0
2013-02-01,22894.0
2013-03-01,27278.0
2013-04-01,30695.0
2013-05-01,31609.0
2013-06-01,46259.0
2013-07-01,42532.0
2013-08-01,87442.0
2013-09-01,57898.0
2013-10-01,58618.0
2013-11-01,40016.0
2013-12-01,39038.0
2014-01-01,31563.0
2014-02-01,35745.0
2014-03-01,42770.0
2014-04-01,43774.0
2014-05-01,55181.0
2014-06-01,66333.0
2014-07-01,72008.0
2014-08-01,44548.0
2014-09-01,12484.0
2014-10-01,27059.0
2014-11-01,29175.0
2014-12-01,32823.0
2015-01-01,23147.0
2015-02-01,26356.0
2015-03-01,42403.0
2015-04-01,41144.0
2015-05-01,51659.0
2015-06-01,49155.0
2015-07-01,82404.0
2015-08-01,78264.0
2015-09-01,48952.0
2015-10-01,43026.0
2015-11-01,35370.0
2015-12-01,18641.0
