Tarih,TP_URISTSAYIL_GAZIANTEP
2000-01-01,466.0
2000-02-01,500.0
2000-03-01,804.0
2000-04-01,913.0
2000-05-01,885.0
2000-06-01,1419.0
2000-07-01,1937.0
2000-08-01,1605.0
2000-09-01,1213.0
2000-10-01,859.0
2000-11-01,671.0
2000-12-01,747.0
2001-01-01,540.0
2001-02-01,640.0
2001-03-01,1195.0
2001-04-01,1183.0
2001-05-01,1440.0
2001-06-01,2630.0
2001-07-01,3210.0
2001-08-01,2753.0
2001-09-01,2697.0
2001-10-01,1891.0
2001-11-01,1237.0
2001-12-01,962.0
2002-01-01,920.0
2002-02-01,1197.0
2002-03-01,1508.0
2002-04-01,1438.0
2002-05-01,1362.0
2002-06-01,1963.0
2002-07-01,3441.0
2002-08-01,2599.0
2002-09-01,2070.0
2002-10-01,889.0
2002-11-01,1487.0
2002-12-01,1689.0
2003-01-01,886.0
2003-02-01,740.0
2003-03-01,1069.0
2003-04-01,898.0
2003-05-01,780.0
2003-06-01,1213.0
2003-07-01,2269.0
2003-08-01,2439.0
2003-09-01,2179.0
2003-10-01,1551.0
2003-11-01,1346.0
2003-12-01,1996.0
2004-01-01,1830.0
2004-02-01,1789.0
2004-03-01,3049.0
2004-04-01,2735.0
2004-05-01,3618.0
2004-06-01,5372.0
2004-07-01,6924.0
2004-08-01,5627.0
2004-09-01,4383.0
2004-10-01,3074.0
2004-11-01,1728.0
2004-12-01,2695.0
2005-01-01,2036.0
2005-02-01,2306.0
2005-03-01,1613.0
2005-04-01,1256.0
2005-05-01,2484.0
2005-06-01,3089.0
2005-07-01,2113.0
2005-08-01,1743.0
2005-09-01,2001.0
2005-10-01,1632.0
2005-11-01,1887.0
2005-12-01,2142.0
2006-01-01,1359.0
2006-02-01,2229.0
2006-03-01,2464.0
2006-04-01,1579.0
2006-05-01,1600.0
2006-06-01,1827.0
2006-07-01,2564.0
2006-08-01,3091.0
2006-09-01,2591.0
2006-10-01,1486.0
2006-11-01,2164.0
2006-12-01,1954.0
2007-01-01,1275.0
2007-02-01,1610.0
2007-03-01,2419.0
2007-04-01,2245.0
2007-05-01,3603.0
2007-06-01,4714.0
2007-07-01,7810.0
2007-08-01,5751.0
2007-09-01,4145.0
2007-10-01,3469.0
2007-11-01,2886.0
2007-12-01,2360.0
2008-01-01,2080.0
2008-02-01,2378.0
2008-03-01,3726.0
2008-04-01,4431.0
2008-05-01,6236.0
2008-06-01,7069.0
2008-07-01,11642.0
2008-08-01,8284.0
2008-09-01,6094.0
2008-10-01,4766.0
2008-11-01,3279.0
2008-12-01,3418.0
2009-01-01,2832.0
2009-02-01,1990.0
2009-03-01,4205.0
2009-04-01,4501.0
2009-05-01,4755.0
2009-06-01,6319.0
2009-07-01,9559.0
2009-08-01,5526.0
2009-09-01,3965.0
2009-10-01,4563.0
2009-11-01,3314.0
2009-12-01,3617.0
2010-01-01,1520.0
2010-02-01,2804.0
2010-03-01,4985.0
2010-04-01,4342.0
2010-05-01,4683.0
2010-06-01,6217.0
2010-07-01,7761.0
2010-08-01,6546.0
2010-09-01,4947.0
2010-10-01,6021.0
2010-11-01,3737.0
2010-12-01,4580.0
2011-01-01,2839.0
2011-02-01,3955.0
2011-03-01,4607.0
2011-04-01,5704.0
2011-05-01,5829.0
2011-06-01,6398.0
2011-07-01,8664.0
2011-08-01,5898.0
2011-09-01,6581.0
2011-10-01,5405.0
2011-11-01,4781.0
2011-12-01,5851.0
2012-01-01,5346.0
2012-02-01,8519.0
2012-03-01,7764.0
2012-04-01,8993.0
2012-05-01,10900.0
2012-06-01,11303.0
2012-07-01,11488.0
2012-08-01,10724.0
2012-09-01,14223.0
2012-10-01,16138.0
2012-11-01,11677.0
2012-12-01,8182.0
2013-01-01,8030.0
2013-02-01,7970.0
2013-03-01,7906.0
2013-04-01,10165.0
2013-05-01,16296.0
2013-06-01,16238.0
2013-07-01,13072.0
2013-08-01,13186.0
2013-09-01,15746.0
2013-10-01,15007.0
2013-11-01,11020.0
2013-12-01,9031.0
2014-01-01,4503.0
2014-02-01,600.0
2014-03-01,743.0
2014-04-01,1948.0
2014-05-01,2155.0
2014-06-01,2508.0
2014-07-01,5714.0
2014-08-01,4839.0
2014-09-01,3143.0
2014-10-01,2790.0
2014-11-01,705.0
2014-12-01,564.0
2015-01-01,528.0
2015-02-01,587.0
2015-03-01,662.0
2015-04-01,1341.0
2015-05-01,1756.0
2015-06-01,2107.0
2015-07-01,5783.0
2015-08-01,4723.0
2015-09-01,3011.0
2015-10-01,4156.0
2015-11-01,611.0
2015-12-01,696.0
2016-01-01,729.0
2016-02-01,622.0
2016-03-01,762.0
2016-04-01,1185.0
2016-05-01,1815.0
2016-06-01,654.0
2016-07-01,6472.0
2016-08-01,4802.0
2016-09-01,4366.0
2016-10-01,3048.0
2016-11-01,1101.0
