Tarih,TP_URISTSAYIL_TRABZON
2000-01-01,1851.0
2000-02-01,1556.0
2000-03-01,1969.0
2000-04-01,2122.0
2000-05-01,2522.0
2000-06-01,3729.0
2000-07-01,4102.0
2000-08-01,3466.0
2000-09-01,3006.0
2000-10-01,3324.0
2000-11-01,1419.0
2000-12-01,1702.0
2001-01-01,1424.0
2001-02-01,1411.0
2001-03-01,614.0
2001-04-01,1627.0
2001-05-01,1927.0
2001-06-01,2315.0
2001-07-01,3634.0
2001-08-01,1150.0
2001-09-01,2559.0
2001-10-01,1831.0
2001-11-01,1250.0
2001-12-01,1715.0
2002-01-01,972.0
2002-02-01,1407.0
2002-03-01,1346.0
2002-04-01,1643.0
2002-05-01,2214.0
2002-06-01,2881.0
2002-07-01,3045.0
2002-08-01,3395.0
2002-09-01,2950.0
2002-10-01,999.0
2002-11-01,737.0
2002-12-01,926.0
2003-01-01,900.0
2003-02-01,677.0
2003-03-01,656.0
2003-04-01,757.0
2003-05-01,1284.0
2003-06-01,1614.0
2003-07-01,3074.0
2003-08-01,2030.0
2003-09-01,1408.0
2003-10-01,1759.0
2003-11-01,1183.0
2003-12-01,1875.0
2004-01-01,1471.0
2004-02-01,973.0
2004-03-01,1251.0
2004-04-01,1347.0
2004-05-01,2692.0
2004-06-01,3044.0
2004-07-01,5301.0
2004-08-01,5697.0
2004-09-01,2831.0
2004-10-01,1816.0
2004-11-01,1411.0
2004-12-01,1450.0
2005-01-01,1393.0
2005-02-01,1021.0
2005-03-01,1291.0
2005-04-01,1131.0
2005-05-01,797.0
2005-06-01,1748.0
2005-07-01,2050.0
2005-08-01,3490.0
2005-09-01,1803.0
2005-10-01,1110.0
2005-11-01,1097.0
2005-12-01,1477.0
2006-01-01,811.0
2006-02-01,586.0
2006-03-01,686.0
2006-04-01,891.0
2006-05-01,993.0
2006-06-01,2292.0
2006-07-01,4555.0
2006-08-01,3858.0
2006-09-01,2100.0
2006-10-01,2130.0
2006-11-01,1892.0
2006-12-01,2314.0
2007-01-01,1224.0
2007-02-01,1599.0
2007-03-01,1323.0
2007-04-01,1475.0
2007-05-01,2080.0
2007-06-01,3412.0
2007-07-01,7098.0
2007-08-01,5442.0
2007-09-01,2350.0
2007-10-01,2088.0
2007-11-01,1207.0
2007-12-01,4070.0
2008-01-01,1128.0
2008-02-01,1043.0
2008-03-01,1100.0
2008-04-01,1359.0
2008-05-01,1637.0
2008-06-01,3731.0
2008-07-01,6695.0
2008-08-01,5454.0
2008-09-01,2397.0
2008-10-01,5414.0
2008-11-01,2854.0
2008-12-01,2380.0
2009-01-01,1102.0
2009-02-01,1200.0
2009-03-01,1344.0
2009-04-01,3031.0
2009-05-01,2749.0
2009-06-01,3221.0
2009-07-01,6108.0
2009-08-01,6558.0
2009-09-01,3891.0
2009-10-01,4044.0
2009-11-01,2297.0
2009-12-01,1927.0
2010-01-01,1125.0
2010-02-01,1417.0
2010-03-01,1566.0
2010-04-01,2020.0
2010-05-01,1867.0
2010-06-01,3478.0
2010-07-01,4985.0
2010-08-01,3372.0
2010-09-01,2688.0
2010-10-01,6885.0
2010-11-01,1369.0
2010-12-01,1288.0
2011-01-01,970.0
2011-02-01,785.0
2011-03-01,869.0
2011-04-01,1774.0
2011-05-01,1666.0
2011-06-01,2674.0
2011-07-01,5264.0
2011-08-01,4132.0
2011-09-01,4339.0
2011-10-01,3740.0
2011-11-01,1380.0
2011-12-01,1093.0
2012-01-01,517.0
2012-02-01,574.0
2012-03-01,448.0
2012-04-01,970.0
2012-05-01,1434.0
2012-06-01,3218.0
2012-07-01,5593.0
2012-08-01,3878.0
2012-09-01,5342.0
2012-10-01,1418.0
2012-11-01,728.0
2012-12-01,652.0
2013-01-01,518.0
2013-02-01,508.0
2013-03-01,553.0
2013-04-01,738.0
2013-05-01,693.0
2013-06-01,2592.0
2013-07-01,3929.0
2013-08-01,4004.0
2013-09-01,2580.0
2013-10-01,4814.0
2013-11-01,755.0
2013-12-01,745.0
2014-01-01,652.0
2014-02-01,1219.0
2014-03-01,672.0
2014-04-01,1197.0
2014-05-01,1490.0
2014-06-01,4000.0
2014-07-01,9141.0
2014-08-01,9692.0
2014-09-01,11520.0
2014-10-01,13737.0
2014-11-01,1083.0
2014-12-01,1026.0
2015-01-01,942.0
2015-02-01,1007.0
2015-03-01,1748.0
2015-04-01,2297.0
2015-05-01,4059.0
2015-06-01,4761.0
2015-07-01,9900.0
2015-08-01,8909.0
2015-09-01,6516.0
2015-10-01,3320.0
2015-11-01,453.0
2015-12-01,270.0
2016-01-01,154.0
2016-02-01,171.0
2016-03-01,128.0
2016-04-01,1918.0
2016-05-01,5315.0
2016-06-01,3201.0
2016-07-01,15197.0
2016-08-01,17015.0
2016-09-01,7842.0
2016-10-01,2639.0
2016-11-01,1378.0
2016-12-01,1109.0
2017-01-01,2197.0
2017-02-01,653.0
2017-03-01,1329.0
2017-04-01,3576.0
2017-05-01,3703.0
2017-06-01,8640.0
2017-07-01,27088.0
2017-08-01,28570.0
2017-09-01,11261.0
2017-10-01,2245.0
2017-11-01,1308.0
2017-12-01,1847.0
2018-01-01,2088.0
2018-02-01,1748.0
2018-03-01,2845.0
2018-04-01,6201.0
2018-05-01,2548.0
2018-06-01,19328.0
2018-07-01,39295.0
2018-08-01,4.0
2018-09-01,9112.0
2018-10-01,3809.0
2018-11-01,3109.0
2018-12-01,3959.0
2019-01-01,4279.0
2019-02-01,2882.0
2019-03-01,2699.0
2019-04-01,6179.0
2019-05-01,2422.0
2019-06-01,36453.0
2019-07-01,63139.0
2019-08-01,54449.0
2019-09-01,13569.0
2019-10-01,3656.0
2019-11-01,2880.0
2019-12-01,3651.0
2020-01-01,4414.0
2020-02-01,1739.0
2020-03-01,699.0
2020-04-01,448.0
2020-05-01,337.0
2020-06-01,1283.0
2020-07-01,4552.0
2020-08-01,6850.0
2020-09-01,3717.0
2020-10-01,2040.0
2020-11-01,941.0
2020-12-01,836.0
2021-01-01,763.0
2021-02-01,600.0
2021-03-01,734.0
2021-04-01,762.0
2021-05-01,999.0
2021-06-01,7217.0
2021-07-01,39100.0
2021-08-01,35996.0
2021-09-01,18103.0
2021-10-01,8402.0
2021-11-01,3633.0
2021-12-01,4303.0
2022-01-01,3936.0
2022-02-01,2725.0
2022-03-01,3169.0
2022-04-01,3155.0
2022-05-01,17044.0
2022-06-01,41532.0
2022-07-01,105272.0
2022-08-01,108307.0
2022-09-01,38667.0
2022-10-01,18342.0
2022-11-01,7141.0
2022-12-01,8990.0
2023-01-01,7717.0
2023-02-01,3621.0
2023-03-01,2106.0
2023-04-01,8363.0
2023-05-01,21710.0
2023-06-01,69186.0
2023-07-01,149178.0
2023-08-01,106874.0
2023-09-01,34383.0
2023-10-01,14132.0
2023-11-01,6434.0
2023-12-01,8155.0
2024-01-01,7090.0
2024-02-01,4888.0
2024-03-01,2608.0
2024-04-01,11801.0
2024-05-01,23911.0
2024-06-01,83781.0
2024-07-01,131365.0
2024-08-01,92686.0
2024-09-01,28924.0
2024-10-01,13944.0
2024-11-01,6182.0
2024-12-01,10126.0
2025-01-01,8069.0
2025-02-01,4861.0
2025-03-01,3375.0
2025-04-01,12175.0
2025-05-01,30707.0
2025-06-01,60435.0
2025-07-01,126362.0
2025-08-01,112638.0
