Tarih,TP_URISTSAYIL_MARDIN
2000-01-01,2282.0
2000-02-01,880.0
2000-03-01,824.0
2000-04-01,787.0
2000-05-01,795.0
2000-06-01,742.0
2000-07-01,1107.0
2000-08-01,1516.0
2000-09-01,1514.0
2000-10-01,1369.0
2000-11-01,1223.0
2000-12-01,867.0
2001-01-01,596.0
2001-02-01,505.0
2001-03-01,514.0
2001-04-01,417.0
2001-05-01,359.0
2001-06-01,437.0
2001-07-01,994.0
2001-08-01,1212.0
2001-09-01,930.0
2001-10-01,707.0
2001-11-01,496.0
2001-12-01,741.0
2002-01-01,620.0
2002-02-01,524.0
2002-03-01,698.0
2002-04-01,542.0
2002-05-01,526.0
2002-06-01,540.0
2002-07-01,967.0
2002-08-01,1569.0
2002-09-01,1241.0
2002-10-01,1089.0
2002-11-01,609.0
2002-12-01,1174.0
2003-01-01,743.0
2003-02-01,534.0
2003-03-01,568.0
2003-04-01,439.0
2003-05-01,2500.0
2003-06-01,3080.0
2003-07-01,3238.0
2003-08-01,3466.0
2003-09-01,1344.0
2003-10-01,865.0
2003-11-01,518.0
2003-12-01,760.0
2004-01-01,760.0
2004-02-01,550.0
2004-03-01,575.0
2004-04-01,1878.0
2004-05-01,1980.0
2004-06-01,2378.0
2004-07-01,1888.0
2004-08-01,1872.0
2004-09-01,1787.0
2004-10-01,1167.0
2004-11-01,1014.0
2004-12-01,1129.0
2005-01-01,5873.0
2005-02-01,1023.0
2005-03-01,1428.0
2005-04-01,1331.0
2005-05-01,1365.0
2005-06-01,1612.0
2005-07-01,2395.0
2005-08-01,2985.0
2005-09-01,2299.0
2005-10-01,1547.0
2005-11-01,1784.0
2005-12-01,1530.0
2006-01-01,1362.0
2006-02-01,1357.0
2006-03-01,1341.0
2006-04-01,1075.0
2006-05-01,1216.0
2006-06-01,1416.0
2006-07-01,2423.0
2006-08-01,2692.0
2006-09-01,2159.0
2006-10-01,1225.0
2006-11-01,1285.0
2006-12-01,1482.0
2007-01-01,6758.0
2007-02-01,1455.0
2007-03-01,1585.0
2007-04-01,1884.0
2007-05-01,2383.0
2007-06-01,2413.0
2007-07-01,3607.0
2007-08-01,4220.0
2007-09-01,2913.0
2007-10-01,2554.0
2007-11-01,2172.0
2007-12-01,2439.0
2008-01-01,2254.0
2008-02-01,1900.0
2008-03-01,2494.0
2008-04-01,2716.0
2008-05-01,2979.0
2008-06-01,3805.0
2008-07-01,4764.0
2008-08-01,5248.0
2008-09-01,2760.0
2008-10-01,3294.0
2008-11-01,2748.0
2008-12-01,2401.0
2009-01-01,2478.0
2009-02-01,2036.0
2009-03-01,3224.0
2009-04-01,3532.0
2009-05-01,3457.0
2009-06-01,3646.0
2009-07-01,5463.0
2009-08-01,5508.0
2009-09-01,4325.0
2009-10-01,7222.0
2009-11-01,5037.0
2009-12-01,5058.0
2010-01-01,5070.0
2010-02-01,4364.0
2010-03-01,4776.0
2010-04-01,5200.0
2010-05-01,5444.0
2010-06-01,6110.0
2010-07-01,9076.0
2010-08-01,7578.0
2010-09-01,8256.0
2010-10-01,7239.0
2010-11-01,7205.0
2010-12-01,6269.0
2011-01-01,6552.0
2011-02-01,5275.0
2011-03-01,6285.0
2011-04-01,6619.0
2011-05-01,6473.0
2011-06-01,8089.0
2011-07-01,11327.0
2011-08-01,7917.0
2011-09-01,12370.0
2011-10-01,9103.0
2011-11-01,10410.0
2011-12-01,2135.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,2.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,40.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,2.0
2015-05-01,0.0
2015-06-01,11.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,4.0
2016-09-01,3.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,2.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,2.0
2017-09-01,1.0
2017-10-01,4.0
2017-11-01,0.0
2017-12-01,13.0
2018-01-01,3.0
2018-02-01,8.0
2018-03-01,24.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,1.0
2018-09-01,1.0
2018-10-01,0.0
2018-11-01,5.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,5.0
2019-05-01,0.0
2019-06-01,3.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,1.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,18.0
2020-05-01,0.0
2020-06-01,2.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,1.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,3.0
2022-01-01,0.0
2022-02-01,6.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,2.0
2023-03-01,1.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,1.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,3.0
2024-01-01,2.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,1.0
2024-12-01,6.0
2025-01-01,5.0
2025-02-01,8.0
2025-03-01,0.0
2025-04-01,6.0
2025-05-01,0.0
2025-06-01,15.0
2025-07-01,0.0
2025-08-01,0.0
