Tarih,TP_URISTSAYIL_IZMIR
2000-01-01,6636.0
2000-02-01,8008.0
2000-03-01,10544.0
2000-04-01,35804.0
2000-05-01,44503.0
2000-06-01,57418.0
2000-07-01,98795.0
2000-08-01,83526.0
2000-09-01,70229.0
2000-10-01,42144.0
2000-11-01,13057.0
2000-12-01,10810.0
2001-01-01,9650.0
2001-02-01,10757.0
2001-03-01,16704.0
2001-04-01,55376.0
2001-05-01,64243.0
2001-06-01,81163.0
2001-07-01,130609.0
2001-08-01,107463.0
2001-09-01,81808.0
2001-10-01,39686.0
2001-11-01,13283.0
2001-12-01,10775.0
2002-01-01,9863.0
2002-02-01,13066.0
2002-03-01,23773.0
2002-04-01,42923.0
2002-05-01,62840.0
2002-06-01,81832.0
2002-07-01,126072.0
2002-08-01,122047.0
2002-09-01,93659.0
2002-10-01,50573.0
2002-11-01,12858.0
2002-12-01,11054.0
2003-01-01,10151.0
2003-02-01,10405.0
2003-03-01,12046.0
2003-04-01,21978.0
2003-05-01,39652.0
2003-06-01,62423.0
2003-07-01,107242.0
2003-08-01,109987.0
2003-09-01,71964.0
2003-10-01,53808.0
2003-11-01,19616.0
2003-12-01,15514.0
2004-01-01,14852.0
2004-02-01,16156.0
2004-03-01,21118.0
2004-04-01,36872.0
2004-05-01,74069.0
2004-06-01,91056.0
2004-07-01,150321.0
2004-08-01,139756.0
2004-09-01,97977.0
2004-10-01,70131.0
2004-11-01,25467.0
2004-12-01,18371.0
2005-01-01,16337.0
2005-02-01,14560.0
2005-03-01,29102.0
2005-04-01,44467.0
2005-05-01,89004.0
2005-06-01,103372.0
2005-07-01,163961.0
2005-08-01,139065.0
2005-09-01,90468.0
2005-10-01,67966.0
2005-11-01,18360.0
2005-12-01,12337.0
2006-01-01,16710.0
2006-02-01,14833.0
2006-03-01,25412.0
2006-04-01,44108.0
2006-05-01,67060.0
2006-06-01,94312.0
2006-07-01,150089.0
2006-08-01,137675.0
2006-09-01,100694.0
2006-10-01,76046.0
2006-11-01,29042.0
2006-12-01,20708.0
2007-01-01,19428.0
2007-02-01,25043.0
2007-03-01,40778.0
2007-04-01,51239.0
2007-05-01,86313.0
2007-06-01,135737.0
2007-07-01,174512.0
2007-08-01,165694.0
2007-09-01,126712.0
2007-10-01,95882.0
2007-11-01,24984.0
2007-12-01,20371.0
2008-01-01,22678.0
2008-02-01,24000.0
2008-03-01,41647.0
2008-04-01,63460.0
2008-05-01,118275.0
2008-06-01,140998.0
2008-07-01,144287.0
2008-08-01,167162.0
2008-09-01,131525.0
2008-10-01,108220.0
2008-11-01,42750.0
2008-12-01,29062.0
2009-01-01,29434.0
2009-02-01,30210.0
2009-03-01,33192.0
2009-04-01,77650.0
2009-05-01,110304.0
2009-06-01,136875.0
2009-07-01,176529.0
2009-08-01,153225.0
2009-09-01,134514.0
2009-10-01,99622.0
2009-11-01,42229.0
2009-12-01,33008.0
2010-01-01,21252.0
2010-02-01,28659.0
2010-03-01,32220.0
2010-04-01,59385.0
2010-05-01,130455.0
2010-06-01,158784.0
2010-07-01,191919.0
2010-08-01,184110.0
2010-09-01,154635.0
2010-10-01,118402.0
2010-11-01,47260.0
2010-12-01,28749.0
2011-01-01,16427.0
2011-02-01,36409.0
2011-03-01,63629.0
2011-04-01,103097.0
2011-05-01,142388.0
2011-06-01,167636.0
2011-07-01,210943.0
2011-08-01,212923.0
2011-09-01,181590.0
2011-10-01,137538.0
2011-11-01,69997.0
2011-12-01,27441.0
2012-01-01,18822.0
2012-02-01,27851.0
2012-03-01,42310.0
2012-04-01,90044.0
2012-05-01,138727.0
2012-06-01,179965.0
2012-07-01,239682.0
2012-08-01,217692.0
2012-09-01,192890.0
2012-10-01,145698.0
2012-11-01,46742.0
2012-12-01,27828.0
2013-01-01,22926.0
2013-02-01,18811.0
2013-03-01,46012.0
2013-04-01,94744.0
2013-05-01,157061.0
2013-06-01,168262.0
2013-07-01,236647.0
2013-08-01,224169.0
2013-09-01,189990.0
2013-10-01,159896.0
2013-11-01,50632.0
2013-12-01,29309.0
2014-01-01,20724.0
2014-02-01,29323.0
2014-03-01,36523.0
2014-04-01,98592.0
2014-05-01,139666.0
2014-06-01,159083.0
2014-07-01,229382.0
2014-08-01,210263.0
2014-09-01,169854.0
2014-10-01,131241.0
2014-11-01,43668.0
2014-12-01,24753.0
2015-01-01,17820.0
2015-02-01,25137.0
2015-03-01,36225.0
2015-04-01,71297.0
2015-05-01,128725.0
2015-06-01,145923.0
2015-07-01,217955.0
2015-08-01,202990.0
2015-09-01,152979.0
2015-10-01,127733.0
2015-11-01,49625.0
2015-12-01,24140.0
2016-01-01,16356.0
2016-02-01,18952.0
2016-03-01,37092.0
2016-04-01,37853.0
2016-05-01,65933.0
2016-06-01,73144.0
2016-07-01,135162.0
2016-08-01,111913.0
2016-09-01,76803.0
2016-10-01,63123.0
2016-11-01,16659.0
2016-12-01,19114.0
2017-01-01,13277.0
2017-02-01,16390.0
2017-03-01,27805.0
2017-04-01,43144.0
2017-05-01,57350.0
2017-06-01,94029.0
2017-07-01,158042.0
2017-08-01,146992.0
2017-09-01,103185.0
2017-10-01,62457.0
2017-11-01,17117.0
2017-12-01,21851.0
2018-01-01,18309.0
2018-02-01,21576.0
2018-03-01,40594.0
2018-04-01,47213.0
2018-05-01,77830.0
2018-06-01,120050.0
2018-07-01,183740.0
2018-08-01,168975.0
2018-09-01,129458.0
2018-10-01,83331.0
2018-11-01,24181.0
2018-12-01,31190.0
2019-01-01,20015.0
2019-02-01,23916.0
2019-03-01,37518.0
2019-04-01,72359.0
2019-05-01,96330.0
2019-06-01,168380.0
2019-07-01,238554.0
2019-08-01,209461.0
2019-09-01,166593.0
2019-10-01,115886.0
2019-11-01,32507.0
2019-12-01,41599.0
2020-01-01,27854.0
2020-02-01,32671.0
2020-03-01,11889.0
2020-04-01,53.0
2020-05-01,30.0
2020-06-01,15263.0
2020-07-01,57861.0
2020-08-01,66364.0
2020-09-01,42844.0
2020-10-01,25043.0
2020-11-01,7221.0
2020-12-01,10139.0
2021-01-01,4752.0
2021-02-01,5137.0
2021-03-01,13905.0
2021-04-01,13762.0
2021-05-01,20732.0
2021-06-01,59340.0
2021-07-01,156241.0
2021-08-01,126692.0
