Tarih,TP_URISTSAYIL_KIRKLARELI
2000-01-01,48002.0
2000-02-01,23571.0
2000-03-01,6562.0
2000-04-01,6255.0
2000-05-01,7598.0
2000-06-01,8661.0
2000-07-01,11743.0
2000-08-01,12090.0
2000-09-01,9803.0
2000-10-01,8534.0
2000-11-01,8107.0
2000-12-01,6904.0
2001-01-01,5703.0
2001-02-01,5089.0
2001-03-01,6550.0
2001-04-01,6577.0
2001-05-01,7926.0
2001-06-01,12115.0
2001-07-01,23217.0
2001-08-01,29080.0
2001-09-01,19753.0
2001-10-01,11663.0
2001-11-01,8664.0
2001-12-01,6926.0
2002-01-01,3290.0
2002-02-01,8070.0
2002-03-01,9117.0
2002-04-01,10839.0
2002-05-01,13877.0
2002-06-01,14826.0
2002-07-01,23112.0
2002-08-01,29537.0
2002-09-01,19841.0
2002-10-01,14945.0
2002-11-01,10617.0
2002-12-01,11067.0
2003-01-01,7132.0
2003-02-01,8683.0
2003-03-01,8437.0
2003-04-01,10863.0
2003-05-01,15748.0
2003-06-01,17472.0
2003-07-01,25229.0
2003-08-01,31317.0
2003-09-01,24674.0
2003-10-01,16902.0
2003-11-01,13884.0
2003-12-01,11621.0
2004-01-01,8109.0
2004-02-01,11142.0
2004-03-01,12186.0
2004-04-01,14112.0
2004-05-01,18498.0
2004-06-01,18812.0
2004-07-01,30423.0
2004-08-01,35571.0
2004-09-01,25963.0
2004-10-01,19436.0
2004-11-01,19106.0
2004-12-01,17138.0
2005-01-01,16264.0
2005-02-01,10361.0
2005-03-01,14528.0
2005-04-01,18070.0
2005-05-01,22352.0
2005-06-01,26063.0
2005-07-01,37311.0
2005-08-01,42006.0
2005-09-01,30891.0
2005-10-01,20143.0
2005-11-01,19927.0
2005-12-01,16864.0
2006-01-01,17983.0
2006-02-01,11941.0
2006-03-01,15895.0
2006-04-01,19738.0
2006-05-01,22421.0
2006-06-01,25518.0
2006-07-01,36761.0
2006-08-01,43642.0
2006-09-01,29981.0
2006-10-01,22884.0
2006-11-01,15717.0
2006-12-01,17120.0
2007-01-01,16595.0
2007-02-01,12698.0
2007-03-01,14910.0
2007-04-01,19088.0
2007-05-01,19865.0
2007-06-01,25985.0
2007-07-01,38218.0
2007-08-01,45720.0
2007-09-01,32246.0
2007-10-01,24951.0
2007-11-01,18782.0
2007-12-01,19700.0
2008-01-01,10367.0
2008-02-01,13294.0
2008-03-01,17426.0
2008-04-01,23793.0
2008-05-01,25793.0
2008-06-01,30534.0
2008-07-01,47961.0
2008-08-01,48789.0
2008-09-01,33040.0
2008-10-01,26595.0
2008-11-01,17449.0
2008-12-01,22204.0
