Tarih,TP_URISTSAYIL_URFA
2000-01-01,610.0
2000-02-01,249.0
2000-03-01,218.0
2000-04-01,255.0
2000-05-01,219.0
2000-06-01,180.0
2000-07-01,248.0
2000-08-01,276.0
2000-09-01,250.0
2000-10-01,242.0
2000-11-01,263.0
2000-12-01,139.0
2001-01-01,191.0
2001-02-01,303.0
2001-03-01,309.0
2001-04-01,268.0
2001-05-01,209.0
2001-06-01,187.0
2001-07-01,349.0
2001-08-01,411.0
2001-09-01,301.0
2001-10-01,271.0
2001-11-01,252.0
2001-12-01,294.0
2002-01-01,342.0
2002-02-01,354.0
2002-03-01,386.0
2002-04-01,425.0
2002-05-01,310.0
2002-06-01,263.0
2002-07-01,325.0
2002-08-01,370.0
2002-09-01,271.0
2002-10-01,291.0
2002-11-01,236.0
2002-12-01,294.0
2003-01-01,368.0
2003-02-01,230.0
2003-03-01,317.0
2003-04-01,419.0
2003-05-01,295.0
2003-06-01,389.0
2003-07-01,439.0
2003-08-01,592.0
2003-09-01,479.0
2003-10-01,423.0
2003-11-01,337.0
2003-12-01,606.0
2004-01-01,529.0
2004-02-01,447.0
2004-03-01,465.0
2004-04-01,508.0
2004-05-01,496.0
2004-06-01,608.0
2004-07-01,832.0
2004-08-01,875.0
2004-09-01,816.0
2004-10-01,517.0
2004-11-01,392.0
2004-12-01,441.0
2005-01-01,444.0
2005-02-01,445.0
2005-03-01,816.0
2005-04-01,1019.0
2005-05-01,737.0
2005-06-01,681.0
2005-07-01,804.0
2005-08-01,1096.0
2005-09-01,732.0
2005-10-01,290.0
2005-11-01,816.0
2005-12-01,462.0
2006-01-01,403.0
2006-02-01,625.0
2006-03-01,491.0
2006-04-01,364.0
2006-05-01,363.0
2006-06-01,353.0
2006-07-01,458.0
2006-08-01,554.0
2006-09-01,401.0
2006-10-01,268.0
2006-11-01,366.0
2006-12-01,371.0
2007-01-01,425.0
2007-02-01,403.0
2007-03-01,442.0
2007-04-01,456.0
2007-05-01,525.0
2007-06-01,555.0
2007-07-01,664.0
2007-08-01,757.0
2007-09-01,481.0
2007-10-01,398.0
2007-11-01,464.0
2007-12-01,414.0
2008-01-01,548.0
2008-02-01,626.0
2008-03-01,767.0
2008-04-01,804.0
2008-05-01,991.0
2008-06-01,1220.0
2008-07-01,1885.0
2008-08-01,1802.0
2008-09-01,1395.0
2008-10-01,1845.0
2008-11-01,2352.0
2008-12-01,2100.0
2009-01-01,2573.0
2009-02-01,1852.0
2009-03-01,2547.0
2009-04-01,2869.0
2009-05-01,3128.0
2009-06-01,3294.0
2009-07-01,3705.0
2009-08-01,3439.0
2009-09-01,3512.0
2009-10-01,4904.0
2009-11-01,4438.0
2009-12-01,4270.0
2010-01-01,3205.0
2010-02-01,4348.0
2010-03-01,5524.0
2010-04-01,7063.0
2010-05-01,6417.0
2010-06-01,6720.0
2010-07-01,7739.0
2010-08-01,7845.0
2010-09-01,7171.0
2010-10-01,7119.0
2010-11-01,6587.0
2010-12-01,7416.0
2011-01-01,7200.0
2011-02-01,6958.0
2011-03-01,10189.0
2011-04-01,12505.0
2011-05-01,15168.0
2011-06-01,16259.0
2011-07-01,15995.0
2011-08-01,15866.0
2011-09-01,14902.0
2011-10-01,14703.0
2011-11-01,13766.0
2011-12-01,3893.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,7425.0
2012-07-01,16259.0
2012-08-01,14109.0
2012-09-01,9854.0
2012-10-01,0.0
2012-11-01,7735.0
2012-12-01,14076.0
2013-01-01,17721.0
2013-02-01,13725.0
2013-03-01,19722.0
2013-04-01,26201.0
2013-05-01,2234.0
2013-06-01,1157.0
2013-07-01,4724.0
2013-08-01,3176.0
2013-09-01,10157.0
2013-10-01,11571.0
2013-11-01,10585.0
2013-12-01,10324.0
2014-01-01,864.0
2014-02-01,6.0
2014-03-01,5.0
2014-04-01,16.0
2014-05-01,12.0
2014-06-01,29.0
2014-07-01,2.0
2014-08-01,4.0
2014-09-01,1.0
2014-10-01,4.0
2014-11-01,0.0
2014-12-01,2.0
2015-01-01,0.0
2015-02-01,4.0
2015-03-01,7.0
2015-04-01,1.0
2015-05-01,1.0
2015-06-01,1.0
2015-07-01,373.0
2015-08-01,311.0
2015-09-01,63.0
2015-10-01,6.0
2015-11-01,0.0
2015-12-01,608.0
2016-01-01,87.0
2016-02-01,6.0
2016-03-01,2.0
2016-04-01,3.0
2016-05-01,4.0
2016-06-01,379.0
2016-07-01,469.0
2016-08-01,202.0
2016-09-01,2.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,533.0
2017-01-01,467.0
2017-02-01,3.0
2017-03-01,2.0
2017-04-01,2.0
2017-05-01,0.0
2017-06-01,3.0
2017-07-01,0.0
2017-08-01,3.0
2017-09-01,5.0
2017-10-01,0.0
2017-11-01,1.0
2017-12-01,1.0
2018-01-01,2.0
2018-02-01,15.0
2018-03-01,4.0
2018-04-01,2.0
2018-05-01,0.0
2018-06-01,4.0
2018-07-01,2.0
2018-08-01,60822.0
2018-09-01,1.0
2018-10-01,0.0
2018-11-01,3.0
2018-12-01,1.0
2019-01-01,1.0
2019-02-01,4.0
2019-03-01,2.0
2019-04-01,3.0
2019-05-01,1.0
2019-06-01,6.0
2019-07-01,6.0
2019-08-01,1.0
2019-09-01,1.0
2019-10-01,0.0
2019-11-01,3.0
2019-12-01,3.0
2020-01-01,0.0
2020-02-01,7.0
2020-03-01,15.0
2020-04-01,2.0
2020-05-01,0.0
2020-06-01,98.0
2020-07-01,25.0
2020-08-01,53.0
2020-09-01,16.0
2020-10-01,1.0
2020-11-01,47.0
2020-12-01,399.0
2021-01-01,9.0
2021-02-01,0.0
2021-03-01,3.0
2021-04-01,1.0
2021-05-01,75.0
2021-06-01,7.0
2021-07-01,5459.0
2021-08-01,11270.0
2021-09-01,2678.0
2021-10-01,1186.0
2021-11-01,1131.0
2021-12-01,1260.0
2022-01-01,1.0
2022-02-01,8.0
2022-03-01,2.0
2022-04-01,5.0
2022-05-01,121.0
2022-06-01,14.0
2022-07-01,6.0
2022-08-01,5.0
