Tarih,TP_URISTSAYIL_HAKKARI
2000-01-01,1791.0
2000-02-01,2263.0
2000-03-01,1743.0
2000-04-01,2077.0
2000-05-01,2622.0
2000-06-01,2302.0
2000-07-01,2641.0
2000-08-01,2622.0
2000-09-01,2089.0
2000-10-01,2729.0
2000-11-01,2642.0
2000-12-01,1380.0
2001-01-01,2012.0
2001-02-01,2065.0
2001-03-01,2028.0
2001-04-01,1734.0
2001-05-01,1761.0
2001-06-01,1716.0
2001-07-01,4697.0
2001-08-01,4591.0
2001-09-01,1923.0
2001-10-01,9590.0
2001-11-01,3310.0
2001-12-01,2078.0
2002-01-01,1915.0
2002-02-01,2936.0
2002-03-01,15259.0
2002-04-01,13100.0
2002-05-01,12561.0
2002-06-01,15423.0
2002-07-01,15305.0
2002-08-01,14171.0
2002-09-01,14575.0
2002-10-01,11774.0
2002-11-01,2905.0
2002-12-01,1675.0
2003-01-01,1531.0
2003-02-01,1709.0
2003-03-01,3779.0
2003-04-01,3032.0
2003-05-01,4571.0
2003-06-01,7399.0
2003-07-01,6063.0
2003-08-01,7400.0
2003-09-01,12143.0
2003-10-01,9707.0
2003-11-01,2843.0
2003-12-01,3794.0
2004-01-01,2973.0
2004-02-01,2952.0
2004-03-01,6274.0
2004-04-01,3988.0
2004-05-01,6212.0
2004-06-01,8399.0
2004-07-01,9953.0
2004-08-01,11478.0
2004-09-01,13577.0
2004-10-01,8230.0
2004-11-01,9128.0
2004-12-01,7361.0
2005-01-01,4702.0
2005-02-01,4864.0
2005-03-01,18443.0
2005-04-01,12861.0
2005-05-01,15916.0
2005-06-01,17966.0
2005-07-01,18410.0
2005-08-01,15097.0
2005-09-01,20315.0
2005-10-01,5154.0
2005-11-01,14784.0
2005-12-01,7361.0
2006-01-01,2481.0
2006-02-01,2386.0
2006-03-01,7665.0
2006-04-01,5858.0
2006-05-01,6973.0
2006-06-01,6552.0
2006-07-01,6752.0
2006-08-01,8099.0
2006-09-01,8458.0
2006-10-01,6098.0
2006-11-01,12417.0
2006-12-01,6851.0
2007-01-01,5126.0
2007-02-01,6166.0
2007-03-01,12069.0
2007-04-01,9990.0
2007-05-01,13946.0
2007-06-01,16409.0
2007-07-01,15865.0
2007-08-01,17297.0
2007-09-01,11117.0
2007-10-01,12912.0
2007-11-01,13805.0
2007-12-01,8705.0
2008-01-01,5033.0
2008-02-01,4653.0
2008-03-01,9754.0
2008-04-01,5662.0
2008-05-01,6657.0
2008-06-01,8082.0
2008-07-01,8079.0
2008-08-01,10552.0
2008-09-01,8114.0
2008-10-01,7205.0
2008-11-01,6745.0
2008-12-01,6042.0
2009-01-01,5847.0
2009-02-01,6298.0
2009-03-01,14932.0
2009-04-01,7737.0
2009-05-01,8501.0
2009-06-01,9229.0
2009-07-01,11092.0
2009-08-01,14048.0
2009-09-01,10800.0
2009-10-01,11231.0
2009-11-01,8871.0
2009-12-01,9445.0
2010-01-01,9749.0
2010-02-01,10778.0
2010-03-01,36845.0
2010-04-01,13353.0
2010-05-01,15957.0
2010-06-01,13145.0
2010-07-01,16011.0
2010-08-01,10088.0
2010-09-01,12386.0
2010-10-01,10907.0
2010-11-01,10893.0
2010-12-01,9874.0
2011-01-01,8375.0
2011-02-01,8942.0
2011-03-01,26426.0
2011-04-01,17265.0
2011-05-01,17941.0
2011-06-01,15604.0
2011-07-01,16854.0
2011-08-01,11308.0
2011-09-01,14749.0
2011-10-01,12998.0
2011-11-01,9828.0
2011-12-01,11139.0
2012-01-01,12605.0
2012-02-01,8608.0
2012-03-01,11349.0
2012-04-01,8250.0
2012-05-01,10106.0
2012-06-01,10015.0
2012-07-01,11763.0
2012-08-01,9768.0
2012-09-01,10504.0
2012-10-01,8889.0
2012-11-01,7756.0
2012-12-01,7333.0
2013-01-01,6864.0
2013-02-01,9331.0
2013-03-01,11481.0
2013-04-01,8522.0
2013-05-01,9798.0
2013-06-01,10508.0
2013-07-01,8765.0
2013-08-01,9666.0
2013-09-01,10090.0
2013-10-01,8221.0
2013-11-01,8812.0
2013-12-01,5892.0
2014-01-01,7394.0
2014-02-01,10502.0
2014-03-01,16798.0
2014-04-01,8190.0
2014-05-01,10246.0
2014-06-01,11280.0
2014-07-01,10888.0
2014-08-01,12364.0
2014-09-01,14420.0
2014-10-01,9039.0
2014-11-01,9541.0
2014-12-01,9702.0
2015-01-01,7293.0
2015-02-01,9949.0
2015-03-01,19120.0
2015-04-01,9233.0
2015-05-01,12284.0
2015-06-01,12798.0
2015-07-01,14974.0
2015-08-01,6714.0
2015-09-01,0.0
2015-10-01,3102.0
2015-11-01,7859.0
2015-12-01,2576.0
2016-01-01,5093.0
2016-02-01,5958.0
2016-03-01,5343.0
2016-04-01,962.0
2016-05-01,1202.0
2016-06-01,3705.0
2016-07-01,4902.0
2016-08-01,7423.0
2016-09-01,9461.0
2016-10-01,10581.0
2016-11-01,10402.0
2016-12-01,8569.0
2017-01-01,10724.0
2017-02-01,9178.0
2017-03-01,17827.0
2017-04-01,10579.0
2017-05-01,13579.0
2017-06-01,14900.0
2017-07-01,19021.0
2017-08-01,22574.0
2017-09-01,25762.0
2017-10-01,21468.0
2017-11-01,26661.0
2017-12-01,21463.0
2018-01-01,14890.0
2018-02-01,21734.0
2018-03-01,35691.0
2018-04-01,8535.0
2018-05-01,5138.0
2018-06-01,6898.0
2018-07-01,7074.0
2018-08-01,9283.0
2018-09-01,10410.0
2018-10-01,7634.0
2018-11-01,5840.0
2018-12-01,4946.0
2019-01-01,2975.0
2019-02-01,4351.0
2019-03-01,12322.0
2019-04-01,5662.0
2019-05-01,6028.0
2019-06-01,9792.0
2019-07-01,12968.0
2019-08-01,18654.0
2019-09-01,18358.0
2019-10-01,10831.0
2019-11-01,7822.0
2019-12-01,6261.0
2020-01-01,4063.0
2020-02-01,3542.0
2020-03-01,125.0
2020-04-01,3.0
2020-05-01,11.0
2020-06-01,1149.0
2020-07-01,1338.0
2020-08-01,2655.0
2020-09-01,3756.0
2020-10-01,1439.0
2020-11-01,935.0
2020-12-01,553.0
2021-01-01,508.0
2021-02-01,683.0
2021-03-01,1391.0
2021-04-01,1306.0
2021-05-01,1478.0
2021-06-01,2206.0
2021-07-01,4238.0
2021-08-01,4717.0
2021-09-01,5416.0
2021-10-01,6719.0
2021-11-01,7267.0
2021-12-01,6737.0
2022-01-01,3626.0
2022-02-01,4896.0
2022-03-01,15094.0
2022-04-01,7152.0
2022-05-01,11427.0
2022-06-01,14267.0
2022-07-01,17219.0
2022-08-01,19552.0
2022-09-01,22093.0
2022-10-01,13224.0
2022-11-01,11091.0
2022-12-01,10864.0
2023-01-01,8827.0
2023-02-01,8667.0
2023-03-01,17290.0
2023-04-01,10147.0
2023-05-01,13907.0
2023-06-01,17605.0
2023-07-01,20219.0
2023-08-01,23997.0
2023-09-01,25169.0
2023-10-01,16338.0
2023-11-01,21549.0
2023-12-01,23834.0
2024-01-01,31217.0
2024-02-01,34407.0
2024-03-01,33421.0
2024-04-01,31251.0
2024-05-01,41294.0
2024-06-01,48230.0
2024-07-01,60474.0
2024-08-01,60085.0
2024-09-01,61905.0
2024-10-01,54076.0
2024-11-01,63399.0
2024-12-01,63532.0
2025-01-01,62360.0
2025-02-01,62796.0
2025-03-01,50093.0
2025-04-01,51984.0
2025-05-01,51896.0
2025-06-01,30260.0
2025-07-01,67345.0
2025-08-01,92706.0
