Tarih,TP_URISTSAYIL_SAMSUN
2008-01-01,1041.0
2008-02-01,244.0
2008-03-01,1550.0
2008-04-01,1575.0
2008-05-01,1979.0
2008-06-01,2960.0
2008-07-01,4900.0
2008-08-01,3004.0
2008-09-01,1794.0
2008-10-01,2236.0
2008-11-01,1222.0
2008-12-01,1660.0
2009-01-01,971.0
2009-02-01,905.0
2009-03-01,994.0
2009-04-01,1457.0
2009-05-01,2516.0
2009-06-01,2598.0
2009-07-01,4474.0
2009-08-01,3451.0
2009-09-01,2098.0
2009-10-01,2515.0
2009-11-01,1621.0
2009-12-01,1375.0
2010-01-01,1269.0
2010-02-01,1477.0
2010-03-01,1851.0
2010-04-01,1893.0
2010-05-01,2419.0
2010-06-01,3107.0
2010-07-01,4562.0
2010-08-01,2618.0
2010-09-01,2133.0
2010-10-01,2821.0
2010-11-01,1702.0
2010-12-01,2200.0
2011-01-01,1486.0
2011-02-01,996.0
2011-03-01,1645.0
2011-04-01,2610.0
2011-05-01,1907.0
2011-06-01,3641.0
2011-07-01,5991.0
2011-08-01,3630.0
2011-09-01,3043.0
2011-10-01,2726.0
2011-11-01,2239.0
2011-12-01,2187.0
2012-01-01,1255.0
2012-02-01,1244.0
2012-03-01,1797.0
2012-04-01,2104.0
2012-05-01,2675.0
2012-06-01,4387.0
2012-07-01,5390.0
2012-08-01,4838.0
2012-09-01,3153.0
2012-10-01,3136.0
2012-11-01,1446.0
2012-12-01,1615.0
2013-01-01,1414.0
2013-02-01,1527.0
2013-03-01,1277.0
2013-04-01,1592.0
2013-05-01,2252.0
2013-06-01,3055.0
2013-07-01,4233.0
2013-08-01,4567.0
2013-09-01,3421.0
2013-10-01,3049.0
2013-11-01,1996.0
2013-12-01,2098.0
2014-01-01,1671.0
2014-02-01,1286.0
2014-03-01,1730.0
2014-04-01,2004.0
2014-05-01,2355.0
2014-06-01,2485.0
2014-07-01,5641.0
2014-08-01,5516.0
2014-09-01,3490.0
2014-10-01,3134.0
2014-11-01,1937.0
2014-12-01,2072.0
2015-01-01,1972.0
2015-02-01,1687.0
2015-03-01,2012.0
2015-04-01,1616.0
2015-05-01,2424.0
2015-06-01,2663.0
2015-07-01,5613.0
2015-08-01,5482.0
2015-09-01,3116.0
2015-10-01,2808.0
2015-11-01,2278.0
2015-12-01,2276.0
2016-01-01,1721.0
2016-02-01,1778.0
2016-03-01,1653.0
2016-04-01,1680.0
2016-05-01,1821.0
2016-06-01,2149.0
2016-07-01,6188.0
2016-08-01,4815.0
2016-09-01,3035.0
2016-10-01,2035.0
2016-11-01,2231.0
2016-12-01,2746.0
2017-01-01,2540.0
2017-02-01,1755.0
2017-03-01,1885.0
2017-04-01,1828.0
2017-05-01,2248.0
2017-06-01,3533.0
2017-07-01,7465.0
2017-08-01,2554.0
2017-09-01,2082.0
2017-10-01,2502.0
2017-11-01,3298.0
2017-12-01,3557.0
2018-01-01,2538.0
2018-02-01,2773.0
2018-03-01,4039.0
2018-04-01,3683.0
2018-05-01,2993.0
2018-06-01,4214.0
2018-07-01,9216.0
2018-08-01,8248.0
2018-09-01,4450.0
2018-10-01,4039.0
2018-11-01,2947.0
2018-12-01,3719.0
2019-01-01,2667.0
2019-02-01,3048.0
2019-03-01,3352.0
2019-04-01,3938.0
2019-05-01,3936.0
2019-06-01,6621.0
2019-07-01,13216.0
2019-08-01,12545.0
2019-09-01,7941.0
2019-10-01,6443.0
2019-11-01,4686.0
2019-12-01,6542.0
2020-01-01,5524.0
2020-02-01,5333.0
2020-03-01,2368.0
2020-04-01,1889.0
2020-05-01,1775.0
2020-06-01,3559.0
2020-07-01,8633.0
2020-08-01,6112.0
2020-09-01,3770.0
2020-10-01,3361.0
2020-11-01,2844.0
2020-12-01,2594.0
2021-01-01,3235.0
2021-02-01,3335.0
2021-03-01,3122.0
2021-04-01,2661.0
2021-05-01,2881.0
2021-06-01,5771.0
2021-07-01,15081.0
2021-08-01,12809.0
2021-09-01,8577.0
2021-10-01,6613.0
2021-11-01,4876.0
2021-12-01,5789.0
2022-01-01,3884.0
2022-02-01,4327.0
2022-03-01,2976.0
2022-04-01,4398.0
2022-05-01,4450.0
2022-06-01,9275.0
2022-07-01,15727.0
2022-08-01,11115.0
2022-09-01,6333.0
2022-10-01,4493.0
2022-11-01,3213.0
2022-12-01,3718.0
2023-01-01,3226.0
2023-02-01,3233.0
2023-03-01,3892.0
2023-04-01,4253.0
2023-05-01,4646.0
2023-06-01,6736.0
2023-07-01,10968.0
2023-08-01,10424.0
2023-09-01,5788.0
2023-10-01,4926.0
2023-11-01,2973.0
2023-12-01,3769.0
2024-01-01,3017.0
2024-02-01,3745.0
2024-03-01,3583.0
2024-04-01,4403.0
2024-05-01,4853.0
2024-06-01,6383.0
2024-07-01,11673.0
2024-08-01,10324.0
2024-09-01,6276.0
2024-10-01,6353.0
2024-11-01,3837.0
2024-12-01,4187.0
2025-01-01,3499.0
2025-02-01,3370.0
2025-03-01,3132.0
2025-04-01,4766.0
2025-05-01,5247.0
2025-06-01,5859.0
2025-07-01,11979.0
2025-08-01,11919.0
