Tarih,TP_URISTSAYIL_SAMSUN
2000-01-01,915.0
2000-02-01,643.0
2000-03-01,852.0
2000-04-01,888.0
2000-05-01,700.0
2000-06-01,1544.0
2000-07-01,2562.0
2000-08-01,1895.0
2000-09-01,771.0
2000-10-01,907.0
2000-11-01,665.0
2000-12-01,383.0
2001-01-01,844.0
2001-02-01,483.0
2001-03-01,586.0
2001-04-01,464.0
2001-05-01,564.0
2001-06-01,1140.0
2001-07-01,2675.0
2001-08-01,2044.0
2001-09-01,1237.0
2001-10-01,1314.0
2001-11-01,1814.0
2001-12-01,1232.0
2002-01-01,1611.0
2002-02-01,1751.0
2002-03-01,2154.0
2002-04-01,1335.0
2002-05-01,3395.0
2002-06-01,1931.0
2002-07-01,1916.0
2002-08-01,1929.0
2002-09-01,1204.0
2002-10-01,5965.0
2002-11-01,951.0
2002-12-01,699.0
2003-01-01,1015.0
2003-02-01,638.0
2003-03-01,730.0
2003-04-01,664.0
2003-05-01,188.0
2003-06-01,1336.0
2003-07-01,3528.0
2003-08-01,1674.0
2003-09-01,508.0
2003-10-01,1048.0
2003-11-01,827.0
2003-12-01,1137.0
2004-01-01,1026.0
2004-02-01,776.0
2004-03-01,981.0
2004-04-01,839.0
2004-05-01,1444.0
2004-06-01,2372.0
2004-07-01,4887.0
2004-08-01,2959.0
2004-09-01,1380.0
2004-10-01,1545.0
2004-11-01,1134.0
2004-12-01,1496.0
2005-01-01,1168.0
2005-02-01,964.0
2005-03-01,1214.0
2005-04-01,693.0
2005-05-01,869.0
2005-06-01,2174.0
2005-07-01,3291.0
2005-08-01,3107.0
2005-09-01,2088.0
2005-10-01,1595.0
2005-11-01,1398.0
2005-12-01,1064.0
2006-01-01,712.0
2006-02-01,772.0
2006-03-01,964.0
2006-04-01,1192.0
2006-05-01,1604.0
2006-06-01,3688.0
2006-07-01,3923.0
2006-08-01,3649.0
2006-09-01,2517.0
2006-10-01,852.0
2006-11-01,1088.0
2006-12-01,1687.0
2007-01-01,1376.0
2007-02-01,1329.0
2007-03-01,1052.0
2007-04-01,1252.0
2007-05-01,1427.0
2007-06-01,2957.0
2007-07-01,4362.0
2007-08-01,3551.0
2007-09-01,1694.0
2007-10-01,1455.0
2007-11-01,1268.0
2007-12-01,1574.0
