Tarih,TP_URISTSAYIL_IGDIR
2000-01-01,6738.0
2000-02-01,6267.0
2000-03-01,11690.0
2000-04-01,13974.0
2000-05-01,16511.0
2000-06-01,12570.0
2000-07-01,13029.0
2000-08-01,11261.0
2000-09-01,11505.0
2000-10-01,10236.0
2000-11-01,9193.0
2000-12-01,6227.0
2001-01-01,9355.0
2001-02-01,10133.0
2001-03-01,8965.0
2001-04-01,10782.0
2001-05-01,11997.0
2001-06-01,12676.0
2001-07-01,12676.0
2001-08-01,12093.0
2001-09-01,13617.0
2001-10-01,13615.0
2001-11-01,10302.0
2001-12-01,11206.0
2002-01-01,5133.0
2002-02-01,8703.0
2002-03-01,11839.0
2002-04-01,8315.0
2002-05-01,10041.0
2002-06-01,11734.0
2002-07-01,10963.0
2002-08-01,14257.0
2002-09-01,11145.0
2002-10-01,11064.0
2002-11-01,10296.0
2002-12-01,6804.0
2003-01-01,7018.0
2003-02-01,6545.0
2003-03-01,7644.0
2003-04-01,9421.0
2003-05-01,10574.0
2003-06-01,10895.0
2003-07-01,12418.0
2003-08-01,13184.0
2003-09-01,15807.0
2003-10-01,15374.0
2003-11-01,15093.0
2003-12-01,15370.0
2004-01-01,13799.0
2004-02-01,13986.0
2004-03-01,18768.0
2004-04-01,22015.0
2004-05-01,25379.0
2004-06-01,23366.0
2004-07-01,23483.0
2004-08-01,24662.0
2004-09-01,25198.0
2004-10-01,22919.0
2004-11-01,24185.0
2004-12-01,23408.0
2005-01-01,18447.0
2005-02-01,21751.0
2005-03-01,28239.0
2005-04-01,28188.0
2005-05-01,28771.0
2005-06-01,26906.0
2005-07-01,26385.0
2005-08-01,28519.0
2005-09-01,24026.0
2005-10-01,30046.0
2005-11-01,27055.0
2005-12-01,26324.0
2006-01-01,16720.0
2006-02-01,18442.0
2006-03-01,22224.0
2006-04-01,21900.0
2006-05-01,24442.0
2006-06-01,21297.0
2006-07-01,22115.0
2006-08-01,22946.0
2006-09-01,22197.0
2006-10-01,20833.0
2006-11-01,20529.0
2006-12-01,18566.0
2007-01-01,17576.0
2007-02-01,16531.0
2007-03-01,18728.0
2007-04-01,22496.0
2007-05-01,23369.0
2007-06-01,22834.0
2007-07-01,22323.0
2007-08-01,21413.0
2007-09-01,22678.0
2007-10-01,21152.0
2007-11-01,19971.0
2007-12-01,19026.0
2008-01-01,18666.0
2008-02-01,19072.0
2008-03-01,17850.0
2008-04-01,19436.0
2008-05-01,22071.0
2008-06-01,20663.0
2008-07-01,22438.0
2008-08-01,23718.0
2008-09-01,21232.0
2008-10-01,15643.0
2008-11-01,19716.0
2008-12-01,19282.0
2009-01-01,15739.0
2009-02-01,16304.0
2009-03-01,13639.0
2009-04-01,14408.0
2009-05-01,15409.0
2009-06-01,15902.0
2009-07-01,17079.0
2009-08-01,17351.0
2009-09-01,15540.0
2009-10-01,16097.0
2009-11-01,15073.0
2009-12-01,15495.0
2010-01-01,15155.0
2010-02-01,17290.0
2010-03-01,16931.0
2010-04-01,17569.0
2010-05-01,20772.0
2010-06-01,20306.0
2010-07-01,19439.0
2010-08-01,21388.0
2010-09-01,21041.0
2010-10-01,21206.0
2010-11-01,24468.0
2010-12-01,24107.0
2011-01-01,25184.0
2011-02-01,22160.0
2011-03-01,36553.0
2011-04-01,31417.0
2011-05-01,29100.0
2011-06-01,26039.0
2011-07-01,23578.0
2011-08-01,20359.0
2011-09-01,20877.0
2011-10-01,20433.0
2011-11-01,23351.0
2011-12-01,20961.0
2012-01-01,17143.0
2012-02-01,16336.0
2012-03-01,21727.0
2012-04-01,18291.0
2012-05-01,20664.0
2012-06-01,24096.0
