Tarih,TP_URISTSAYIL_NEVSEHIR
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,172.0
2001-06-01,148.0
2001-07-01,888.0
2001-08-01,908.0
2001-09-01,400.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,179.0
2003-07-01,1667.0
2003-08-01,2266.0
2003-09-01,1626.0
2003-10-01,745.0
2003-11-01,83.0
2003-12-01,0.0
2004-01-01,13.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,1042.0
2004-08-01,1609.0
2004-09-01,815.0
2004-10-01,19.0
2004-11-01,0.0
2004-12-01,6.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,1957.0
2005-08-01,2518.0
2005-09-01,1178.0
2005-10-01,1029.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,9.0
2006-02-01,3.0
2006-03-01,10.0
2006-04-01,370.0
2006-05-01,70.0
2006-06-01,0.0
2006-07-01,2130.0
2006-08-01,2640.0
2006-09-01,2625.0
2006-10-01,6203.0
2006-11-01,1259.0
2006-12-01,72.0
2007-01-01,8.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,479.0
2007-05-01,276.0
2007-06-01,128.0
2007-07-01,2437.0
2007-08-01,1962.0
2007-09-01,3087.0
2007-10-01,7496.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,736.0
2008-04-01,6403.0
2008-05-01,4217.0
2008-06-01,1414.0
2008-07-01,2199.0
2008-08-01,2359.0
2008-09-01,3450.0
2008-10-01,5314.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,176.0
2009-04-01,1687.0
2009-05-01,2110.0
2009-06-01,1852.0
2009-07-01,2265.0
2009-08-01,3383.0
2009-09-01,2843.0
2009-10-01,2457.0
2009-11-01,2900.0
2009-12-01,1251.0
2010-01-01,976.0
2010-02-01,739.0
2010-03-01,1785.0
2010-04-01,2375.0
2010-05-01,1926.0
2010-06-01,1392.0
2010-07-01,3503.0
2010-08-01,3822.0
2010-09-01,2610.0
2010-10-01,2006.0
2010-11-01,849.0
2010-12-01,373.0
2011-01-01,671.0
2011-02-01,576.0
2011-03-01,683.0
2011-04-01,1552.0
2011-05-01,975.0
2011-06-01,562.0
2011-07-01,1196.0
2011-08-01,1865.0
2011-09-01,793.0
2011-10-01,2307.0
2011-11-01,973.0
2011-12-01,158.0
2012-01-01,0.0
2012-02-01,92.0
2012-03-01,155.0
2012-04-01,1280.0
2012-05-01,686.0
2012-06-01,633.0
2012-07-01,1952.0
2012-08-01,2130.0
2012-09-01,1723.0
2012-10-01,388.0
2012-11-01,17.0
2012-12-01,116.0
2013-01-01,0.0
2013-02-01,16.0
2013-03-01,374.0
2013-04-01,188.0
2013-05-01,293.0
2013-06-01,477.0
2013-07-01,8.0
2013-08-01,13.0
2013-09-01,9.0
2013-10-01,0.0
2013-11-01,16.0
2013-12-01,3.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,7.0
2014-04-01,32.0
2014-05-01,31.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,16.0
2014-09-01,6.0
2014-10-01,26.0
2014-11-01,17.0
2014-12-01,25.0
2015-01-01,41.0
2015-02-01,6.0
2015-03-01,175.0
2015-04-01,548.0
2015-05-01,133.0
2015-06-01,146.0
2015-07-01,24.0
2015-08-01,0.0
2015-09-01,12.0
2015-10-01,41.0
2015-11-01,4.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,11.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,24.0
2016-06-01,0.0
2016-07-01,387.0
2016-08-01,6.0
2016-09-01,0.0
2016-10-01,8.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,5.0
2017-04-01,20.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,0.0
2017-11-01,7.0
2017-12-01,0.0
2018-01-01,11.0
2018-02-01,0.0
2018-03-01,24.0
2018-04-01,158.0
2018-05-01,10.0
2018-06-01,2.0
2018-07-01,240.0
2018-08-01,17.0
2018-09-01,174.0
2018-10-01,34.0
2018-11-01,0.0
2018-12-01,9.0
2019-01-01,0.0
2019-02-01,1.0
