Tarih,TP_URISTSAYIL_AYDIN
2000-01-01,6540.0
2000-02-01,6093.0
2000-03-01,11482.0
2000-04-01,28435.0
2000-05-01,43397.0
2000-06-01,40731.0
2000-07-01,54384.0
2000-08-01,68257.0
2000-09-01,61388.0
2000-10-01,69598.0
2000-11-01,26565.0
2000-12-01,5701.0
2001-01-01,1153.0
2001-02-01,2401.0
2001-03-01,11129.0
2001-04-01,23135.0
2001-05-01,45721.0
2001-06-01,65199.0
2001-07-01,87037.0
2001-08-01,85667.0
2001-09-01,60385.0
2001-10-01,52308.0
2001-11-01,13693.0
2001-12-01,783.0
2002-01-01,12.0
2002-02-01,46.0
2002-03-01,5810.0
2002-04-01,13243.0
2002-05-01,22188.0
2002-06-01,24847.0
2002-07-01,29884.0
2002-08-01,31905.0
2002-09-01,33294.0
2002-10-01,28176.0
2002-11-01,8132.0
2002-12-01,89.0
2003-01-01,139.0
2003-02-01,91.0
2003-03-01,2876.0
2003-04-01,10022.0
2003-05-01,21661.0
2003-06-01,35996.0
2003-07-01,54217.0
2003-08-01,53734.0
2003-09-01,40190.0
2003-10-01,45063.0
2003-11-01,10921.0
2003-12-01,426.0
2004-01-01,39.0
2004-02-01,18.0
2004-03-01,5439.0
2004-04-01,14325.0
2004-05-01,32708.0
2004-06-01,38955.0
2004-07-01,37339.0
2004-08-01,37719.0
2004-09-01,42794.0
2004-10-01,40003.0
2004-11-01,8478.0
2004-12-01,54.0
2005-01-01,365.0
2005-02-01,1615.0
2005-03-01,6959.0
2005-04-01,16054.0
2005-05-01,42781.0
2005-06-01,54474.0
2005-07-01,45222.0
2005-08-01,52080.0
2005-09-01,49197.0
2005-10-01,53776.0
2005-11-01,16359.0
2005-12-01,41.0
2006-01-01,123.0
2006-02-01,155.0
2006-03-01,8201.0
2006-04-01,21081.0
2006-05-01,50253.0
2006-06-01,58316.0
2006-07-01,63359.0
2006-08-01,58950.0
2006-09-01,57600.0
2006-10-01,62053.0
2006-11-01,22685.0
2006-12-01,1855.0
2007-01-01,75.0
2007-02-01,1.0
2007-03-01,6845.0
2007-04-01,34816.0
2007-05-01,70047.0
2007-06-01,74029.0
2007-07-01,68699.0
2007-08-01,72462.0
2007-09-01,74688.0
2007-10-01,73571.0
2007-11-01,34464.0
2007-12-01,175.0
2008-01-01,80.0
2008-02-01,83.0
2008-03-01,8139.0
2008-04-01,25818.0
2008-05-01,70702.0
2008-06-01,75438.0
2008-07-01,97060.0
2008-08-01,102990.0
2008-09-01,99405.0
2008-10-01,76893.0
2008-11-01,31762.0
2008-12-01,5870.0
2009-01-01,75.0
2009-02-01,59.0
2009-03-01,9435.0
2009-04-01,26960.0
2009-05-01,63672.0
2009-06-01,81092.0
2009-07-01,94690.0
2009-08-01,105917.0
2009-09-01,94345.0
2009-10-01,97078.0
2009-11-01,37289.0
2009-12-01,4490.0
2010-01-01,81.0
2010-02-01,158.0
2010-03-01,8653.0
2010-04-01,25308.0
2010-05-01,72288.0
2010-06-01,90590.0
2010-07-01,69206.0
2010-08-01,73883.0
2010-09-01,77114.0
2010-10-01,79003.0
2010-11-01,31479.0
2010-12-01,1959.0
2011-01-01,99.0
2011-02-01,86.0
2011-03-01,8690.0
2011-04-01,31674.0
2011-05-01,75821.0
2011-06-01,93612.0
2011-07-01,104623.0
2011-08-01,104375.0
2011-09-01,110143.0
2011-10-01,109829.0
2011-11-01,48427.0
2011-12-01,1752.0
2012-01-01,78.0
2012-02-01,17.0
2012-03-01,3077.0
2012-04-01,18014.0
2012-05-01,85934.0
2012-06-01,84556.0
2012-07-01,95736.0
2012-08-01,94227.0
2012-09-01,84934.0
2012-10-01,87389.0
2012-11-01,36174.0
2012-12-01,2501.0
2013-01-01,51.0
2013-02-01,49.0
2013-03-01,8536.0
2013-04-01,18872.0
2013-05-01,68385.0
2013-06-01,79480.0
2013-07-01,89301.0
2013-08-01,101702.0
2013-09-01,89208.0
2013-10-01,95572.0
2013-11-01,34970.0
2013-12-01,1127.0
2014-01-01,1387.0
2014-02-01,28.0
2014-03-01,2705.0
2014-04-01,13038.0
2014-05-01,66914.0
2014-06-01,80202.0
2014-07-01,93774.0
2014-08-01,93464.0
2014-09-01,89368.0
2014-10-01,95746.0
2014-11-01,16027.0
2014-12-01,5443.0
2015-01-01,2617.0
2015-02-01,2790.0
2015-03-01,9473.0
2015-04-01,36359.0
2015-05-01,55890.0
2015-06-01,86343.0
2015-07-01,77773.0
2015-08-01,93277.0
2015-09-01,93119.0
2015-10-01,92654.0
2015-11-01,19029.0
2015-12-01,328.0
2016-01-01,18.0
2016-02-01,109.0
2016-03-01,6935.0
2016-04-01,21560.0
2016-05-01,55593.0
2016-06-01,70471.0
2016-07-01,44471.0
2016-08-01,50541.0
2016-09-01,44600.0
2016-10-01,44481.0
2016-11-01,9812.0
2016-12-01,125.0
2017-01-01,12.0
2017-02-01,5.0
2017-03-01,3117.0
2017-04-01,13165.0
2017-05-01,16582.0
2017-06-01,12385.0
2017-07-01,16920.0
2017-08-01,20717.0
2017-09-01,23353.0
2017-10-01,12611.0
2017-11-01,1394.0
2017-12-01,159.0
2018-01-01,88.0
2018-02-01,67.0
2018-03-01,1121.0
2018-04-01,9613.0
2018-05-01,16779.0
2018-06-01,15966.0
2018-07-01,21017.0
2018-08-01,22776.0
2018-09-01,20411.0
2018-10-01,18479.0
2018-11-01,2833.0
2018-12-01,69.0
2019-01-01,15.0
2019-02-01,598.0
2019-03-01,4054.0
2019-04-01,12027.0
2019-05-01,19444.0
2019-06-01,24160.0
2019-07-01,29258.0
2019-08-01,31273.0
2019-09-01,26899.0
2019-10-01,22794.0
2019-11-01,6022.0
2019-12-01,9083.0
2020-01-01,833.0
2020-02-01,46.0
2020-03-01,866.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,4.0
2020-07-01,14.0
2020-08-01,40.0
2020-09-01,76.0
2020-10-01,15.0
2020-11-01,5.0
2020-12-01,10.0
2021-01-01,0.0
2021-02-01,11.0
2021-03-01,8.0
2021-04-01,8.0
2021-05-01,36.0
2021-06-01,55.0
2021-07-01,54.0
2021-08-01,126.0
2021-09-01,505.0
2021-10-01,3278.0
2021-11-01,4284.0
2021-12-01,899.0
2022-01-01,832.0
2022-02-01,318.0
2022-03-01,353.0
2022-04-01,20041.0
2022-05-01,56060.0
2022-06-01,71344.0
2022-07-01,68610.0
2022-08-01,88309.0
2022-09-01,71415.0
2022-10-01,97130.0
2022-11-01,31172.0
2022-12-01,6233.0
2023-01-01,3303.0
2023-02-01,1771.0
2023-03-01,14406.0
2023-04-01,41779.0
2023-05-01,95661.0
2023-06-01,103089.0
2023-07-01,116556.0
2023-08-01,128557.0
2023-09-01,109396.0
2023-10-01,130911.0
2023-11-01,40410.0
2023-12-01,4623.0
2024-01-01,1810.0
2024-02-01,5061.0
2024-03-01,27767.0
2024-04-01,5572.0
2024-05-01,88138.0
2024-06-01,107011.0
2024-07-01,126251.0
2024-08-01,140021.0
2024-09-01,120590.0
2024-10-01,140999.0
2024-11-01,25043.0
2024-12-01,3685.0
2025-01-01,905.0
2025-02-01,10872.0
2025-03-01,3749.0
2025-04-01,5071.0
2025-05-01,113426.0
2025-06-01,146749.0
2025-07-01,33519.0
2025-08-01,165018.0
