Tarih,TP_URISTSAYIL_EDIRNE
2000-01-01,53314.0
2000-02-01,67772.0
2000-03-01,72990.0
2000-04-01,84563.0
2000-05-01,87920.0
2000-06-01,81797.0
2000-07-01,112716.0
2000-08-01,106889.0
2000-09-01,91868.0
2000-10-01,90047.0
2000-11-01,82244.0
2000-12-01,78713.0
2001-01-01,60224.0
2001-02-01,63800.0
2001-03-01,63516.0
2001-04-01,72745.0
2001-05-01,71620.0
2001-06-01,92210.0
2001-07-01,158996.0
2001-08-01,134084.0
2001-09-01,115635.0
2001-10-01,110536.0
2001-11-01,91131.0
2001-12-01,93323.0
2002-01-01,59018.0
2002-02-01,92099.0
2002-03-01,100631.0
2002-04-01,108980.0
2002-05-01,122384.0
2002-06-01,126522.0
2002-07-01,211574.0
2002-08-01,177885.0
2002-09-01,138811.0
2002-10-01,136730.0
2002-11-01,119851.0
2002-12-01,125482.0
2003-01-01,89822.0
2003-02-01,89477.0
2003-03-01,99828.0
2003-04-01,115617.0
2003-05-01,132069.0
2003-06-01,153374.0
2003-07-01,247654.0
2003-08-01,232730.0
2003-09-01,178562.0
2003-10-01,183499.0
2003-11-01,151762.0
2003-12-01,147718.0
2004-01-01,108320.0
2004-02-01,128346.0
2004-03-01,154409.0
2004-04-01,161560.0
2004-05-01,184943.0
2004-06-01,192000.0
2004-07-01,315377.0
2004-08-01,232506.0
2004-09-01,182731.0
2004-10-01,183152.0
2004-11-01,162349.0
2004-12-01,171664.0
2005-01-01,153181.0
2005-02-01,122502.0
2005-03-01,177274.0
2005-04-01,201196.0
2005-05-01,217675.0
2005-06-01,237196.0
2005-07-01,401373.0
2005-08-01,269057.0
2005-09-01,220828.0
2005-10-01,210792.0
2005-11-01,180150.0
2005-12-01,174719.0
2006-01-01,123403.0
2006-02-01,96218.0
2006-03-01,120910.0
2006-04-01,148820.0
2006-05-01,146331.0
2006-06-01,196835.0
2006-07-01,366470.0
2006-08-01,251341.0
2006-09-01,169191.0
2006-10-01,153805.0
2006-11-01,132306.0
2006-12-01,163128.0
2007-01-01,103806.0
2007-02-01,104662.0
2007-03-01,130466.0
2007-04-01,163434.0
2007-05-01,163571.0
2007-06-01,242142.0
2007-07-01,462368.0
2007-08-01,262513.0
2007-09-01,174350.0
2007-10-01,168789.0
2007-11-01,130226.0
2007-12-01,161783.0
2008-01-01,100303.0
2008-02-01,108488.0
2008-03-01,138234.0
2008-04-01,166926.0
2008-05-01,173116.0
2008-06-01,305595.0
2008-07-01,531284.0
2008-08-01,302988.0
2008-09-01,169285.0
2008-10-01,180078.0
2008-11-01,145205.0
2008-12-01,170233.0
2009-01-01,104098.0
2009-02-01,129036.0
2009-03-01,152789.0
2009-04-01,184448.0
2009-05-01,200149.0
2009-06-01,271249.0
2009-07-01,647069.0
2009-08-01,306175.0
2009-09-01,203059.0
2009-10-01,182405.0
2009-11-01,160475.0
2009-12-01,170437.0
2010-01-01,121854.0
2010-02-01,117054.0
2010-03-01,153260.0
2010-04-01,193322.0
2010-05-01,208782.0
2010-06-01,241366.0
2010-07-01,515197.0
2010-08-01,272768.0
2010-09-01,234848.0
2010-10-01,204398.0
2010-11-01,189327.0
2010-12-01,170292.0
2011-01-01,131947.0
2011-02-01,128764.0
2011-03-01,170478.0
2011-04-01,215053.0
2011-05-01,223984.0
2011-06-01,282792.0
2011-07-01,452626.0
2011-08-01,286121.0
2011-09-01,256595.0
2011-10-01,195710.0
2011-11-01,184127.0
2011-12-01,174888.0
2012-01-01,121511.0
2012-02-01,100448.0
2012-03-01,165015.0
2012-04-01,217835.0
2012-05-01,211265.0
2012-06-01,286594.0
2012-07-01,422680.0
2012-08-01,341129.0
2012-09-01,242062.0
2012-10-01,235782.0
2012-11-01,176420.0
2012-12-01,176395.0
2013-01-01,131554.0
2013-02-01,142764.0
2013-03-01,190324.0
2013-04-01,215459.0
2013-05-01,241312.0
2013-06-01,256718.0
2013-07-01,404509.0
2013-08-01,403456.0
2013-09-01,239859.0
2013-10-01,244787.0
2013-11-01,180583.0
2013-12-01,189154.0
2014-01-01,139383.0
2014-02-01,153977.0
2014-03-01,200864.0
2014-04-01,233470.0
2014-05-01,252919.0
2014-06-01,261090.0
2014-07-01,533023.0
2014-08-01,413195.0
2014-09-01,270940.0
2014-10-01,249399.0
2014-11-01,189818.0
2014-12-01,192781.0
2015-01-01,151395.0
2015-02-01,155081.0
2015-03-01,186162.0
2015-04-01,242813.0
2015-05-01,275877.0
2015-06-01,275894.0
2015-07-01,564533.0
2015-08-01,392452.0
2015-09-01,282574.0
2015-10-01,237939.0
2015-11-01,196215.0
2015-12-01,202010.0
2016-01-01,143626.0
2016-02-01,155444.0
2016-03-01,186583.0
2016-04-01,216177.0
2016-05-01,235330.0
2016-06-01,230676.0
2016-07-01,538617.0
2016-08-01,290590.0
2016-09-01,253937.0
2016-10-01,217345.0
2016-11-01,185398.0
2016-12-01,191629.0
2017-01-01,118260.0
2017-02-01,159659.0
2017-03-01,200132.0
2017-04-01,221616.0
2017-05-01,233357.0
2017-06-01,258775.0
2017-07-01,608718.0
2017-08-01,348064.0
2017-09-01,303241.0
2017-10-01,251821.0
2017-11-01,220854.0
2017-12-01,241342.0
2018-01-01,181451.0
2018-02-01,171165.0
2018-03-01,209149.0
2018-04-01,278464.0
2018-05-01,254784.0
2018-06-01,336735.0
2018-07-01,625791.0
2018-08-01,456419.0
2018-09-01,392984.0
2018-10-01,342431.0
2018-11-01,291501.0
2018-12-01,294257.0
2019-01-01,190617.0
2019-02-01,203498.0
2019-03-01,301118.0
2019-04-01,373527.0
2019-05-01,326204.0
2019-06-01,418902.0
2019-07-01,696927.0
2019-08-01,480771.0
2019-09-01,390595.0
2019-10-01,348285.0
2019-11-01,303415.0
2019-12-01,314706.0
2020-01-01,222494.0
2020-02-01,212853.0
2020-03-01,104914.0
2020-04-01,11850.0
2020-05-01,17615.0
2020-06-01,64995.0
2020-07-01,182571.0
2020-08-01,163734.0
2020-09-01,263495.0
2020-10-01,264021.0
2020-11-01,169528.0
2020-12-01,125981.0
2021-01-01,52698.0
2021-02-01,61914.0
2021-03-01,87823.0
2021-04-01,84173.0
2021-05-01,97546.0
2021-06-01,227152.0
2021-07-01,609563.0
2021-08-01,353088.0
2021-09-01,231775.0
2021-10-01,244002.0
2021-11-01,228069.0
2021-12-01,321806.0
2022-01-01,148016.0
2022-02-01,181665.0
2022-03-01,276380.0
2022-04-01,359303.0
2022-05-01,359483.0
2022-06-01,425004.0
2022-07-01,772978.0
2022-08-01,547474.0
2022-09-01,447543.0
2022-10-01,436972.0
2022-11-01,325174.0
2022-12-01,356445.0
2023-01-01,242615.0
2023-02-01,222554.0
2023-03-01,279727.0
2023-04-01,375501.0
2023-05-01,349123.0
2023-06-01,438428.0
2023-07-01,809494.0
2023-08-01,525270.0
2023-09-01,425637.0
2023-10-01,372341.0
2023-11-01,318635.0
2023-12-01,356255.0
2024-01-01,237714.0
2024-02-01,268735.0
2024-03-01,327019.0
2024-04-01,396591.0
2024-05-01,392550.0
2024-06-01,427185.0
2024-07-01,803351.0
2024-08-01,507105.0
2024-09-01,410006.0
2024-10-01,399424.0
2024-11-01,324999.0
2024-12-01,340266.0
2025-01-01,235778.0
2025-02-01,230153.0
2025-03-01,271170.0
2025-04-01,370867.0
2025-05-01,350135.0
2025-06-01,382557.0
2025-07-01,711613.0
2025-08-01,526542.0
