Tarih,TP_URISTSAYIL_CANAKKALE
2000-01-01,42.0
2000-02-01,17.0
2000-03-01,12.0
2000-04-01,1316.0
2000-05-01,1831.0
2000-06-01,503.0
2000-07-01,288.0
2000-08-01,1452.0
2000-09-01,2294.0
2000-10-01,2357.0
2000-11-01,2468.0
2000-12-01,128.0
2001-01-01,51.0
2001-02-01,111.0
2001-03-01,192.0
2001-04-01,2003.0
2001-05-01,886.0
2001-06-01,1032.0
2001-07-01,246.0
2001-08-01,544.0
2001-09-01,1457.0
2001-10-01,9.0
2001-11-01,5.0
2001-12-01,11.0
2002-01-01,3.0
2002-02-01,4.0
2002-03-01,13.0
2002-04-01,753.0
2002-05-01,2295.0
2002-06-01,70.0
2002-07-01,68.0
2002-08-01,44.0
2002-09-01,790.0
2002-10-01,1973.0
2002-11-01,683.0
2002-12-01,3.0
2003-01-01,10.0
2003-02-01,9.0
2003-03-01,13.0
2003-04-01,76.0
2003-05-01,1446.0
2003-06-01,244.0
2003-07-01,158.0
2003-08-01,194.0
2003-09-01,916.0
2003-10-01,255.0
2003-11-01,575.0
2003-12-01,34.0
2004-01-01,47.0
2004-02-01,40.0
2004-03-01,50.0
2004-04-01,865.0
2004-05-01,781.0
2004-06-01,1508.0
2004-07-01,178.0
2004-08-01,332.0
2004-09-01,266.0
2004-10-01,2683.0
2004-11-01,46.0
2004-12-01,25.0
2005-01-01,16.0
2005-02-01,25.0
2005-03-01,32.0
2005-04-01,242.0
2005-05-01,689.0
2005-06-01,421.0
2005-07-01,96.0
2005-08-01,1301.0
2005-09-01,1424.0
2005-10-01,4348.0
2005-11-01,39.0
2005-12-01,63.0
2006-01-01,37.0
2006-02-01,24.0
2006-03-01,30.0
2006-04-01,2259.0
2006-05-01,1485.0
2006-06-01,569.0
2006-07-01,588.0
2006-08-01,295.0
2006-09-01,1681.0
2006-10-01,3469.0
2006-11-01,399.0
2006-12-01,57.0
2007-01-01,38.0
2007-02-01,61.0
2007-03-01,381.0
2007-04-01,951.0
2007-05-01,3105.0
2007-06-01,1715.0
2007-07-01,1480.0
2007-08-01,2585.0
2007-09-01,1196.0
2007-10-01,3791.0
2007-11-01,15.0
2007-12-01,23.0
2008-01-01,28.0
2008-02-01,114.0
2008-03-01,570.0
2008-04-01,882.0
2008-05-01,75.0
2008-06-01,1772.0
2008-07-01,522.0
2008-08-01,460.0
2008-09-01,1514.0
2008-10-01,6266.0
2008-11-01,1305.0
2008-12-01,64.0
2009-01-01,117.0
2009-02-01,53.0
2009-03-01,67.0
2009-04-01,731.0
2009-05-01,1706.0
2009-06-01,310.0
2009-07-01,847.0
2009-08-01,421.0
2009-09-01,1714.0
2009-10-01,4213.0
2009-11-01,339.0
2009-12-01,78.0
2010-01-01,35.0
2010-02-01,50.0
2010-03-01,48.0
2010-04-01,22679.0
2010-05-01,3222.0
2010-06-01,3700.0
2010-07-01,2429.0
2010-08-01,363.0
2010-09-01,1159.0
2010-10-01,3190.0
2010-11-01,73.0
2010-12-01,115.0
2011-01-01,68.0
2011-02-01,111.0
2011-03-01,78.0
2011-04-01,86.0
2011-05-01,882.0
2011-06-01,693.0
2011-07-01,1406.0
2011-08-01,389.0
2011-09-01,1799.0
2011-10-01,517.0
2011-11-01,232.0
2011-12-01,55.0
2012-01-01,76.0
2012-02-01,77.0
2012-03-01,365.0
2012-04-01,2019.0
2012-05-01,1344.0
2012-06-01,590.0
2012-07-01,1731.0
2012-08-01,1363.0
2012-09-01,1285.0
2012-10-01,3708.0
2012-11-01,499.0
2012-12-01,55.0
2013-01-01,68.0
2013-02-01,33.0
2013-03-01,506.0
2013-04-01,517.0
2013-05-01,556.0
2013-06-01,1304.0
2013-07-01,738.0
2013-08-01,1516.0
2013-09-01,1278.0
2013-10-01,3203.0
2013-11-01,114.0
2013-12-01,35.0
2014-01-01,41.0
2014-02-01,96.0
2014-03-01,61.0
2014-04-01,1053.0
2014-05-01,1164.0
2014-06-01,482.0
2014-07-01,457.0
2014-08-01,1644.0
2014-09-01,2345.0
2014-10-01,1700.0
2014-11-01,695.0
2014-12-01,78.0
2015-01-01,106.0
2015-02-01,94.0
2015-03-01,486.0
2015-04-01,11921.0
2015-05-01,3431.0
2015-06-01,3344.0
2015-07-01,4543.0
2015-08-01,3218.0
2015-09-01,4586.0
2015-10-01,5118.0
2015-11-01,355.0
2015-12-01,100.0
2016-01-01,246.0
2016-02-01,120.0
2016-03-01,2330.0
2016-04-01,1664.0
2016-05-01,1126.0
2016-06-01,1111.0
2016-07-01,618.0
2016-08-01,188.0
2016-09-01,980.0
2016-10-01,583.0
2016-11-01,141.0
2016-12-01,42.0
2017-01-01,69.0
2017-02-01,124.0
2017-03-01,100.0
2017-04-01,378.0
2017-05-01,104.0
2017-06-01,523.0
2017-07-01,2766.0
2017-08-01,1898.0
2017-09-01,152.0
2017-10-01,207.0
2017-11-01,282.0
2017-12-01,149.0
2018-01-01,81.0
2018-02-01,116.0
2018-03-01,120.0
2018-04-01,93.0
2018-05-01,119.0
2018-06-01,449.0
2018-07-01,2695.0
2018-08-01,2414.0
2018-09-01,502.0
2018-10-01,421.0
2018-11-01,126.0
2018-12-01,115.0
2019-01-01,102.0
2019-02-01,147.0
2019-03-01,175.0
2019-04-01,84.0
2019-05-01,384.0
2019-06-01,391.0
2019-07-01,1561.0
2019-08-01,1316.0
2019-09-01,509.0
2019-10-01,1747.0
2019-11-01,1360.0
2019-12-01,139.0
2020-01-01,181.0
2020-02-01,73.0
2020-03-01,54.0
2020-04-01,1.0
2020-05-01,3.0
2020-06-01,55.0
2020-07-01,175.0
2020-08-01,153.0
2020-09-01,147.0
2020-10-01,158.0
2020-11-01,113.0
2020-12-01,105.0
2021-01-01,82.0
2021-02-01,101.0
2021-03-01,174.0
2021-04-01,95.0
2021-05-01,100.0
2021-06-01,206.0
2021-07-01,144.0
2021-08-01,212.0
2021-09-01,222.0
2021-10-01,147.0
2021-11-01,177.0
2021-12-01,157.0
2022-01-01,146.0
2022-02-01,176.0
2022-03-01,144.0
2022-04-01,832.0
2022-05-01,3592.0
2022-06-01,2432.0
2022-07-01,3330.0
2022-08-01,3357.0
2022-09-01,1853.0
2022-10-01,3398.0
2022-11-01,3115.0
2022-12-01,271.0
2023-01-01,1670.0
2023-02-01,184.0
2023-03-01,260.0
2023-04-01,4507.0
2023-05-01,5584.0
2023-06-01,1944.0
2023-07-01,5534.0
2023-08-01,2868.0
2023-09-01,6590.0
2023-10-01,5530.0
2023-11-01,319.0
2023-12-01,297.0
2024-01-01,1163.0
2024-02-01,231.0
2024-03-01,317.0
2024-04-01,634.0
2024-05-01,5047.0
2024-06-01,1961.0
2024-07-01,8444.0
2024-08-01,5737.0
2024-09-01,4322.0
2024-10-01,2564.0
2024-11-01,1122.0
2024-12-01,2017.0
2025-01-01,223.0
2025-02-01,106.0
2025-03-01,449.0
2025-04-01,5775.0
2025-05-01,4342.0
2025-06-01,4096.0
2025-07-01,2828.0
2025-08-01,4526.0
