Tarih,TP_URISTSAYIL_ISTANBUL
2000-01-01,104224.0
2000-02-01,124366.0
2000-03-01,151551.0
2000-04-01,195546.0
2000-05-01,200591.0
2000-06-01,215529.0
2000-07-01,326910.0
2000-08-01,244309.0
2000-09-01,250192.0
2000-10-01,248246.0
2000-11-01,196002.0
2000-12-01,163909.0
2001-01-01,139162.0
2001-02-01,150847.0
2001-03-01,201156.0
2001-04-01,238003.0
2001-05-01,241860.0
2001-06-01,250901.0
2001-07-01,288288.0
2001-08-01,278046.0
2001-09-01,236975.0
2001-10-01,194006.0
2001-11-01,160656.0
2001-12-01,137239.0
2002-01-01,124917.0
2002-02-01,144572.0
2002-03-01,192956.0
2002-04-01,209845.0
2002-05-01,226114.0
2002-06-01,213366.0
2002-07-01,277666.0
2002-08-01,276047.0
2002-09-01,277916.0
2002-10-01,315972.0
2002-11-01,214386.0
2002-12-01,225374.0
2003-01-01,86929.0
2003-02-01,188536.0
2003-03-01,177244.0
2003-04-01,200799.0
2003-05-01,253159.0
2003-06-01,294726.0
2003-07-01,378087.0
2003-08-01,381051.0
2003-09-01,331383.0
2003-10-01,353209.0
2003-11-01,222255.0
2003-12-01,209600.0
2004-01-01,186141.0
2004-02-01,196815.0
2004-03-01,248006.0
2004-04-01,286775.0
2004-05-01,326415.0
2004-06-01,300123.0
2004-07-01,377165.0
2004-08-01,348840.0
2004-09-01,331241.0
2004-10-01,327213.0
2004-11-01,277657.0
2004-12-01,266647.0
2005-01-01,218880.0
2005-02-01,226997.0
2005-03-01,347832.0
2005-04-01,388194.0
2005-05-01,503738.0
2005-06-01,459027.0
2005-07-01,538659.0
2005-08-01,492632.0
2005-09-01,468996.0
2005-10-01,469595.0
2005-11-01,383729.0
2005-12-01,350941.0
2006-01-01,265044.0
2006-02-01,265538.0
2006-03-01,355251.0
2006-04-01,445228.0
2006-05-01,471753.0
2006-06-01,510984.0
2006-07-01,630785.0
2006-08-01,588344.0
2006-09-01,516971.0
2006-10-01,457926.0
2006-11-01,425155.0
2006-12-01,413702.0
2007-01-01,314762.0
2007-02-01,361563.0
2007-03-01,462048.0
2007-04-01,552535.0
2007-05-01,586551.0
2007-06-01,554277.0
2007-07-01,754539.0
2007-08-01,702140.0
2007-09-01,609439.0
2007-10-01,626829.0
2007-11-01,481910.0
2007-12-01,447005.0
2008-01-01,357219.0
2008-02-01,431766.0
2008-03-01,550358.0
2008-04-01,582780.0
2008-05-01,691409.0
2008-06-01,668857.0
2008-07-01,799906.0
2008-08-01,698331.0
2008-09-01,611645.0
2008-10-01,691925.0
2008-11-01,502907.0
2008-12-01,463645.0
2009-01-01,339895.0
2009-02-01,408082.0
2009-03-01,485607.0
2009-04-01,632219.0
2009-05-01,700116.0
2009-06-01,698596.0
2009-07-01,915578.0
2009-08-01,748988.0
2009-09-01,679727.0
2009-10-01,761166.0
2009-11-01,555920.0
2009-12-01,584576.0
2010-01-01,296661.0
2010-02-01,372743.0
2010-03-01,490583.0
2010-04-01,553670.0
2010-05-01,688822.0
2010-06-01,659108.0
2010-07-01,819412.0
2010-08-01,630621.0
2010-09-01,712383.0
2010-10-01,715577.0
2010-11-01,517320.0
2010-12-01,471967.0
2011-01-01,378380.0
2011-02-01,431482.0
2011-03-01,554001.0
2011-04-01,694963.0
2011-05-01,729860.0
2011-06-01,773246.0
2011-07-01,916599.0
2011-08-01,737073.0
2011-09-01,862591.0
2011-10-01,833551.0
2011-11-01,596053.0
2011-12-01,548591.0
2012-01-01,451702.0
2012-02-01,494158.0
2012-03-01,659881.0
2012-04-01,818868.0
2012-05-01,867603.0
2012-06-01,939624.0
2012-07-01,966417.0
2012-08-01,950134.0
2012-09-01,940241.0
2012-10-01,913212.0
2012-11-01,727816.0
2012-12-01,653398.0
2013-01-01,532757.0
2013-02-01,617543.0
2013-03-01,839015.0
2013-04-01,938069.0
2013-05-01,1059936.0
2013-06-01,959284.0
2013-07-01,930278.0
2013-08-01,1085988.0
2013-09-01,1007171.0
2013-10-01,999755.0
2013-11-01,771138.0
2013-12-01,745363.0
2014-01-01,601732.0
2014-02-01,696660.0
2014-03-01,867722.0
2014-04-01,1015737.0
2014-05-01,1080574.0
2014-06-01,1091505.0
2014-07-01,1157145.0
2014-08-01,1291616.0
2014-09-01,1182883.0
2014-10-01,1133564.0
2014-11-01,845102.0
2014-12-01,856457.0
2015-01-01,692401.0
2015-02-01,733024.0
2015-03-01,945753.0
2015-04-01,1038778.0
2015-05-01,1184124.0
2015-06-01,1092608.0
2015-07-01,1401856.0
2015-08-01,1335335.0
2015-09-01,1206248.0
2015-10-01,1126586.0
2015-11-01,849211.0
2015-12-01,822809.0
2016-01-01,693467.0
2016-02-01,675250.0
2016-03-01,784599.0
2016-04-01,716278.0
2016-05-01,870905.0
2016-06-01,707949.0
2016-07-01,925506.0
2016-08-01,909914.0
2016-09-01,801923.0
2016-10-01,792320.0
2016-11-01,664459.0
2016-12-01,675074.0
2017-01-01,560880.0
2017-02-01,590768.0
2017-03-01,743063.0
2017-04-01,836412.0
2017-05-01,830688.0
2017-06-01,828008.0
2017-07-01,1320098.0
2017-08-01,1248528.0
2017-09-01,1046617.0
2017-10-01,1003581.0
2017-11-01,832542.0
2017-12-01,889325.0
2018-01-01,831307.0
2018-02-01,848510.0
2018-03-01,1073002.0
2018-04-01,1144041.0
2018-05-01,984028.0
2018-06-01,1100389.0
2018-07-01,1502397.0
2018-08-01,1391036.0
2018-09-01,1235301.0
2018-10-01,1230070.0
2018-11-01,1014984.0
2018-12-01,1077925.0
2019-01-01,918949.0
2019-02-01,984689.0
2019-03-01,1165591.0
2019-04-01,1329868.0
2019-05-01,1016809.0
2019-06-01,1361302.0
2019-07-01,1666319.0
2019-08-01,1540120.0
2019-09-01,1359175.0
2019-10-01,1347554.0
2019-11-01,1088372.0
2019-12-01,1127915.0
2020-01-01,1017034.0
2020-02-01,962151.0
2020-03-01,374101.0
2020-04-01,960.0
2020-05-01,847.0
2020-06-01,66725.0
2020-07-01,301930.0
2020-08-01,436198.0
2020-09-01,460670.0
2020-10-01,533405.0
2020-11-01,439920.0
2020-12-01,408040.0
2021-01-01,334825.0
2021-02-01,350913.0
2021-03-01,545608.0
2021-04-01,419686.0
2021-05-01,384630.0
2021-06-01,684621.0
2021-07-01,1130999.0
2021-08-01,1002722.0
2021-09-01,975916.0
2021-10-01,1152771.0
2021-11-01,997620.0
2021-12-01,1044693.0
2022-01-01,791578.0
2022-02-01,956482.0
2022-03-01,1156400.0
2022-04-01,977888.0
2022-05-01,1402366.0
2022-06-01,1470586.0
2022-07-01,1759506.0
2022-08-01,1665983.0
2022-09-01,1607045.0
2022-10-01,1584692.0
2022-11-01,1341948.0
2022-12-01,1304252.0
2023-01-01,1189827.0
2023-02-01,1084033.0
2023-03-01,1206770.0
2023-04-01,1289903.0
2023-05-01,1505948.0
2023-06-01,1627057.0
2023-07-01,1873097.0
2023-08-01,1747611.0
2023-09-01,1631963.0
2023-10-01,1606505.0
2023-11-01,1288610.0
2023-12-01,1318706.0
2024-01-01,1165996.0
2024-02-01,1291522.0
2024-03-01,1309200.0
2024-04-01,1478218.0
2024-05-01,1678832.0
2024-06-01,1638399.0
2024-07-01,1905146.0
2024-08-01,1802290.0
2024-09-01,1753540.0
2024-10-01,1745808.0
2024-11-01,1394452.0
2024-12-01,1418919.0
2025-01-01,1268660.0
2025-02-01,1255459.0
2025-03-01,1228785.0
2025-04-01,1583204.0
2025-05-01,1668304.0
2025-06-01,1631177.0
2025-07-01,1879266.0
2025-08-01,1852996.0
