Tarih,TP_URISTSAYIL_BALIKESIR
2000-01-01,16.0
2000-02-01,24.0
2000-03-01,59.0
2000-04-01,171.0
2000-05-01,381.0
2000-06-01,1148.0
2000-07-01,2049.0
2000-08-01,3997.0
2000-09-01,2181.0
2000-10-01,708.0
2000-11-01,129.0
2000-12-01,103.0
2001-01-01,23.0
2001-02-01,30.0
2001-03-01,20.0
2001-04-01,649.0
2001-05-01,941.0
2001-06-01,1733.0
2001-07-01,2781.0
2001-08-01,3106.0
2001-09-01,1928.0
2001-10-01,524.0
2001-11-01,194.0
2001-12-01,68.0
2002-01-01,55.0
2002-02-01,102.0
2002-03-01,255.0
2002-04-01,326.0
2002-05-01,1111.0
2002-06-01,2088.0
2002-07-01,3370.0
2002-08-01,5055.0
2002-09-01,3018.0
2002-10-01,1733.0
2002-11-01,453.0
2002-12-01,114.0
2003-01-01,67.0
2003-02-01,88.0
2003-03-01,92.0
2003-04-01,280.0
2003-05-01,1003.0
2003-06-01,1804.0
2003-07-01,3422.0
2003-08-01,6868.0
2003-09-01,2957.0
2003-10-01,1908.0
2003-11-01,494.0
2003-12-01,239.0
2004-01-01,77.0
2004-02-01,82.0
2004-03-01,210.0
2004-04-01,695.0
2004-05-01,1829.0
2004-06-01,2086.0
2004-07-01,5686.0
2004-08-01,7789.0
2004-09-01,4986.0
2004-10-01,4891.0
2004-11-01,1886.0
2004-12-01,1346.0
2005-01-01,673.0
2005-02-01,309.0
2005-03-01,779.0
2005-04-01,2317.0
2005-05-01,3458.0
2005-06-01,4388.0
2005-07-01,7254.0
2005-08-01,10316.0
2005-09-01,7022.0
2005-10-01,4499.0
2005-11-01,1616.0
2005-12-01,848.0
2006-01-01,187.0
2006-02-01,97.0
2006-03-01,245.0
2006-04-01,834.0
2006-05-01,1494.0
2006-06-01,2077.0
2006-07-01,4950.0
2006-08-01,9224.0
2006-09-01,3232.0
2006-10-01,1974.0
2006-11-01,1520.0
2006-12-01,1370.0
2007-01-01,734.0
2007-02-01,749.0
2007-03-01,677.0
2007-04-01,763.0
2007-05-01,1098.0
2007-06-01,2027.0
2007-07-01,3450.0
2007-08-01,5557.0
2007-09-01,2734.0
2007-10-01,1698.0
2007-11-01,797.0
2007-12-01,320.0
2008-01-01,465.0
2008-02-01,296.0
2008-03-01,506.0
2008-04-01,852.0
2008-05-01,369.0
2008-06-01,2148.0
2008-07-01,3973.0
2008-08-01,6076.0
2008-09-01,746.0
2008-10-01,2416.0
2008-11-01,770.0
2008-12-01,353.0
2009-01-01,439.0
2009-02-01,309.0
2009-03-01,308.0
2009-04-01,1121.0
2009-05-01,1845.0
2009-06-01,2720.0
2009-07-01,4555.0
2009-08-01,6205.0
2009-09-01,4829.0
2009-10-01,2990.0
2009-11-01,1086.0
2009-12-01,211.0
2010-01-01,367.0
2010-02-01,151.0
2010-03-01,209.0
2010-04-01,426.0
2010-05-01,696.0
2010-06-01,837.0
2010-07-01,1414.0
2010-08-01,2860.0
2010-09-01,2936.0
2010-10-01,897.0
2010-11-01,97.0
2010-12-01,297.0
2011-01-01,207.0
2011-02-01,215.0
2011-03-01,496.0
2011-04-01,852.0
2011-05-01,1024.0
2011-06-01,1664.0
2011-07-01,2323.0
2011-08-01,3655.0
2011-09-01,3410.0
2011-10-01,1038.0
2011-11-01,346.0
2011-12-01,539.0
2012-01-01,108.0
2012-02-01,148.0
2012-03-01,174.0
2012-04-01,586.0
2012-05-01,851.0
2012-06-01,1176.0
2012-07-01,2423.0
2012-08-01,3519.0
2012-09-01,2747.0
2012-10-01,1232.0
2012-11-01,256.0
2012-12-01,288.0
2013-01-01,262.0
2013-02-01,188.0
2013-03-01,364.0
2013-04-01,452.0
2013-05-01,1373.0
2013-06-01,1683.0
2013-07-01,2703.0
2013-08-01,4525.0
2013-09-01,3482.0
2013-10-01,1747.0
2013-11-01,835.0
2013-12-01,383.0
2014-01-01,438.0
2014-02-01,441.0
2014-03-01,753.0
2014-04-01,2659.0
2014-05-01,2872.0
2014-06-01,2040.0
2014-07-01,3622.0
2014-08-01,5514.0
2014-09-01,3663.0
2014-10-01,1949.0
2014-11-01,357.0
2014-12-01,374.0
2015-01-01,408.0
2015-02-01,392.0
2015-03-01,415.0
2015-04-01,1216.0
2015-05-01,1782.0
2015-06-01,1995.0
2015-07-01,3396.0
2015-08-01,4602.0
2015-09-01,2564.0
2015-10-01,1282.0
2015-11-01,406.0
2015-12-01,368.0
2016-01-01,505.0
2016-02-01,317.0
2016-03-01,347.0
2016-04-01,534.0
2016-05-01,693.0
2016-06-01,1467.0
2016-07-01,2733.0
2016-08-01,2599.0
2016-09-01,2255.0
2016-10-01,686.0
2016-11-01,297.0
2016-12-01,365.0
2017-01-01,215.0
2017-02-01,192.0
2017-03-01,262.0
2017-04-01,1792.0
2017-05-01,1812.0
2017-06-01,3160.0
2017-07-01,5329.0
2017-08-01,7138.0
2017-09-01,4955.0
2017-10-01,2718.0
2017-11-01,2268.0
2017-12-01,2090.0
2018-01-01,827.0
2018-02-01,929.0
2018-03-01,528.0
2018-04-01,898.0
2018-05-01,1736.0
2018-06-01,2451.0
2018-07-01,4441.0
2018-08-01,8617.0
2018-09-01,6596.0
2018-10-01,5389.0
2018-11-01,3172.0
2018-12-01,2530.0
2019-01-01,777.0
2019-02-01,1143.0
2019-03-01,1761.0
2019-04-01,2595.0
2019-05-01,4573.0
2019-06-01,5191.0
2019-07-01,6049.0
2019-08-01,9732.0
2019-09-01,7133.0
2019-10-01,4698.0
2019-11-01,2722.0
2019-12-01,1829.0
2020-01-01,1212.0
2020-02-01,993.0
2020-03-01,89.0
2020-04-01,3.0
2020-05-01,0.0
2020-06-01,70.0
2020-07-01,331.0
2020-08-01,383.0
2020-09-01,102.0
2020-10-01,44.0
2020-11-01,42.0
2020-12-01,14.0
2021-01-01,7.0
2021-02-01,30.0
2021-03-01,34.0
2021-04-01,35.0
2021-05-01,27.0
2021-06-01,42.0
2021-07-01,902.0
2021-08-01,447.0
2021-09-01,126.0
2021-10-01,32.0
2021-11-01,35.0
2021-12-01,60.0
2022-01-01,25.0
2022-02-01,27.0
2022-03-01,16.0
2022-04-01,859.0
2022-05-01,1532.0
2022-06-01,2478.0
2022-07-01,5248.0
2022-08-01,6830.0
2022-09-01,4045.0
2022-10-01,1616.0
2022-11-01,1027.0
2022-12-01,960.0
2023-01-01,616.0
2023-02-01,697.0
2023-03-01,745.0
2023-04-01,1842.0
2023-05-01,1970.0
2023-06-01,3939.0
2023-07-01,8213.0
2023-08-01,10527.0
2023-09-01,5427.0
2023-10-01,2570.0
2023-11-01,1489.0
2023-12-01,1269.0
2024-01-01,970.0
2024-02-01,898.0
2024-03-01,958.0
2024-04-01,2150.0
2024-05-01,3312.0
2024-06-01,4771.0
2024-07-01,8932.0
2024-08-01,11291.0
2024-09-01,6344.0
2024-10-01,3177.0
2024-11-01,1156.0
2024-12-01,1347.0
2025-01-01,1088.0
2025-02-01,620.0
2025-03-01,1263.0
2025-04-01,2869.0
2025-05-01,3418.0
2025-06-01,5465.0
2025-07-01,9834.0
2025-08-01,11444.0
