Tarih,TP_URISTSAYIL_KAYSERI
2022-07-01,40277.0
2022-08-01,26669.0
2022-09-01,11476.0
2022-10-01,10369.0
2022-11-01,5191.0
2022-12-01,8578.0
2023-01-01,6502.0
2023-02-01,6643.0
2023-03-01,5682.0
2023-04-01,6400.0
2023-05-01,7136.0
2023-06-01,12598.0
2023-07-01,22375.0
2023-08-01,19650.0
2023-09-01,11156.0
2023-10-01,10524.0
2023-11-01,5166.0
2023-12-01,9896.0
2024-01-01,7469.0
2024-02-01,9023.0
2024-03-01,7766.0
2024-04-01,8800.0
2024-05-01,10930.0
2024-06-01,13448.0
2024-07-01,26901.0
2024-08-01,21065.0
2024-09-01,12529.0
2024-10-01,11891.0
2024-11-01,5920.0
2024-12-01,8616.0
2025-01-01,7194.0
2025-02-01,8652.0
2025-03-01,6499.0
2025-04-01,10972.0
2025-05-01,9848.0
2025-06-01,12309.0
2025-07-01,27426.0
2025-08-01,22884.0
