Tarih,TP_SEKBIL5009_G
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,647119947.4
2010-01-01,793391520.9
2011-01-01,1022278685.8
2012-01-01,1182193509.3
2013-01-01,1307877983.6
2014-01-01,1518837857.2
2015-01-01,1701021133.0
2016-01-01,1870003887.4
2017-01-01,2379927986.0
2018-01-01,2902296618.7
2019-01-01,3345304396.8
2020-01-01,4215294769.9
2021-01-01,6404082673.8
2022-01-01,13895178267.1
2023-01-01,21849925535.4
