Tarih,TP_ITHISICREV4_R
2016-10-01,5640.434
2016-11-01,3191.719
2016-12-01,1942.109
2017-01-01,5215.131
2017-02-01,1387.952
2017-03-01,1771.005
2017-04-01,3172.316
2017-05-01,4970.658
2017-06-01,1318.952
2017-07-01,3119.16
2017-08-01,2650.547
2017-09-01,7519.378
2017-10-01,1521.373
2017-11-01,1742.144
2017-12-01,2139.677
2018-01-01,1436.933
2018-02-01,1648.18
2018-03-01,2676.622
2018-04-01,2830.517
2018-05-01,3810.515
2018-06-01,3005.264
2018-07-01,1735.778
2018-08-01,3329.729
2018-09-01,2072.531
2018-10-01,1017.522
2018-11-01,1201.511
2018-12-01,609.551
2019-01-01,764.154
2019-02-01,365.585
2019-03-01,724.882
2019-04-01,2693.881
2019-05-01,1215.541
2019-06-01,369.831
2019-07-01,577.213
2019-08-01,448.405
2019-09-01,445.776
2019-10-01,384.721
2019-11-01,598.448
2019-12-01,1414.191
2020-01-01,648.974
2020-02-01,514.647
2020-03-01,434.279
2020-04-01,149.853
2020-05-01,96.053
2020-06-01,136.826
2020-07-01,1058.071
2020-08-01,1700.415
2020-09-01,658.106
2020-10-01,393.91
2020-11-01,470.031
2020-12-01,1233.712
2021-01-01,901.0
2021-02-01,712.0
2021-03-01,897.0
2021-04-01,3443.0
2021-05-01,463.0
2021-06-01,2705.0
2021-07-01,946.0
2021-08-01,786.0
2021-09-01,1013.0
2021-10-01,929.0
2021-11-01,1151.0
2021-12-01,1605.0
2022-01-01,795.0
2022-02-01,1537.0
2022-03-01,1269.0
2022-04-01,851.0
2022-05-01,1130.0
2022-06-01,1713.0
2022-07-01,1636.0
2022-08-01,2097.0
2022-09-01,2091.0
2022-10-01,755.0
2022-11-01,1446.0
2022-12-01,2891.0
2023-01-01,2145.0
2023-02-01,3774.0
2023-03-01,1537.0
2023-04-01,3509.0
2023-05-01,3553.0
2023-06-01,2135.0
2023-07-01,3417.0
2023-08-01,1721.0
2023-09-01,5186.0
2023-10-01,827.0
2023-11-01,6787.0
2023-12-01,2870.0
2024-01-01,1363.0
2024-02-01,1619.0
2024-03-01,1625.0
2024-04-01,2764.0
2024-05-01,1667.0
2024-06-01,849.0
2024-07-01,3548.0
2024-08-01,2954.0
2024-09-01,1387.0
2024-10-01,2208.0
2024-11-01,5225.0
2024-12-01,6486.0
2025-01-01,1544.0
2025-02-01,1867.0
2025-03-01,2438.0
2025-04-01,2345.0
2025-05-01,6431.0
2025-06-01,2710.0
2025-07-01,4691.0
2025-08-01,3611.0
