Tarih,TP_ITHISICREV4_B
2016-06-01,1450027.822
2016-07-01,1533564.437
2016-08-01,1587836.746
2016-09-01,1326185.913
2016-10-01,1600792.915
2016-11-01,1709460.813
2016-12-01,2119874.277
2017-01-01,2438662.736
2017-02-01,2184478.896
2017-03-01,2236334.833
2017-04-01,2095024.662
2017-05-01,2072510.082
2017-06-01,1769110.44
2017-07-01,2052992.755
2017-08-01,2121506.938
2017-09-01,2080480.865
2017-10-01,2241119.484
2017-11-01,2346092.22
2017-12-01,2586613.437
2018-01-01,2687378.352
2018-02-01,2324098.12
2018-03-01,2200377.819
2018-04-01,2091699.82
2018-05-01,2165264.912
2018-06-01,2064316.196
2018-07-01,2755107.112
2018-08-01,2313475.307
2018-09-01,2402226.393
2018-10-01,2640330.788
2018-11-01,2245343.67
2018-12-01,3088973.219
2019-01-01,3126724.091
2019-02-01,2714229.206
2019-03-01,2874147.494
2019-04-01,2566174.519
2019-05-01,2612461.289
2019-06-01,2143568.399
2019-07-01,2658162.0
2019-08-01,2548239.61
2019-09-01,2401336.761
2019-10-01,2535625.453
2019-11-01,2537935.054
2019-12-01,2977262.547
2020-01-01,3136715.356
2020-02-01,2482792.089
2020-03-01,2195612.725
2020-04-01,1118122.993
2020-05-01,1041207.777
2020-06-01,1115627.174
2020-07-01,1798620.913
2020-08-01,1547773.864
2020-09-01,2072205.686
2020-10-01,1702349.296
2020-11-01,1993405.652
2020-12-01,2129704.582
2021-01-01,2226431.0
2021-02-01,2059017.0
2021-03-01,2598797.0
2021-04-01,2658539.0
2021-05-01,2475658.0
2021-06-01,2793582.0
2021-07-01,3210367.0
2021-08-01,3283590.0
2021-09-01,3189296.0
2021-10-01,4374625.0
2021-11-01,5178767.0
2021-12-01,6037771.0
2022-01-01,7849015.0
2022-02-01,6637897.0
2022-03-01,7103800.0
2022-04-01,6343829.0
2022-05-01,5119767.0
2022-06-01,6142331.0
2022-07-01,5631127.0
2022-08-01,6912531.0
2022-09-01,6624546.0
2022-10-01,5640616.0
2022-11-01,5418672.0
2022-12-01,5919918.0
2023-01-01,6954817.0
2023-02-01,5063307.0
2023-03-01,3968492.0
2023-04-01,3024199.0
2023-05-01,3242568.0
2023-06-01,2700445.0
2023-07-01,2893142.0
2023-08-01,3177168.0
2023-09-01,3224864.0
2023-10-01,3510736.0
2023-11-01,3796623.0
2023-12-01,4766587.0
2024-01-01,4535899.0
2024-02-01,3827530.0
2024-03-01,3551217.0
2024-04-01,3118378.0
2024-05-01,3193977.0
2024-06-01,2985756.0
2024-07-01,3372842.0
2024-08-01,3275438.0
2024-09-01,2924908.0
2024-10-01,3010878.0
2024-11-01,4013544.0
2024-12-01,4906850.0
2025-01-01,4519697.0
2025-02-01,4682863.0
2025-03-01,4490012.0
2025-04-01,3564369.0
2025-05-01,2739720.0
2025-06-01,2899413.0
2025-07-01,3418848.0
2025-08-01,3288051.0
