Tarih,TP_ITHISICREV4_A
2016-10-01,519343.659
2016-11-01,642359.465
2016-12-01,628494.953
2017-01-01,611375.601
2017-02-01,574371.952
2017-03-01,826005.847
2017-04-01,824119.37
2017-05-01,1195670.756
2017-06-01,822283.776
2017-07-01,741679.697
2017-08-01,627174.964
2017-09-01,672945.34
2017-10-01,654066.867
2017-11-01,788129.848
2017-12-01,1036580.67
2018-01-01,995870.197
2018-02-01,850723.243
2018-03-01,938246.312
2018-04-01,1057620.304
2018-05-01,974829.208
2018-06-01,818281.503
2018-07-01,785565.282
2018-08-01,646582.616
2018-09-01,623742.577
2018-10-01,596089.264
2018-11-01,626456.794
2018-12-01,584136.801
2019-01-01,679948.623
2019-02-01,646198.29
2019-03-01,1005064.532
2019-04-01,970951.199
2019-05-01,1032407.131
2019-06-01,671110.469
2019-07-01,883820.931
2019-08-01,641978.874
2019-09-01,725539.979
2019-10-01,841716.401
2019-11-01,851457.7
2019-12-01,885645.543
2020-01-01,915377.175
2020-02-01,818327.642
2020-03-01,884708.553
2020-04-01,942426.003
2020-05-01,971905.074
2020-06-01,878259.707
2020-07-01,595813.278
2020-08-01,535799.498
2020-09-01,637956.056
2020-10-01,654098.551
2020-11-01,897371.652
2020-12-01,1102381.657
2021-01-01,842420.0
2021-02-01,874538.0
2021-03-01,1167106.0
2021-04-01,923162.0
2021-05-01,908801.0
2021-06-01,903331.0
2021-07-01,713963.0
2021-08-01,1119682.0
2021-09-01,1078689.0
2021-10-01,827962.0
2021-11-01,1261854.0
2021-12-01,1460557.0
2022-01-01,1209897.0
2022-02-01,1076785.0
2022-03-01,1029713.0
2022-04-01,1366148.0
2022-05-01,1318081.0
2022-06-01,1470618.0
2022-07-01,1359757.0
2022-08-01,1350392.0
2022-09-01,1130310.0
2022-10-01,980550.0
2022-11-01,1232296.0
2022-12-01,1247137.0
2023-01-01,1175498.0
2023-02-01,1250879.0
2023-03-01,1382499.0
2023-04-01,1577800.0
2023-05-01,1812513.0
2023-06-01,1259556.0
2023-07-01,1123249.0
2023-08-01,864293.0
2023-09-01,732187.0
2023-10-01,846398.0
2023-11-01,890795.0
2023-12-01,885298.0
2024-01-01,1025711.0
2024-02-01,1020488.0
2024-03-01,1021264.0
2024-04-01,1143363.0
2024-05-01,1112078.0
2024-06-01,891505.0
2024-07-01,873331.0
2024-08-01,721686.0
2024-09-01,666568.0
2024-10-01,686314.0
2024-11-01,903673.0
2024-12-01,942649.0
2025-01-01,1308524.0
2025-02-01,1296121.0
2025-03-01,1244748.0
2025-04-01,1527714.0
2025-05-01,1377971.0
2025-06-01,1209919.0
2025-07-01,1007024.0
2025-08-01,641409.0
