Tarih,TP_ITHISICREV4_J
2016-10-01,20845.487
2016-11-01,22572.333
2016-12-01,21032.473
2017-01-01,14583.296
2017-02-01,14581.707
2017-03-01,16661.92
2017-04-01,16446.599
2017-05-01,19993.158
2017-06-01,18057.055
2017-07-01,24168.477
2017-08-01,29392.321
2017-09-01,25402.171
2017-10-01,22215.696
2017-11-01,19965.29
2017-12-01,21179.642
2018-01-01,16452.595
2018-02-01,15700.829
2018-03-01,16897.578
2018-04-01,19010.3
2018-05-01,18920.05
2018-06-01,34840.466
2018-07-01,21340.576
2018-08-01,15969.571
2018-09-01,14127.682
2018-10-01,17826.661
2018-11-01,17178.253
2018-12-01,12185.586
2019-01-01,9431.701
2019-02-01,8684.29
2019-03-01,10216.397
2019-04-01,9527.998
2019-05-01,13909.295
2019-06-01,11760.275
2019-07-01,17910.527
2019-08-01,19400.26
2019-09-01,15453.324
2019-10-01,12223.653
2019-11-01,12559.423
2019-12-01,11983.4
2020-01-01,21812.462
2020-02-01,10442.277
2020-03-01,10046.949
2020-04-01,6996.489
2020-05-01,9220.726
2020-06-01,10620.122
2020-07-01,15503.037
2020-08-01,13508.364
2020-09-01,11946.424
2020-10-01,14404.486
2020-11-01,12629.189
2020-12-01,15245.321
2021-01-01,10660.0
2021-02-01,14702.0
2021-03-01,11926.0
2021-04-01,11816.0
2021-05-01,15917.0
2021-06-01,21829.0
2021-07-01,21319.0
2021-08-01,17106.0
2021-09-01,18009.0
2021-10-01,12026.0
2021-11-01,13583.0
2021-12-01,14351.0
2022-01-01,10837.0
2022-02-01,17100.0
2022-03-01,12454.0
2022-04-01,10842.0
2022-05-01,12704.0
2022-06-01,15389.0
2022-07-01,16177.0
2022-08-01,16572.0
2022-09-01,16538.0
2022-10-01,12006.0
2022-11-01,12750.0
2022-12-01,15518.0
2023-01-01,17378.0
2023-02-01,16298.0
2023-03-01,15027.0
2023-04-01,13132.0
2023-05-01,14686.0
2023-06-01,13540.0
2023-07-01,19596.0
2023-08-01,14119.0
2023-09-01,15590.0
2023-10-01,13011.0
2023-11-01,12975.0
2023-12-01,11200.0
2024-01-01,12746.0
2024-02-01,13090.0
2024-03-01,26510.0
2024-04-01,15653.0
2024-05-01,16750.0
2024-06-01,15095.0
2024-07-01,18762.0
2024-08-01,23323.0
2024-09-01,14650.0
2024-10-01,15624.0
2024-11-01,15921.0
2024-12-01,17755.0
2025-01-01,11709.0
2025-02-01,17245.0
2025-03-01,19364.0
2025-04-01,14663.0
2025-05-01,28063.0
2025-06-01,20676.0
2025-07-01,22971.0
2025-08-01,17944.0
