Tarih,TP_ODEYDIEBS_A1
2016-04-01,2221.0
2016-05-01,2753.0
2016-06-01,1553.0
2016-07-01,691.0
2016-08-01,28.0
2016-09-01,83.0
2016-10-01,3159.0
2016-11-01,622.0
2016-12-01,3.0
2017-01-01,2105.0
2017-02-01,2217.0
2017-03-01,1359.0
2017-04-01,2006.0
2017-05-01,4690.0
2017-06-01,2766.0
2017-07-01,213.0
2017-08-01,405.0
2017-09-01,3358.0
2017-10-01,1908.0
2017-11-01,
2017-12-01,923.0
2018-01-01,3811.0
2018-02-01,931.0
2018-03-01,505.0
2018-04-01,3074.0
2018-05-01,703.0
2018-06-01,129.0
2018-07-01,63.0
2018-08-01,6.0
2018-09-01,26.0
2018-10-01,2038.0
2018-11-01,1743.0
2018-12-01,284.0
2019-01-01,4698.0
2019-02-01,2731.0
2019-03-01,4246.0
2019-04-01,2374.0
2019-05-01,17.0
2019-06-01,154.0
2019-07-01,2425.0
2019-08-01,112.0
2019-09-01,9.0
2019-10-01,
2019-11-01,3110.0
2019-12-01,247.0
2020-01-01,1201.0
2020-02-01,4889.0
2020-03-01,29.0
2020-04-01,70.0
2020-05-01,33.0
2020-06-01,22.0
2020-07-01,652.0
2020-08-01,360.0
2020-09-01,127.0
2020-10-01,3273.0
2020-11-01,
2020-12-01,3729.0
2021-01-01,4519.0
2021-02-01,700.0
2021-03-01,322.0
2021-04-01,571.0
2021-05-01,990.0
2021-06-01,4696.0
2021-07-01,2389.0
2021-08-01,875.0
2021-09-01,2855.0
2021-10-01,136.0
2021-11-01,211.0
2021-12-01,174.0
2022-01-01,604.0
2022-02-01,3103.0
2022-03-01,2151.0
2022-04-01,406.0
2022-05-01,55.0
2022-06-01,98.0
2022-07-01,59.0
2022-08-01,80.0
2022-09-01,311.0
2022-10-01,2747.0
2022-11-01,1770.0
2022-12-01,2362.0
2023-01-01,3600.0
2023-02-01,1331.0
2023-03-01,2606.0
2023-04-01,2794.0
2023-05-01,323.0
2023-06-01,204.0
2023-07-01,623.0
2023-08-01,394.0
2023-09-01,2654.0
2023-10-01,1133.0
2023-11-01,5531.0
2023-12-01,2081.0
2024-01-01,2950.0
2024-02-01,6829.0
2024-03-01,5547.0
2024-04-01,3103.0
2024-05-01,3236.0
2024-06-01,2071.0
2024-07-01,5271.0
2024-08-01,2616.0
2024-09-01,4033.0
2024-10-01,7464.0
2024-11-01,4719.0
2024-12-01,3260.0
2025-01-01,4051.0
2025-02-01,5608.0
2025-03-01,4922.0
2025-04-01,2495.0
2025-05-01,6788.0
2025-06-01,5040.0
2025-07-01,8648.0
2025-08-01,2930.0
