Tarih,TP_ODEYDIEBS_A2
2016-12-01,218.0
2017-01-01,263.0
2017-02-01,2273.0
2017-03-01,22.0
2017-04-01,600.0
2017-05-01,73.0
2017-06-01,47.0
2017-07-01,3037.0
2017-08-01,51.0
2017-09-01,630.0
2017-10-01,507.0
2017-11-01,938.0
2017-12-01,84.0
2018-01-01,72.0
2018-02-01,420.0
2018-03-01,2252.0
2018-04-01,4344.0
2018-05-01,333.0
2018-06-01,434.0
2018-07-01,168.0
2018-08-01,526.0
2018-09-01,47.0
2018-10-01,1396.0
2018-11-01,161.0
2018-12-01,586.0
2019-01-01,109.0
2019-02-01,125.0
2019-03-01,2074.0
2019-04-01,3716.0
2019-05-01,54.0
2019-06-01,2701.0
2019-07-01,1576.0
2019-08-01,21.0
2019-09-01,20.0
2019-10-01,1691.0
2019-11-01,1513.0
2019-12-01,14.0
2020-01-01,961.0
2020-02-01,1471.0
2020-03-01,87.0
2020-04-01,1850.0
2020-05-01,2728.0
2020-06-01,2091.0
2020-07-01,71.0
2020-08-01,89.0
2020-09-01,35.0
2020-10-01,73.0
2020-11-01,
2020-12-01,751.0
2021-01-01,162.0
2021-02-01,1138.0
2021-03-01,4200.0
2021-04-01,1253.0
2021-05-01,912.0
2021-06-01,1786.0
2021-07-01,920.0
2021-08-01,124.0
2021-09-01,986.0
2021-10-01,1376.0
2021-11-01,2108.0
2021-12-01,103.0
2022-01-01,463.0
2022-02-01,2709.0
2022-03-01,2691.0
2022-04-01,730.0
2022-05-01,1907.0
2022-06-01,161.0
2022-07-01,72.0
2022-08-01,50.0
2022-09-01,3893.0
2022-10-01,1676.0
2022-11-01,1129.0
2022-12-01,1129.0
2023-01-01,2014.0
2023-02-01,173.0
2023-03-01,3406.0
2023-04-01,3625.0
2023-05-01,372.0
2023-06-01,130.0
2023-07-01,271.0
2023-08-01,363.0
2023-09-01,825.0
2023-10-01,785.0
2023-11-01,975.0
2023-12-01,3118.0
2024-01-01,1554.0
2024-02-01,670.0
2024-03-01,3712.0
2024-04-01,1828.0
2024-05-01,2514.0
2024-06-01,1928.0
2024-07-01,1397.0
2024-08-01,3353.0
2024-09-01,2679.0
2024-10-01,2377.0
2024-11-01,4105.0
2024-12-01,1321.0
2025-01-01,2775.0
2025-02-01,4843.0
2025-03-01,5662.0
2025-04-01,1916.0
2025-05-01,2111.0
2025-06-01,4103.0
2025-07-01,1585.0
2025-08-01,1135.0
