Tarih,TP_ODEYDIEBS_A113
2016-08-01,13.0
2016-09-01,66.0
2016-10-01,1644.0
2016-11-01,120.0
2016-12-01,3.0
2017-01-01,53.0
2017-02-01,913.0
2017-03-01,1320.0
2017-04-01,750.0
2017-05-01,2798.0
2017-06-01,1593.0
2017-07-01,184.0
2017-08-01,389.0
2017-09-01,1037.0
2017-10-01,1151.0
2017-11-01,
2017-12-01,389.0
2018-01-01,1300.0
2018-02-01,855.0
2018-03-01,500.0
2018-04-01,81.0
2018-05-01,591.0
2018-06-01,100.0
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,218.0
2019-01-01,1251.0
2019-02-01,213.0
2019-03-01,1783.0
2019-04-01,2352.0
2019-05-01,
2019-06-01,150.0
2019-07-01,150.0
2019-08-01,50.0
2019-09-01,
2019-10-01,
2019-11-01,4.0
2019-12-01,247.0
2020-01-01,1200.0
2020-02-01,797.0
2020-03-01,
2020-04-01,
2020-05-01,8.0
2020-06-01,12.0
2020-07-01,500.0
2020-08-01,250.0
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,750.0
2021-01-01,850.0
2021-02-01,613.0
2021-03-01,200.0
2021-04-01,
2021-05-01,149.0
2021-06-01,1300.0
2021-07-01,
2021-08-01,
2021-09-01,525.0
2021-10-01,
2021-11-01,128.0
2021-12-01,73.0
2022-01-01,11.0
2022-02-01,27.0
2022-03-01,26.0
2022-04-01,50.0
2022-05-01,25.0
2022-06-01,43.0
2022-07-01,27.0
2022-08-01,41.0
2022-09-01,226.0
2022-10-01,92.0
2022-11-01,54.0
2022-12-01,126.0
2023-01-01,568.0
2023-02-01,1090.0
2023-03-01,176.0
2023-04-01,114.0
2023-05-01,126.0
2023-06-01,89.0
2023-07-01,428.0
2023-08-01,115.0
2023-09-01,1977.0
2023-10-01,908.0
2023-11-01,1056.0
2023-12-01,443.0
2024-01-01,1994.0
2024-02-01,1966.0
2024-03-01,1953.0
2024-04-01,1874.0
2024-05-01,1400.0
2024-06-01,1505.0
2024-07-01,986.0
2024-08-01,815.0
2024-09-01,1888.0
2024-10-01,1831.0
2024-11-01,859.0
2024-12-01,1721.0
2025-01-01,1523.0
2025-02-01,1999.0
2025-03-01,3784.0
2025-04-01,1598.0
2025-05-01,3163.0
2025-06-01,4259.0
2025-07-01,4037.0
2025-08-01,2589.0
