Tarih,TP_KFE_TRA
2016-04-01,10.76
2016-05-01,10.59
2016-06-01,10.62
2016-07-01,10.73
2016-08-01,10.63
2016-09-01,10.83
2016-10-01,10.74
2016-11-01,10.59
2016-12-01,10.99
2017-01-01,11.08
2017-02-01,11.3
2017-03-01,11.61
2017-04-01,11.62
2017-05-01,11.84
2017-06-01,11.77
2017-07-01,11.63
2017-08-01,11.61
2017-09-01,11.69
2017-10-01,11.68
2017-11-01,12.05
2017-12-01,12.25
2018-01-01,12.04
2018-02-01,11.85
2018-03-01,11.97
2018-04-01,12.26
2018-05-01,12.57
2018-06-01,12.62
2018-07-01,12.75
2018-08-01,13.28
2018-09-01,12.44
2018-10-01,12.57
2018-11-01,12.7
2018-12-01,12.14
2019-01-01,12.91
2019-02-01,12.78
2019-03-01,13.21
2019-04-01,13.26
2019-05-01,13.48
2019-06-01,13.45
2019-07-01,13.39
2019-08-01,13.88
2019-09-01,14.0
2019-10-01,13.99
2019-11-01,14.02
2019-12-01,14.15
2020-01-01,14.84
2020-02-01,14.97
2020-03-01,15.07
2020-04-01,15.55
2020-05-01,15.19
2020-06-01,16.18
2020-07-01,16.49
2020-08-01,16.79
2020-09-01,16.96
2020-10-01,17.66
2020-11-01,18.54
2020-12-01,18.74
2021-01-01,18.82
2021-02-01,18.67
2021-03-01,19.84
2021-04-01,20.45
2021-05-01,21.49
2021-06-01,20.72
2021-07-01,21.32
2021-08-01,21.45
2021-09-01,22.89
2021-10-01,23.98
2021-11-01,24.86
2021-12-01,27.29
2022-01-01,29.42
2022-02-01,32.37
2022-03-01,34.77
2022-04-01,38.13
2022-05-01,42.25
2022-06-01,46.51
2022-07-01,49.91
2022-08-01,53.27
2022-09-01,55.04
2022-10-01,57.85
2022-11-01,60.07
2022-12-01,63.56
2023-01-01,69.5
2023-02-01,71.68
2023-03-01,79.29
2023-04-01,83.87
2023-05-01,87.18
2023-06-01,91.53
2023-07-01,99.01
2023-08-01,108.63
2023-09-01,120.68
2023-10-01,127.58
2023-11-01,129.07
2023-12-01,131.97
2024-01-01,137.59
2024-02-01,139.86
2024-03-01,151.97
2024-04-01,151.33
2024-05-01,158.86
2024-06-01,154.69
2024-07-01,163.53
2024-08-01,166.43
2024-09-01,175.22
2024-10-01,178.76
2024-11-01,181.8
2024-12-01,190.23
2025-01-01,200.52
2025-02-01,205.6
2025-03-01,207.73
2025-04-01,207.86
2025-05-01,221.19
2025-06-01,223.55
2025-07-01,227.17
2025-08-01,235.47
2025-09-01,237.92
