Tarih,TP_KFE_TRB
2016-04-01,8.83
2016-05-01,9.11
2016-06-01,8.98
2016-07-01,8.95
2016-08-01,8.98
2016-09-01,9.13
2016-10-01,9.35
2016-11-01,9.3
2016-12-01,9.51
2017-01-01,9.64
2017-02-01,9.75
2017-03-01,9.92
2017-04-01,10.03
2017-05-01,10.16
2017-06-01,10.18
2017-07-01,10.31
2017-08-01,10.19
2017-09-01,10.49
2017-10-01,10.51
2017-11-01,10.86
2017-12-01,10.77
2018-01-01,11.29
2018-02-01,11.48
2018-03-01,11.28
2018-04-01,11.58
2018-05-01,11.97
2018-06-01,12.02
2018-07-01,11.96
2018-08-01,11.68
2018-09-01,11.94
2018-10-01,12.4
2018-11-01,12.35
2018-12-01,12.42
2019-01-01,12.52
2019-02-01,12.64
2019-03-01,13.04
2019-04-01,12.93
2019-05-01,12.83
2019-06-01,12.83
2019-07-01,13.37
2019-08-01,13.82
2019-09-01,13.99
2019-10-01,13.93
2019-11-01,14.28
2019-12-01,14.5
2020-01-01,14.9
2020-02-01,15.47
2020-03-01,15.75
2020-04-01,15.71
2020-05-01,16.09
2020-06-01,17.07
2020-07-01,17.76
2020-08-01,17.78
2020-09-01,18.07
2020-10-01,18.06
2020-11-01,18.78
2020-12-01,19.13
2021-01-01,19.76
2021-02-01,20.36
2021-03-01,20.73
2021-04-01,20.87
2021-05-01,21.29
2021-06-01,21.69
2021-07-01,22.27
2021-08-01,23.2
2021-09-01,23.72
2021-10-01,24.58
2021-11-01,25.6
2021-12-01,28.43
2022-01-01,31.44
2022-02-01,33.56
2022-03-01,35.77
2022-04-01,39.02
2022-05-01,43.68
2022-06-01,47.68
2022-07-01,52.06
2022-08-01,55.5
2022-09-01,58.75
2022-10-01,59.83
2022-11-01,62.23
2022-12-01,64.82
2023-01-01,71.78
2023-02-01,76.87
2023-03-01,81.81
2023-04-01,84.31
2023-05-01,87.46
2023-06-01,95.08
2023-07-01,97.44
2023-08-01,107.94
2023-09-01,119.09
2023-10-01,125.68
2023-11-01,128.08
2023-12-01,124.46
2024-01-01,136.88
2024-02-01,147.38
2024-03-01,143.66
2024-04-01,148.18
2024-05-01,157.74
2024-06-01,154.25
2024-07-01,161.74
2024-08-01,173.55
2024-09-01,172.19
2024-10-01,174.59
2024-11-01,179.81
2024-12-01,187.49
2025-01-01,195.82
2025-02-01,208.43
2025-03-01,210.22
2025-04-01,203.77
2025-05-01,214.5
2025-06-01,224.2
2025-07-01,221.24
2025-08-01,225.56
2025-09-01,230.7
