Tarih,TP_TRY_MT02_K
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,80.0
2001-01-01,75.0
2001-02-01,85.0
2001-03-01,90.0
2001-04-01,105.0
2001-05-01,95.0
2001-06-01,85.0
2001-07-01,80.0
2001-08-01,75.0
2001-09-01,75.0
2001-10-01,70.0
2001-11-01,70.0
2001-12-01,65.0
2002-01-01,65.0
2002-02-01,60.0
2002-03-01,60.0
2002-04-01,55.0
2002-05-01,50.0
2002-06-01,55.0
2002-07-01,55.0
2002-08-01,55.0
2002-09-01,50.0
2002-10-01,47.0
2002-11-01,45.0
2002-12-01,50.0
2003-01-01,55.0
2003-02-01,55.0
2003-03-01,50.0
2003-04-01,45.0
2003-05-01,41.0
2003-06-01,45.0
2003-07-01,40.0
2003-08-01,40.0
2003-09-01,35.0
2003-10-01,30.0
2003-11-01,30.0
2003-12-01,30.0
2004-01-01,27.5
2004-02-01,26.0
2004-03-01,24.0
2004-04-01,24.0
2004-05-01,24.0
2004-06-01,24.0
2004-07-01,24.0
2004-08-01,24.0
2004-09-01,24.0
2004-10-01,24.0
2004-11-01,24.0
2004-12-01,22.0
2005-01-01,23.0
2005-02-01,20.5
2005-03-01,20.0
2005-04-01,19.75
2005-05-01,19.0
2005-06-01,19.5
2005-07-01,19.5
2005-08-01,19.0
2005-09-01,18.75
2005-10-01,19.0
2005-11-01,18.25
2005-12-01,19.0
2006-01-01,18.5
2006-02-01,18.0
2006-03-01,17.25
2006-04-01,18.5
2006-05-01,18.0
2006-06-01,21.6
2006-07-01,21.7
2006-08-01,21.25
2006-09-01,21.25
2006-10-01,21.5
2006-11-01,21.5
2006-12-01,21.8
2007-01-01,21.5
2007-02-01,20.5
2007-03-01,20.05
2007-04-01,19.8
2007-05-01,20.0
2007-06-01,19.6
2007-07-01,19.6
2007-08-01,19.8
2007-09-01,19.3
2007-10-01,18.9
2007-11-01,18.25
2007-12-01,19.5
2008-01-01,18.4
2008-02-01,17.85
2008-03-01,18.3
2008-04-01,18.1
2008-05-01,19.6
2008-06-01,21.15
2008-07-01,21.1
2008-08-01,20.6
2008-09-01,20.6
2008-10-01,22.95
2008-11-01,23.9
2008-12-01,23.3
2009-01-01,19.75
2009-02-01,15.0
2009-03-01,15.0
2009-04-01,15.0
2009-05-01,15.0
2009-06-01,15.0
2009-07-01,15.0
2009-08-01,15.0
2009-09-01,15.0
2009-10-01,10.25
2009-11-01,9.95
2009-12-01,11.0
2010-01-01,10.7
2010-02-01,9.99
2010-03-01,10.1
2010-04-01,9.95
2010-05-01,10.65
2010-06-01,10.75
2010-07-01,10.3
2010-08-01,9.95
2010-09-01,9.6
2010-10-01,9.75
2010-11-01,9.75
2010-12-01,9.9
2011-01-01,9.25
2011-02-01,9.25
2011-03-01,9.35
2011-04-01,10.1
2011-05-01,10.75
2011-06-01,17.15
2011-07-01,11.5
2011-08-01,16.87
2011-09-01,16.21
2011-10-01,15.96
2011-11-01,18.0
2011-12-01,12.95
2012-01-01,20.0
2012-02-01,18.55
2012-03-01,18.06
2012-04-01,19.06
2012-05-01,19.18
2012-06-01,18.56
2012-07-01,16.87
2012-08-01,11.86
2012-09-01,14.94
2012-10-01,15.36
2012-11-01,15.18
2012-12-01,10.5
2013-01-01,10.25
2013-02-01,14.96
2013-03-01,14.76
2013-04-01,14.9
2013-05-01,13.74
2013-06-01,15.91
2013-07-01,16.41
2013-08-01,9.9
2013-09-01,16.87
