Tarih,TP_TEVDSUV_A
2015-07-01,8143.0
2015-08-01,5014.0
2015-09-01,7467.0
2015-10-01,6945.0
2015-11-01,5750.0
2015-12-01,4884.0
2016-01-01,2770.0
2016-02-01,4463.0
2016-03-01,7031.0
2016-04-01,4703.0
2016-05-01,8504.0
2016-06-01,9444.0
2016-07-01,5584.0
2016-08-01,5148.0
2016-09-01,6575.0
2016-10-01,5863.0
2016-11-01,5344.0
2016-12-01,5344.0
2017-01-01,2739.0
2017-02-01,2600.0
2017-03-01,4741.0
2017-04-01,5044.0
2017-05-01,7772.0
2017-06-01,4836.0
2017-07-01,4290.0
2017-08-01,3181.0
2017-09-01,6834.0
2017-10-01,8072.0
2017-11-01,6002.0
2017-12-01,7562.0
2018-01-01,2730.0
2018-02-01,4954.0
2018-03-01,5103.0
2018-04-01,6287.0
2018-05-01,8684.0
2018-06-01,4707.0
2018-07-01,4764.0
2018-08-01,3115.0
2018-09-01,1846.0
2018-10-01,5278.0
2018-11-01,2947.0
2018-12-01,5373.0
2019-01-01,1299.0
2019-02-01,2483.0
2019-03-01,4099.0
2019-04-01,4336.0
2019-05-01,7147.0
2019-06-01,2128.0
2019-07-01,3045.0
2019-08-01,1849.0
2019-09-01,5372.0
2019-10-01,2878.0
2019-11-01,5183.0
2019-12-01,4550.0
2020-01-01,1892.0
2020-02-01,1690.0
2020-03-01,3512.0
2020-04-01,4051.0
2020-05-01,4975.0
2020-06-01,2502.0
2020-07-01,2371.0
2020-08-01,1630.0
2020-09-01,2525.0
2020-10-01,2864.0
2020-11-01,4822.0
2020-12-01,5373.0
2021-01-01,2200.0
2021-02-01,2487.0
2021-03-01,6065.0
2021-04-01,3747.0
2021-05-01,10093.0
2021-06-01,5284.0
2021-07-01,2579.0
2021-08-01,3425.0
2021-09-01,2661.0
2021-10-01,1757.0
2021-11-01,5709.0
2021-12-01,7281.0
2022-01-01,1993.0
2022-02-01,1196.0
2022-03-01,3643.0
2022-04-01,4068.0
2022-05-01,2512.0
2022-06-01,5902.0
2022-07-01,4841.0
2022-08-01,3937.0
2022-09-01,2728.0
2022-10-01,2275.0
2022-11-01,4537.0
2022-12-01,5148.0
2023-01-01,2176.0
2023-02-01,2989.0
2023-03-01,4088.0
2023-04-01,3829.0
2023-05-01,3676.0
2023-06-01,5100.0
2023-07-01,4162.0
2023-08-01,2841.0
2023-09-01,3622.0
2023-10-01,2138.0
2023-11-01,7400.0
2023-12-01,6246.0
2024-01-01,2318.0
2024-02-01,2231.0
2024-03-01,3391.0
2024-04-01,4905.0
2024-05-01,4376.0
2024-06-01,9458.0
2024-07-01,3745.0
2024-08-01,3374.0
2024-09-01,4386.0
2024-10-01,2262.0
2024-11-01,7241.0
2024-12-01,11291.0
2025-01-01,4965.0
2025-02-01,5089.0
2025-03-01,8129.0
2025-04-01,6976.0
2025-05-01,9625.0
2025-06-01,13231.0
2025-07-01,6325.0
2025-08-01,5473.0
