Tarih,TP_TEVDSUV_A42
2015-06-01,3263.0
2015-07-01,3874.0
2015-08-01,1710.0
2015-09-01,2093.0
2015-10-01,2396.0
2015-11-01,2498.0
2015-12-01,2663.0
2016-01-01,1355.0
2016-02-01,2276.0
2016-03-01,3204.0
2016-04-01,2237.0
2016-05-01,2077.0
2016-06-01,4917.0
2016-07-01,1682.0
2016-08-01,2007.0
2016-09-01,2043.0
2016-10-01,1866.0
2016-11-01,1692.0
2016-12-01,2539.0
2017-01-01,1270.0
2017-02-01,1274.0
2017-03-01,1406.0
2017-04-01,1692.0
2017-05-01,1701.0
2017-06-01,2023.0
2017-07-01,1404.0
2017-08-01,1566.0
2017-09-01,1301.0
2017-10-01,2550.0
2017-11-01,1743.0
2017-12-01,2677.0
2018-01-01,1219.0
2018-02-01,2540.0
2018-03-01,2507.0
2018-04-01,1775.0
2018-05-01,2526.0
2018-06-01,2984.0
2018-07-01,1869.0
2018-08-01,1685.0
2018-09-01,1200.0
2018-10-01,1234.0
2018-11-01,1610.0
2018-12-01,2180.0
2019-01-01,729.0
2019-02-01,661.0
2019-03-01,2614.0
2019-04-01,1100.0
2019-05-01,1722.0
2019-06-01,783.0
2019-07-01,1752.0
2019-08-01,930.0
2019-09-01,4494.0
2019-10-01,910.0
2019-11-01,1365.0
2019-12-01,1290.0
2020-01-01,1108.0
2020-02-01,643.0
2020-03-01,1756.0
2020-04-01,1480.0
2020-05-01,1042.0
2020-06-01,828.0
2020-07-01,969.0
2020-08-01,642.0
2020-09-01,873.0
2020-10-01,1454.0
2020-11-01,1077.0
2020-12-01,1760.0
2021-01-01,1281.0
2021-02-01,925.0
2021-03-01,3340.0
2021-04-01,858.0
2021-05-01,7974.0
2021-06-01,881.0
2021-07-01,789.0
2021-08-01,2149.0
2021-09-01,1358.0
2021-10-01,487.0
2021-11-01,1255.0
2021-12-01,3349.0
2022-01-01,1058.0
2022-02-01,846.0
2022-03-01,1776.0
2022-04-01,1062.0
2022-05-01,958.0
2022-06-01,1693.0
2022-07-01,4108.0
2022-08-01,2994.0
2022-09-01,1276.0
2022-10-01,875.0
2022-11-01,1148.0
2022-12-01,1526.0
2023-01-01,1267.0
2023-02-01,1015.0
2023-03-01,1945.0
2023-04-01,788.0
2023-05-01,1209.0
2023-06-01,1043.0
2023-07-01,2811.0
2023-08-01,1503.0
2023-09-01,1025.0
2023-10-01,704.0
2023-11-01,1393.0
2023-12-01,1822.0
2024-01-01,683.0
2024-02-01,1112.0
2024-03-01,1004.0
2024-04-01,951.0
2024-05-01,1303.0
2024-06-01,1000.0
2024-07-01,1469.0
2024-08-01,1658.0
2024-09-01,1851.0
2024-10-01,934.0
2024-11-01,1504.0
2024-12-01,2824.0
2025-01-01,1178.0
2025-02-01,1643.0
2025-03-01,2826.0
2025-04-01,3965.0
2025-05-01,2140.0
2025-06-01,2484.0
2025-07-01,2095.0
2025-08-01,2297.0
