Tarih,TP_TEVDSUV_A2
2015-12-01,163.0
2016-01-01,28.0
2016-02-01,131.0
2016-03-01,113.0
2016-04-01,66.0
2016-05-01,182.0
2016-06-01,93.0
2016-07-01,254.0
2016-08-01,114.0
2016-09-01,93.0
2016-10-01,158.0
2016-11-01,173.0
2016-12-01,267.0
2017-01-01,340.0
2017-02-01,216.0
2017-03-01,51.0
2017-04-01,84.0
2017-05-01,97.0
2017-06-01,180.0
2017-07-01,92.0
2017-08-01,48.0
2017-09-01,298.0
2017-10-01,98.0
2017-11-01,504.0
2017-12-01,355.0
2018-01-01,71.0
2018-02-01,220.0
2018-03-01,200.0
2018-04-01,47.0
2018-05-01,175.0
2018-06-01,146.0
2018-07-01,212.0
2018-08-01,99.0
2018-09-01,7.0
2018-10-01,59.0
2018-11-01,125.0
2018-12-01,258.0
2019-01-01,71.0
2019-02-01,143.0
2019-03-01,98.0
2019-04-01,66.0
2019-05-01,59.0
2019-06-01,78.0
2019-07-01,22.0
2019-08-01,150.0
2019-09-01,22.0
2019-10-01,88.0
2019-11-01,225.0
2019-12-01,300.0
2020-01-01,79.0
2020-02-01,118.0
2020-03-01,53.0
2020-04-01,60.0
2020-05-01,67.0
2020-06-01,41.0
2020-07-01,108.0
2020-08-01,78.0
2020-09-01,133.0
2020-10-01,63.0
2020-11-01,231.0
2020-12-01,316.0
2021-01-01,35.0
2021-02-01,61.0
2021-03-01,47.0
2021-04-01,53.0
2021-05-01,208.0
2021-06-01,289.0
2021-07-01,294.0
2021-08-01,143.0
2021-09-01,56.0
2021-10-01,15.0
2021-11-01,73.0
2021-12-01,348.0
2022-01-01,67.0
2022-02-01,
2022-03-01,889.0
2022-04-01,132.0
2022-05-01,109.0
2022-06-01,119.0
2022-07-01,136.0
2022-08-01,247.0
2022-09-01,91.0
2022-10-01,184.0
2022-11-01,77.0
2022-12-01,968.0
2023-01-01,63.0
2023-02-01,40.0
2023-03-01,167.0
2023-04-01,79.0
2023-05-01,138.0
2023-06-01,131.0
2023-07-01,92.0
2023-08-01,119.0
2023-09-01,330.0
2023-10-01,157.0
2023-11-01,287.0
2023-12-01,984.0
2024-01-01,126.0
2024-02-01,61.0
2024-03-01,208.0
2024-04-01,156.0
2024-05-01,171.0
2024-06-01,387.0
2024-07-01,105.0
2024-08-01,105.0
2024-09-01,306.0
2024-10-01,142.0
2024-11-01,371.0
2024-12-01,482.0
2025-01-01,279.0
2025-02-01,107.0
2025-03-01,150.0
2025-04-01,77.0
2025-05-01,225.0
2025-06-01,140.0
2025-07-01,724.0
2025-08-01,209.0
