Tarih,TP_OSKVBG11
2015-01-01,2744706312.0
2015-02-01,2873802406.0
2015-03-01,2009268665.0
2015-04-01,2108379411.0
2015-05-01,2305508749.0
2015-06-01,1954963993.0
2015-07-01,2007515174.0
2015-08-01,2218818524.0
2015-09-01,1758409080.0
2015-10-01,2082785558.0
2015-11-01,2263608406.0
2015-12-01,1591890366.0
2016-01-01,2181352456.0
2016-02-01,2186188442.0
2016-03-01,2288582456.0
2016-04-01,2476777871.0
2016-05-01,2775092256.0
2016-06-01,2275182441.0
2016-07-01,2383586107.0
2016-08-01,2738885099.0
2016-09-01,2294458556.0
2016-10-01,2694445050.0
2016-11-01,2594706032.0
2016-12-01,1853306490.0
2017-01-01,2061912782.0
2017-02-01,2200180915.0
2017-03-01,2045565597.0
2017-04-01,2720500913.0
2017-05-01,2714383348.0
2017-06-01,2355798754.0
2017-07-01,3012844393.0
2017-08-01,2707298769.0
2017-09-01,2165169702.0
2017-10-01,2388848249.0
2017-11-01,2585130727.0
2017-12-01,2372610063.0
2018-01-01,2766128185.0
2018-02-01,3211621578.0
2018-03-01,2750622585.0
2018-04-01,3045709100.0
2018-05-01,2911570903.0
2018-06-01,2603708507.0
2018-07-01,2853673642.0
2018-08-01,2413038312.0
2018-09-01,2463431826.0
2018-10-01,2749169295.0
2018-11-01,2656350833.0
2018-12-01,2667799975.0
2019-01-01,2656231351.0
2019-02-01,2211103518.0
2019-03-01,2228500198.0
2019-04-01,2256599663.0
2019-05-01,2083639142.0
2019-06-01,2097739714.0
2019-07-01,1935724616.0
2019-08-01,1959616980.0
2019-09-01,1789941463.0
2019-10-01,1720721929.0
2019-11-01,1702340845.0
2019-12-01,771211150.0
2020-01-01,671943191.0
2020-02-01,657380370.0
2020-03-01,676766081.0
2020-04-01,683628103.0
2020-05-01,350572761.0
2020-06-01,426818207.0
2020-07-01,364256755.0
2020-08-01,357810807.0
2020-09-01,401270479.0
2020-10-01,355644000.0
2020-11-01,402013352.0
2020-12-01,457659865.0
2021-01-01,537536828.0
2021-02-01,471911114.0
2021-03-01,438534656.0
2021-04-01,487618706.0
2021-05-01,389756416.0
2021-06-01,404068645.0
2021-07-01,417464520.0
2021-08-01,266228302.0
2021-09-01,288875043.0
2021-10-01,230321378.0
2021-11-01,330385890.0
2021-12-01,344404369.0
2022-01-01,357267406.0
2022-02-01,411053347.0
2022-03-01,415250002.0
2022-04-01,477627006.0
2022-05-01,502310350.0
2022-06-01,548337842.0
2022-07-01,538310827.0
2022-08-01,467027733.0
2022-09-01,558659233.0
2022-10-01,698759908.0
2022-11-01,690440315.0
2022-12-01,725158515.0
2023-01-01,694397963.0
2023-02-01,798360733.0
2023-03-01,879713894.0
2023-04-01,1036836493.0
2023-05-01,1125184859.0
2023-06-01,1170871103.0
2023-07-01,1272293795.0
2023-08-01,1295613158.0
2023-09-01,1328533997.0
2023-10-01,1251992378.0
2023-11-01,1354857646.0
2023-12-01,1464948970.0
2024-01-01,1184212252.0
2024-02-01,1127427172.0
2024-03-01,758905991.0
2024-04-01,979184411.0
2024-05-01,957300017.0
2024-06-01,949990883.0
2024-07-01,872205646.0
2024-08-01,686112609.0
2024-09-01,779348921.0
2024-10-01,933756250.0
2024-11-01,939447731.0
2024-12-01,730759495.0
2025-01-01,1144656245.0
2025-02-01,1126641769.0
2025-03-01,1116914742.0
2025-04-01,991508630.0
2025-05-01,1382401708.0
2025-06-01,1282158660.0
2025-07-01,1440892631.0
2025-08-01,1411539991.0
