Tarih,TP_OSKVBG02
2014-12-01,41631712780.0
2015-01-01,41661532978.0
2015-02-01,38956807069.0
2015-03-01,37126377795.0
2015-04-01,34407490190.0
2015-05-01,30659866470.0
2015-06-01,30815399586.0
2015-07-01,29990548126.0
2015-08-01,27961825803.0
2015-09-01,23992308162.0
2015-10-01,21825414248.0
2015-11-01,18861119451.0
2015-12-01,18406807963.0
2016-01-01,17720932103.0
2016-02-01,16834809977.0
2016-03-01,15823763824.0
2016-04-01,16142764789.0
2016-05-01,16041878731.0
2016-06-01,16341168616.0
2016-07-01,15598726808.0
2016-08-01,14734340695.0
2016-09-01,13941189665.0
2016-10-01,13538283114.0
2016-11-01,13228690479.0
2016-12-01,11967642265.0
2017-01-01,12432123626.0
2017-02-01,12552499052.0
2017-03-01,12520743321.0
2017-04-01,12230312963.0
2017-05-01,12159897398.0
2017-06-01,13323109635.0
2017-07-01,13226903968.0
2017-08-01,13738867987.0
2017-09-01,13839882815.0
2017-10-01,14885707893.0
2017-11-01,15267345896.0
2017-12-01,15377296902.0
2018-01-01,16034650983.0
2018-02-01,15777820236.0
2018-03-01,15051686887.0
2018-04-01,16061049389.0
2018-05-01,15525610840.0
2018-06-01,14989140742.0
2018-07-01,14647003053.0
2018-08-01,13304369712.0
2018-09-01,12667136753.0
2018-10-01,11647671844.0
2018-11-01,11123159492.0
2018-12-01,10966693252.0
2019-01-01,9411656137.0
2019-02-01,9109229163.0
2019-03-01,8003631724.0
2019-04-01,7853277560.0
2019-05-01,8329682601.0
2019-06-01,8644508780.0
2019-07-01,9280023304.0
2019-08-01,8032506426.0
2019-09-01,8263913717.0
2019-10-01,7817321319.0
2019-11-01,6797045400.0
2019-12-01,6473048486.0
2020-01-01,5691482837.0
2020-02-01,5298594936.0
2020-03-01,5436840222.0
2020-04-01,5692995537.0
2020-05-01,5458310371.0
2020-06-01,6263323473.0
2020-07-01,6557965676.0
2020-08-01,6327204199.0
2020-09-01,6638584653.0
2020-10-01,5762640213.0
2020-11-01,6100610187.0
2020-12-01,7221992816.0
2021-01-01,7131547299.0
2021-02-01,7211288619.0
2021-03-01,6545943389.0
2021-04-01,6939222713.0
2021-05-01,6785961182.0
2021-06-01,6681919967.0
2021-07-01,6531261326.0
2021-08-01,6024098481.0
2021-09-01,5492524204.0
2021-10-01,5461995665.0
2021-11-01,5406400125.0
2021-12-01,5152017611.0
2022-01-01,5075368611.0
2022-02-01,5247405367.0
2022-03-01,5536081477.0
2022-04-01,5196960537.0
2022-05-01,5784645215.0
2022-06-01,5227874656.0
2022-07-01,5082497874.0
2022-08-01,5077307974.0
2022-09-01,4870209968.0
2022-10-01,5290191560.0
2022-11-01,5528455688.0
2022-12-01,5984999033.0
2023-01-01,6082867094.0
2023-02-01,6067145281.0
2023-03-01,6200208035.0
2023-04-01,6337695916.0
2023-05-01,6532916073.0
2023-06-01,6428791438.0
2023-07-01,6502505934.0
2023-08-01,6227456728.0
2023-09-01,5910726201.0
2023-10-01,6092263870.0
2023-11-01,6224586649.0
2023-12-01,6186196237.0
2024-01-01,6439086644.0
2024-02-01,6878943703.0
2024-03-01,7607216908.0
2024-04-01,7776736783.0
2024-05-01,8422715267.0
2024-06-01,9334805442.0
2024-07-01,9442003175.0
2024-08-01,8968305207.0
2024-09-01,10070311803.0
2024-10-01,11577696247.0
2024-11-01,12286456729.0
2024-12-01,13082127924.0
2025-01-01,15301939954.0
2025-02-01,13751747021.0
2025-03-01,12971558557.0
2025-04-01,10092119720.0
2025-05-01,9891532070.0
2025-06-01,7454472849.0
2025-07-01,7739643278.0
2025-08-01,7171333156.0
