Tarih,TP_UNDNAKLIYE_TBG_SY_ADET
2016-05-01,8663.0
2016-06-01,10290.0
2016-07-01,9698.0
2016-08-01,18219.0
2016-09-01,12880.0
2016-10-01,18625.0
2016-11-01,14694.0
2016-12-01,13561.0
2017-01-01,14901.0
2017-02-01,13786.0
2017-03-01,12456.0
2017-04-01,11336.0
2017-05-01,12512.0
2017-06-01,10794.0
2017-07-01,11606.0
2017-08-01,14330.0
2017-09-01,10289.0
2017-10-01,11346.0
2017-11-01,15310.0
2017-12-01,15733.0
2018-01-01,9709.0
2018-02-01,7644.0
2018-03-01,8310.0
2018-04-01,8978.0
2018-05-01,11032.0
2018-06-01,8645.0
2018-07-01,10748.0
2018-08-01,8826.0
2018-09-01,9867.0
2018-10-01,11430.0
2018-11-01,11565.0
2018-12-01,10480.0
2019-01-01,9969.0
2019-02-01,10393.0
2019-03-01,9360.0
2019-04-01,9789.0
2019-05-01,10573.0
2019-06-01,8970.0
2019-07-01,13757.0
2019-08-01,11902.0
2019-09-01,14580.0
2019-10-01,15858.0
2019-11-01,13155.0
2019-12-01,9261.0
2020-01-01,7200.0
2020-02-01,5993.0
2020-03-01,10262.0
2020-04-01,9584.0
2020-05-01,8308.0
2020-06-01,9511.0
2020-07-01,9468.0
2020-08-01,9775.0
2020-09-01,12039.0
2020-10-01,12202.0
2020-11-01,10676.0
2020-12-01,12528.0
2021-01-01,11124.0
2021-02-01,11328.0
2021-03-01,11182.0
2021-04-01,11191.0
2021-05-01,14438.0
2021-06-01,15381.0
2021-07-01,11611.0
2021-08-01,17543.0
2021-09-01,19698.0
2021-10-01,17527.0
2021-11-01,15578.0
2021-12-01,16159.0
2022-01-01,13830.0
2022-02-01,14686.0
2022-03-01,16333.0
2022-04-01,13921.0
2022-05-01,14429.0
2022-06-01,15076.0
2022-07-01,10773.0
2022-08-01,13765.0
2022-09-01,15183.0
2022-10-01,14496.0
2022-11-01,15401.0
2022-12-01,15639.0
2023-01-01,12975.0
2023-02-01,10849.0
2023-03-01,15028.0
2023-04-01,12428.0
2023-05-01,14204.0
2023-06-01,14073.0
2023-07-01,13730.0
2023-08-01,17432.0
2023-09-01,15829.0
2023-10-01,16094.0
2023-11-01,16218.0
2023-12-01,14520.0
2024-01-01,11812.0
2024-02-01,13800.0
2024-03-01,15578.0
2024-04-01,13161.0
2024-05-01,16974.0
2024-06-01,13583.0
2024-07-01,16290.0
2024-08-01,18641.0
2024-09-01,19283.0
2024-10-01,17305.0
2024-11-01,14802.0
2024-12-01,19058.0
2025-01-01,21428.0
2025-02-01,21986.0
2025-03-01,22356.0
2025-04-01,21973.0
2025-05-01,25366.0
2025-06-01,
2025-07-01,25312.0
2025-08-01,25058.0
2025-09-01,25614.0
