Tarih,TP_PYASCOG_K10
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,10.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,7.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,14.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,24.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,13.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,42.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,46.0
2008-01-01,46.0
2008-04-01,57.0
2008-07-01,40.0
2008-10-01,38.0
2009-01-01,59.0
2009-04-01,84.0
2009-07-01,120.0
2009-10-01,116.0
2010-01-01,65.0
2010-04-01,105.0
2010-07-01,109.0
2010-10-01,108.0
2011-01-01,180.0
2011-04-01,116.0
2011-07-01,81.0
2011-10-01,79.0
2012-01-01,72.0
2012-04-01,70.0
2012-07-01,136.0
2012-10-01,152.0
2013-01-01,101.0
2013-04-01,184.0
2013-07-01,240.0
2013-10-01,234.0
2014-01-01,243.0
2014-04-01,223.0
2014-07-01,236.0
2014-10-01,273.0
2015-01-01,294.0
2015-04-01,302.0
2015-07-01,269.0
2015-10-01,344.0
2016-01-01,316.0
2016-04-01,297.0
2016-07-01,273.0
2016-10-01,265.0
2017-01-01,285.0
2017-04-01,301.0
2017-07-01,304.0
2017-10-01,350.0
2018-01-01,393.0
2018-04-01,440.0
2018-07-01,301.0
2018-10-01,220.0
2019-01-01,249.0
2019-04-01,298.0
2019-07-01,295.0
2019-10-01,347.0
2020-01-01,344.0
2020-04-01,400.0
2020-07-01,614.0
2020-10-01,817.0
2021-01-01,1160.0
2021-04-01,1213.0
2021-07-01,1124.0
2021-10-01,1185.0
2022-01-01,1153.0
2022-04-01,929.0
2022-07-01,867.0
2022-10-01,1001.0
2023-01-01,1250.0
2023-04-01,1425.0
2023-07-01,1247.0
2023-10-01,1442.0
2024-01-01,1823.0
2024-04-01,1953.0
2024-07-01,2112.0
2024-10-01,1929.0
2025-01-01,1981.0
2025-04-01,1953.0
