Tarih,TP_PYASCOG_K1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,273.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,629.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1199.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,436.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,468.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,2017.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,1701.0
2008-01-01,1714.0
2008-04-01,1705.0
2008-07-01,1712.0
2008-10-01,1622.0
2009-01-01,1737.0
2009-04-01,1321.0
2009-07-01,1271.0
2009-10-01,1361.0
2010-01-01,1325.0
2010-04-01,1427.0
2010-07-01,1644.0
2010-10-01,1638.0
2011-01-01,1696.0
2011-04-01,1434.0
2011-07-01,1752.0
2011-10-01,1265.0
2012-01-01,725.0
2012-04-01,761.0
2012-07-01,593.0
2012-10-01,633.0
2013-01-01,403.0
2013-04-01,345.0
2013-07-01,219.0
2013-10-01,237.0
2014-01-01,288.0
2014-04-01,325.0
2014-07-01,368.0
2014-10-01,316.0
2015-01-01,208.0
2015-04-01,208.0
2015-07-01,180.0
2015-10-01,285.0
2016-01-01,290.0
2016-04-01,141.0
2016-07-01,151.0
2016-10-01,138.0
2017-01-01,178.0
2017-04-01,126.0
2017-07-01,153.0
2017-10-01,107.0
2018-01-01,92.0
2018-04-01,66.0
2018-07-01,93.0
2018-10-01,95.0
2019-01-01,113.0
2019-04-01,126.0
2019-07-01,155.0
2019-10-01,236.0
2020-01-01,134.0
2020-04-01,260.0
2020-07-01,222.0
2020-10-01,185.0
2021-01-01,180.0
2021-04-01,185.0
2021-07-01,199.0
2021-10-01,135.0
2022-01-01,154.0
2022-04-01,183.0
2022-07-01,295.0
2022-10-01,384.0
2023-01-01,563.0
2023-04-01,323.0
2023-07-01,240.0
2023-10-01,321.0
2024-01-01,429.0
2024-04-01,548.0
2024-07-01,594.0
2024-10-01,792.0
2025-01-01,692.0
2025-04-01,691.0
