Tarih,TP_PYASCOG_K4
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,26.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,10.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,4.0
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,7.0
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,9.0
2008-01-01,11.0
2008-04-01,16.0
2008-07-01,20.0
2008-10-01,15.0
2009-01-01,18.0
2009-04-01,7.0
2009-07-01,9.0
2009-10-01,11.0
2010-01-01,10.0
2010-04-01,11.0
2010-07-01,15.0
2010-10-01,33.0
2011-01-01,39.0
2011-04-01,27.0
2011-07-01,20.0
2011-10-01,10.0
2012-01-01,11.0
2012-04-01,9.0
2012-07-01,10.0
2012-10-01,18.0
2013-01-01,36.0
2013-04-01,35.0
2013-07-01,48.0
2013-10-01,58.0
2014-01-01,322.0
2014-04-01,207.0
2014-07-01,223.0
2014-10-01,226.0
2015-01-01,233.0
2015-04-01,262.0
2015-07-01,236.0
2015-10-01,259.0
2016-01-01,98.0
2016-04-01,301.0
2016-07-01,376.0
2016-10-01,180.0
2017-01-01,177.0
2017-04-01,235.0
2017-07-01,313.0
2017-10-01,303.0
2018-01-01,46.0
2018-04-01,356.0
2018-07-01,155.0
2018-10-01,151.0
2019-01-01,199.0
2019-04-01,29.0
2019-07-01,52.0
2019-10-01,110.0
2020-01-01,115.0
2020-04-01,114.0
2020-07-01,118.0
2020-10-01,119.0
2021-01-01,116.0
2021-04-01,118.0
2021-07-01,123.0
2021-10-01,182.0
2022-01-01,132.0
2022-04-01,115.0
2022-07-01,108.0
2022-10-01,120.0
2023-01-01,164.0
2023-04-01,119.0
2023-07-01,215.0
2023-10-01,182.0
2024-01-01,175.0
2024-04-01,211.0
2024-07-01,167.0
2024-10-01,113.0
2025-01-01,159.0
2025-04-01,137.0
