Tarih,TP_KM_B07
2000-01-01,11117336.0
2000-02-01,11476450.0
2000-03-01,11643383.0
2000-04-01,12154111.0
2000-05-01,12679321.0
2000-06-01,13233199.0
2000-07-01,13952826.0
2000-08-01,14173272.0
2000-09-01,14670434.0
2000-10-01,15106575.0
2000-11-01,15537226.0
2000-12-01,15459400.0
2001-01-01,15816536.0
2001-02-01,17654025.0
2001-03-01,18634387.0
2001-04-01,18942797.0
2001-05-01,18382948.0
2001-06-01,20329000.0
2001-07-01,21156997.0
2001-08-01,21144924.0
2001-09-01,22719893.0
2001-10-01,23856983.0
2001-11-01,22319418.0
2001-12-01,22609348.0
2002-01-01,21033925.0
2002-02-01,21664137.0
2002-03-01,21261879.0
2002-04-01,20977741.0
2002-05-01,19007265.0
2002-06-01,18510772.0
2002-07-01,19141533.0
2002-08-01,18242480.0
2002-09-01,19339505.0
2002-10-01,19451524.0
2002-11-01,19163536.0
2002-12-01,15254307.0
2003-01-01,15040414.0
2003-02-01,14920582.0
2003-03-01,18015506.0
2003-04-01,17726265.0
2003-05-01,16815381.0
2003-06-01,17607332.0
2003-07-01,18230734.0
2003-08-01,18004019.0
2003-09-01,19407376.0
2003-10-01,21293306.0
2003-11-01,22263379.0
2003-12-01,23094451.0
2004-01-01,23424460.0
2004-02-01,24738354.0
2004-03-01,25914906.0
2004-04-01,28293806.0
2004-05-01,30282853.0
2004-06-01,33269685.0
2004-07-01,32766714.0
2004-08-01,34403216.0
2004-09-01,34780515.0
2004-10-01,35956102.0
2004-11-01,36436656.0
2004-12-01,35942497.0
2005-01-01,37195624.0
2005-02-01,39070124.0
2005-03-01,40197423.0
2005-04-01,41680421.0
2005-05-01,42955350.0
2005-06-01,44963487.0
2005-07-01,44483425.0
2005-08-01,46765602.0
2005-09-01,47211812.0
2005-10-01,49055141.0
2005-11-01,50838422.0
2005-12-01,52668930.0
2006-01-01,52977851.0
2006-02-01,56258131.0
2006-03-01,57869349.0
2006-04-01,58289507.0
2006-05-01,62044784.0
2006-06-01,64697528.0
2006-07-01,64756384.0
2006-08-01,65691132.0
2006-09-01,67655538.0
2006-10-01,67777128.0
2006-11-01,70052384.0
2006-12-01,71388020.0
2007-01-01,78218884.0
2007-02-01,80830971.0
2007-03-01,80611299.0
2007-04-01,82963708.0
2007-05-01,82312648.0
2007-06-01,83122662.0
2007-07-01,86615206.0
2007-08-01,87841844.0
2007-09-01,86746544.0
2007-10-01,89258437.0
2007-11-01,91159839.0
2007-12-01,92979628.0
2008-01-01,94169910.0
2008-02-01,98572427.0
2008-03-01,106016858.0
2008-04-01,108851367.0
2008-05-01,108173241.0
2008-06-01,113634551.0
2008-07-01,113453678.0
2008-08-01,113891355.0
2008-09-01,119297981.0
2008-10-01,121496155.0
2008-11-01,117638167.0
2008-12-01,115493061.0
2009-01-01,112968519.0
2009-02-01,112780713.0
2009-03-01,112012672.0
2009-04-01,110171775.0
2009-05-01,111286927.0
2009-06-01,113995177.0
2009-07-01,113362625.0
2009-08-01,115912929.0
2009-09-01,121899854.0
2009-10-01,121955853.0
2009-11-01,125871547.0
2009-12-01,130631897.0
2010-01-01,132791685.0
2010-02-01,140429268.0
2010-03-01,148201833.0
2010-04-01,152003049.0
2010-05-01,161455133.0
2010-06-01,174067065.0
2010-07-01,173856960.0
2010-08-01,177000293.0
2010-09-01,183563320.0
2010-10-01,185322703.0
2010-11-01,193512755.0
2010-12-01,207466295.0
2011-01-01,214468010.0
2011-02-01,224219359.0
2011-03-01,230408160.0
2011-04-01,233626146.0
2011-05-01,246815510.0
2011-06-01,257516306.0
2011-07-01,258342058.0
2011-08-01,271923609.0
2011-09-01,280756845.0
2011-10-01,281688927.0
2011-11-01,289740429.0
2011-12-01,289339257.0
2012-01-01,286038360.0
