Tarih,TP_KM_B26
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,88815.0
2003-01-01,102802.0
2003-02-01,102541.0
2003-03-01,118754.0
2003-04-01,47989.0
2003-05-01,76952.0
2003-06-01,93368.0
2003-07-01,92588.0
2003-08-01,90406.0
2003-09-01,106232.0
2003-10-01,113421.0
2003-11-01,119885.0
2003-12-01,200477.0
2004-01-01,193184.0
2004-02-01,204861.0
2004-03-01,199013.0
2004-04-01,397243.0
2004-05-01,273500.0
2004-06-01,262044.0
2004-07-01,270701.0
2004-08-01,252552.0
2004-09-01,221818.0
2004-10-01,190549.0
2004-11-01,217968.0
2004-12-01,254494.0
2005-01-01,162536.0
2005-02-01,159679.0
2005-03-01,192213.0
2005-04-01,245635.0
2005-05-01,228799.0
2005-06-01,425548.0
2005-07-01,320456.0
2005-08-01,324884.0
2005-09-01,314020.0
2005-10-01,274801.0
2005-11-01,285524.0
2005-12-01,415391.0
2006-01-01,363390.0
2006-02-01,303918.0
2006-03-01,365004.0
2006-04-01,450442.0
2006-05-01,688765.0
2006-06-01,703228.0
2006-07-01,661224.0
2006-08-01,567594.0
2006-09-01,638370.0
2006-10-01,538258.0
2006-11-01,614348.0
2006-12-01,573571.0
2007-01-01,922845.0
2007-02-01,877137.0
2007-03-01,1192783.0
2007-04-01,953346.0
2007-05-01,1057145.0
2007-06-01,1508677.0
2007-07-01,1237878.0
2007-08-01,1218012.0
2007-09-01,1587968.0
2007-10-01,1421258.0
2007-11-01,1420005.0
2007-12-01,2095428.0
2008-01-01,1418314.0
2008-02-01,1560136.0
2008-03-01,2139259.0
2008-04-01,2016990.0
2008-05-01,1920446.0
2008-06-01,2614912.0
2008-07-01,2100315.0
2008-08-01,2314070.0
2008-09-01,2664509.0
2008-10-01,2125914.0
2008-11-01,1900427.0
2008-12-01,1768247.0
2009-01-01,1319392.0
2009-02-01,1090085.0
2009-03-01,1538434.0
2009-04-01,1664938.0
2009-05-01,1677508.0
2009-06-01,2620848.0
2009-07-01,2901725.0
2009-08-01,3094800.0
2009-09-01,4104677.0
2009-10-01,3596700.0
2009-11-01,3908775.0
2009-12-01,5655138.0
2010-01-01,5188427.0
2010-02-01,5505829.0
2010-03-01,6681049.0
2010-04-01,6474530.0
2010-05-01,6656594.0
2010-06-01,7735805.0
2010-07-01,7594789.0
2010-08-01,7458291.0
2010-09-01,8810627.0
2010-10-01,8247877.0
2010-11-01,8510513.0
2010-12-01,10191328.0
2011-01-01,8316166.0
2011-02-01,8603420.0
2011-03-01,8904161.0
2011-04-01,8622763.0
2011-05-01,8685257.0
2011-06-01,9614459.0
2011-07-01,9150275.0
2011-08-01,8865186.0
2011-09-01,9185599.0
2011-10-01,8860978.0
2011-11-01,8629424.0
2011-12-01,9587605.0
2012-01-01,8077238.0
2012-02-01,7879633.0
2012-03-01,8908618.0
2012-04-01,7936036.0
2012-05-01,8238934.0
2012-06-01,8966039.0
2012-07-01,7117452.0
2012-08-01,7628864.0
2012-09-01,7906293.0
2012-10-01,7310709.0
2012-11-01,8147783.0
