Tarih,TP_KM_B19
2020-10-01,10720395.0
2020-11-01,10818467.0
2020-12-01,10256315.0
2021-01-01,10132996.0
2021-02-01,9622754.0
2021-03-01,11023206.0
2021-04-01,11204839.0
2021-05-01,12161136.0
2021-06-01,10598466.0
2021-07-01,10416401.0
2021-08-01,11675861.0
2021-09-01,12021679.0
2021-10-01,12955274.0
2021-11-01,16190274.0
2021-12-01,14423418.0
2022-01-01,13421627.0
2022-02-01,14802852.0
2022-03-01,16057468.0
2022-04-01,16397607.0
2022-05-01,16983153.0
2022-06-01,17574528.0
2022-07-01,17900483.0
2022-08-01,17605602.0
2022-09-01,17399592.0
2022-10-01,17626453.0
2022-11-01,17419082.0
2022-12-01,18609565.0
2023-01-01,19672395.0
2023-02-01,20679131.0
2023-03-01,23057386.0
2023-04-01,25052083.0
2023-05-01,26596069.0
2023-06-01,28176781.0
2023-07-01,30256584.0
2023-08-01,31385159.0
2023-09-01,30295807.0
2023-10-01,33829247.0
2023-11-01,37007792.0
2023-12-01,37411024.0
2024-01-01,39462998.0
2024-02-01,41548600.0
2024-03-01,40858817.0
2024-04-01,41211157.0
2024-05-01,41054333.0
2024-06-01,42409444.0
2024-07-01,38454299.0
2024-08-01,40724246.0
2024-09-01,43052007.0
2024-10-01,44039507.0
2024-11-01,42954416.0
2024-12-01,42031528.0
2025-01-01,44405347.0
2025-02-01,47069197.0
2025-03-01,51794349.0
2025-04-01,56659930.0
2025-05-01,56756839.0
2025-06-01,57578025.0
2025-07-01,59662091.0
2025-08-01,59998966.0
