Tarih,TP_KM_B29
2022-05-01,21140407.0
2022-06-01,22320550.0
2022-07-01,22253674.0
2022-08-01,21364781.0
2022-09-01,22332582.0
2022-10-01,22558711.0
2022-11-01,24139613.0
2022-12-01,26438728.0
2023-01-01,28865161.0
2023-02-01,31223507.0
2023-03-01,32996126.0
2023-04-01,34422536.0
2023-05-01,35971162.0
2023-06-01,33649485.0
2023-07-01,36037430.0
2023-08-01,36297780.0
2023-09-01,39357933.0
2023-10-01,37362312.0
2023-11-01,38833701.0
2023-12-01,40879134.0
2024-01-01,41317890.0
2024-02-01,38076917.0
2024-03-01,46061420.0
2024-04-01,45977935.0
2024-05-01,48131012.0
2024-06-01,48147014.0
2024-07-01,49553746.0
2024-08-01,50737070.0
2024-09-01,58556213.0
2024-10-01,58604013.0
2024-11-01,62271956.0
2024-12-01,65676663.0
2025-01-01,63726754.0
2025-02-01,64509478.0
2025-03-01,60315197.0
2025-04-01,59429849.0
2025-05-01,57446051.0
2025-06-01,59337174.0
2025-07-01,55834196.0
2025-08-01,54650940.0
