Tarih,TP_KM_B18
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,62552.0
2003-01-01,59850.0
2003-02-01,69291.0
2003-03-01,59575.0
2003-04-01,58483.0
2003-05-01,57448.0
2003-06-01,88574.0
2003-07-01,86150.0
2003-08-01,85144.0
2003-09-01,86154.0
2003-10-01,82657.0
2003-11-01,86740.0
2003-12-01,95732.0
2004-01-01,96891.0
2004-02-01,91478.0
2004-03-01,93167.0
2004-04-01,96768.0
2004-05-01,106426.0
2004-06-01,115196.0
2004-07-01,124057.0
2004-08-01,121202.0
2004-09-01,121085.0
2004-10-01,119505.0
2004-11-01,118333.0
2004-12-01,121883.0
2005-01-01,135469.0
2005-02-01,132597.0
2005-03-01,135060.0
2005-04-01,131442.0
2005-05-01,127090.0
2005-06-01,127089.0
2005-07-01,132551.0
2005-08-01,139319.0
2005-09-01,319227.0
2005-10-01,250151.0
2005-11-01,192426.0
2005-12-01,346198.0
2006-01-01,296775.0
2006-02-01,344575.0
2006-03-01,394816.0
2006-04-01,320071.0
2006-05-01,278829.0
2006-06-01,377729.0
2006-07-01,377436.0
2006-08-01,412110.0
2006-09-01,336265.0
2006-10-01,393372.0
2006-11-01,402217.0
2006-12-01,467886.0
2007-01-01,65532.0
2007-02-01,82208.0
2007-03-01,84865.0
2007-04-01,84551.0
2007-05-01,86525.0
2007-06-01,86470.0
2007-07-01,83161.0
2007-08-01,82478.0
2007-09-01,60720.0
2007-10-01,65605.0
2007-11-01,59100.0
2007-12-01,63868.0
2008-01-01,69671.0
2008-02-01,67991.0
2008-03-01,68951.0
2008-04-01,93215.0
2008-05-01,90926.0
2008-06-01,169019.0
2008-07-01,180078.0
2008-08-01,87347.0
2008-09-01,89566.0
2008-10-01,104181.0
2008-11-01,110055.0
2008-12-01,105326.0
2009-01-01,82055.0
2009-02-01,80184.0
2009-03-01,73755.0
2009-04-01,70955.0
2009-05-01,62213.0
2009-06-01,56474.0
2009-07-01,59207.0
2009-08-01,53469.0
2009-09-01,56887.0
2009-10-01,45302.0
2009-11-01,48359.0
2009-12-01,50747.0
2010-01-01,47425.0
2010-02-01,50884.0
2010-03-01,52817.0
2010-04-01,60052.0
2010-05-01,62848.0
2010-06-01,76500.0
2010-07-01,100999.0
2010-08-01,100604.0
2010-09-01,100199.0
2010-10-01,99504.0
2010-11-01,105566.0
2010-12-01,110939.0
2011-01-01,115085.0
2011-02-01,151087.0
2011-03-01,115034.0
2011-04-01,121475.0
2011-05-01,121745.0
2011-06-01,134168.0
2011-07-01,133246.0
2011-08-01,141170.0
2011-09-01,137675.0
2011-10-01,130130.0
2011-11-01,126045.0
2011-12-01,151569.0
2012-01-01,193286.0
2012-02-01,196780.0
2012-03-01,142245.0
2012-04-01,191393.0
2012-05-01,150911.0
2012-06-01,137303.0
2012-07-01,141636.0
2012-08-01,131054.0
2012-09-01,131593.0
2012-10-01,173596.0
2012-11-01,131038.0
2012-12-01,186399.0
2013-01-01,152768.0
2013-02-01,125979.0
2013-03-01,125039.0
2013-04-01,142874.0
2013-05-01,127858.0
