Tarih,TP_KM_F24
2000-01-01,245914.0
2000-02-01,257778.0
2000-03-01,134690.0
2000-04-01,136398.0
2000-05-01,141188.0
2000-06-01,144383.0
2000-07-01,140686.0
2000-08-01,144083.0
2000-09-01,156614.0
2000-10-01,154672.0
2000-11-01,143971.0
2000-12-01,132331.0
2001-01-01,129644.0
2001-02-01,48320.0
2001-03-01,46994.0
2001-04-01,48915.0
2001-05-01,50377.0
2001-06-01,50272.0
2001-07-01,52291.0
2001-08-01,54901.0
2001-09-01,72181.0
2001-10-01,73502.0
2001-11-01,62704.0
2001-12-01,64042.0
2002-01-01,59861.0
2002-02-01,63911.0
2002-03-01,58896.0
2002-04-01,64102.0
2002-05-01,67309.0
2002-06-01,73225.0
2002-07-01,75117.0
2002-08-01,54458.0
2002-09-01,54577.0
2002-10-01,48023.0
2002-11-01,44237.0
2002-12-01,53209.0
2003-01-01,54764.0
2003-02-01,50388.0
2003-03-01,47867.0
2003-04-01,42649.0
2003-05-01,32697.0
2003-06-01,30125.0
2003-07-01,28652.0
2003-08-01,28411.0
2003-09-01,32075.0
2003-10-01,34998.0
2003-11-01,34424.0
2003-12-01,26934.0
2004-01-01,21652.0
2004-02-01,17752.0
2004-03-01,19233.0
2004-04-01,51331.0
2004-05-01,49357.0
2004-06-01,46706.0
2004-07-01,35313.0
2004-08-01,33314.0
2004-09-01,34015.0
2004-10-01,97242.0
2004-11-01,99644.0
2004-12-01,87430.0
2005-01-01,89870.0
2005-02-01,88511.0
2005-03-01,90658.0
2005-04-01,94501.0
2005-05-01,94514.0
2005-06-01,95354.0
2005-07-01,96439.0
2005-08-01,97485.0
2005-09-01,105007.0
2005-10-01,110007.0
2005-11-01,115022.0
2005-12-01,117261.0
2006-01-01,129762.0
2006-02-01,129932.0
2006-03-01,137840.0
2006-04-01,150118.0
2006-05-01,181959.0
2006-06-01,165302.0
2006-07-01,167078.0
2006-08-01,132036.0
2006-09-01,131120.0
2006-10-01,127618.0
2006-11-01,134711.0
2006-12-01,128317.0
2007-01-01,134037.0
2007-02-01,135142.0
2007-03-01,140858.0
2007-04-01,136427.0
2007-05-01,132163.0
2007-06-01,126131.0
2007-07-01,130238.0
2007-08-01,133143.0
2007-09-01,134731.0
2007-10-01,142192.0
2007-11-01,146188.0
2007-12-01,148255.0
2008-01-01,164387.0
2008-02-01,167676.0
2008-03-01,181012.0
2008-04-01,168970.0
2008-05-01,161302.0
2008-06-01,167115.0
2008-07-01,160257.0
2008-08-01,146619.0
2008-09-01,162814.0
2008-10-01,170458.0
2008-11-01,187335.0
2008-12-01,194396.0
2009-01-01,210418.0
2009-02-01,241538.0
2009-03-01,239823.0
2009-04-01,220449.0
2009-05-01,221925.0
2009-06-01,208259.0
2009-07-01,210071.0
2009-08-01,221144.0
2009-09-01,233297.0
2009-10-01,240941.0
2009-11-01,281557.0
2009-12-01,267911.0
2010-01-01,260664.0
2010-02-01,272732.0
2010-03-01,272013.0
2010-04-01,277479.0
2010-05-01,293043.0
2010-06-01,309188.0
2010-07-01,288558.0
2010-08-01,309009.0
2010-09-01,316286.0
2010-10-01,320120.0
2010-11-01,341383.0
2010-12-01,385557.0
2011-01-01,408346.0
2011-02-01,229983.0
2011-03-01,244747.0
2011-04-01,253450.0
2011-05-01,288374.0
2011-06-01,324567.0
2011-07-01,436097.0
2011-08-01,643785.0
2011-09-01,716361.0
2011-10-01,816592.0
2011-11-01,851959.0
2011-12-01,842678.0
2012-01-01,918874.0
2012-02-01,890381.0
2012-03-01,911126.0
2012-04-01,878703.0
2012-05-01,969273.0
2012-06-01,1037293.0
2012-07-01,1106976.0
2012-08-01,1169317.0
2012-09-01,1175425.0
