Tarih,TP_KM_F28
2000-01-01,1539400.0
2000-02-01,1961485.0
2000-03-01,2687346.0
2000-04-01,2587477.0
2000-05-01,2674331.0
2000-06-01,3626551.0
2000-07-01,3490560.0
2000-08-01,3454307.0
2000-09-01,4219540.0
2000-10-01,4083759.0
2000-11-01,3758625.0
2000-12-01,4359283.0
2001-01-01,4186256.0
2001-02-01,3316553.0
2001-03-01,2485017.0
2001-04-01,1264026.0
2001-05-01,1396185.0
2001-06-01,2910109.0
2001-07-01,1546297.0
2001-08-01,1764507.0
2001-09-01,2375594.0
2001-10-01,2204000.0
2001-11-01,2161737.0
2001-12-01,2884927.0
2002-01-01,2258128.0
2002-02-01,1996870.0
2002-03-01,2325833.0
2002-04-01,1707166.0
2002-05-01,1499424.0
2002-06-01,1734718.0
2002-07-01,1817690.0
2002-08-01,2171363.0
2002-09-01,2278669.0
2002-10-01,1794584.0
2002-11-01,1709262.0
2002-12-01,1455062.0
2003-01-01,1402652.0
2003-02-01,990682.0
2003-03-01,1080156.0
2003-04-01,1017633.0
2003-05-01,903627.0
2003-06-01,1114223.0
2003-07-01,894539.0
2003-08-01,826783.0
2003-09-01,897852.0
2003-10-01,914383.0
2003-11-01,831985.0
2003-12-01,1464409.0
2004-01-01,904000.0
2004-02-01,945917.0
2004-03-01,1407973.0
2004-04-01,1170545.0
2004-05-01,1148719.0
2004-06-01,1429163.0
2004-07-01,1438896.0
2004-08-01,1595608.0
2004-09-01,1549951.0
2004-10-01,1264652.0
2004-11-01,801099.0
2004-12-01,1402920.0
2005-01-01,822098.0
2005-02-01,1055902.0
2005-03-01,1349446.0
2005-04-01,1080879.0
2005-05-01,1377178.0
2005-06-01,2829221.0
2005-07-01,1871592.0
2005-08-01,1795162.0
2005-09-01,2707833.0
2005-10-01,1370764.0
2005-11-01,2049365.0
2005-12-01,2741162.0
2006-01-01,1844423.0
2006-02-01,1589763.0
2006-03-01,2423004.0
2006-04-01,1512414.0
2006-05-01,1931283.0
2006-06-01,1785818.0
2006-07-01,1736264.0
2006-08-01,1564945.0
2006-09-01,2326519.0
2006-10-01,1203903.0
2006-11-01,746953.0
2006-12-01,2154413.0
2007-01-01,2002174.0
2007-02-01,1471257.0
2007-03-01,2291176.0
2007-04-01,954463.0
2007-05-01,1027512.0
2007-06-01,1659847.0
2007-07-01,1149088.0
2007-08-01,1107031.0
2007-09-01,1175491.0
