Tarih,TP_KM_F30
2000-01-01,133292.0
2000-02-01,153044.0
2000-03-01,279840.0
2000-04-01,213655.0
2000-05-01,172145.0
2000-06-01,192485.0
2000-07-01,137372.0
2000-08-01,143808.0
2000-09-01,229828.0
2000-10-01,193292.0
2000-11-01,164759.0
2000-12-01,177414.0
2001-01-01,264996.0
2001-02-01,173682.0
2001-03-01,146683.0
2001-04-01,146699.0
2001-05-01,184711.0
2001-06-01,160168.0
2001-07-01,323275.0
2001-08-01,432155.0
2001-09-01,173580.0
2001-10-01,190290.0
2001-11-01,260197.0
2001-12-01,190904.0
2002-01-01,273104.0
2002-02-01,246162.0
2002-03-01,247435.0
2002-04-01,248376.0
2002-05-01,323431.0
2002-06-01,290045.0
2002-07-01,169898.0
2002-08-01,233418.0
2002-09-01,237084.0
2002-10-01,172491.0
2002-11-01,297154.0
2002-12-01,209791.0
2003-01-01,188453.0
2003-02-01,172007.0
2003-03-01,12703.0
2003-04-01,48244.0
2003-05-01,70268.0
2003-06-01,46702.0
2003-07-01,49808.0
2003-08-01,43576.0
2003-09-01,49577.0
2003-10-01,5706.0
2003-11-01,104096.0
2003-12-01,75141.0
2004-01-01,12895.0
2004-02-01,1792.0
2004-03-01,38872.0
2004-04-01,11589.0
2004-05-01,11271.0
2004-06-01,35209.0
2004-07-01,36062.0
2004-08-01,73051.0
2004-09-01,67536.0
2004-10-01,77851.0
2004-11-01,121007.0
2004-12-01,142898.0
2005-01-01,190017.0
2005-02-01,569377.0
2005-03-01,186024.0
2005-04-01,125197.0
2005-05-01,246287.0
2005-06-01,767382.0
2005-07-01,77955.0
2005-08-01,201881.0
2005-09-01,1000702.0
2005-10-01,267724.0
2005-11-01,167725.0
2005-12-01,938349.0
2006-01-01,136985.0
2006-02-01,418898.0
2006-03-01,918333.0
2006-04-01,485039.0
2006-05-01,370631.0
2006-06-01,1131788.0
2006-07-01,746907.0
2006-08-01,651737.0
2006-09-01,1051456.0
2006-10-01,348876.0
2006-11-01,269028.0
2006-12-01,1154225.0
2007-01-01,339985.0
2007-02-01,468350.0
2007-03-01,797326.0
2007-04-01,238070.0
2007-05-01,391207.0
2007-06-01,315104.0
2007-07-01,255281.0
2007-08-01,253465.0
2007-09-01,1233149.0
2007-10-01,239840.0
2007-11-01,222145.0
2007-12-01,1778454.0
2008-01-01,202947.0
2008-02-01,988378.0
2008-03-01,1656085.0
2008-04-01,228083.0
2008-05-01,1654625.0
2008-06-01,1960856.0
2008-07-01,1570434.0
2008-08-01,1588252.0
2008-09-01,1772486.0
2008-10-01,1456923.0
2008-11-01,1132550.0
2008-12-01,1814164.0
2009-01-01,508560.0
2009-02-01,1194371.0
2009-03-01,1585450.0
2009-04-01,1400608.0
2009-05-01,1671447.0
2009-06-01,2008350.0
2009-07-01,913653.0
2009-08-01,1662627.0
2009-09-01,2050174.0
2009-10-01,1714527.0
2009-11-01,2024480.0
2009-12-01,2138932.0
2010-01-01,1729645.0
2010-02-01,1432029.0
2010-03-01,2566917.0
2010-04-01,2383950.0
2010-05-01,1716590.0
